"List_source","date_sourced","species","species_number","multiple_forms","study","trait_index","trait_name","value"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","MissouriBG",2,"common_name","Large-flowered Magnolia"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Plant_selector_plus",3,"light_level","fullsun"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","UoF_EDIS",3,"light_level","partshade"
"Maps_Hugh","9/07/2018","Magnolia grandiflora Little Gem",1,"Yes","Plant_selector_plus",4,"frost_tolerance","Yes"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Plant_selector_plus",5,"lightfrost_tolerance","Yes"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Sydney_water",7,"drought_tolerance","No"
"Maps_Hugh","9/07/2018","Magnolia grandiflora Little Gem",1,"Yes","MissouriBG",9,"wind_tolerance","No"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Plant_selector_plus",10,"heat_tolerance","No"
"Maps_Hugh","9/07/2018","Magnolia grandiflora Little Gem",1,"Yes","MissouriBG",11,"pollution_tolerance","Yes"
"Maps_Hugh","9/07/2018","Magnolia grandiflora Little Gem",1,"Yes","MissouriBG",15,"shade_tolerance","Yes"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Plant_selector_plus",17,"soil_type","clay"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Plant_selector_plus",17,"soil_type","loam"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Plant_selector_plus",17,"soil_type","sand"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Sydney_water",19,"soil_character","fertile"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Sydney_water",19,"soil_character","moist"
"Maps_Hugh","30/07/2018","Magnolia grandiflora Little Gem",1,"Yes","Sydney_water",20,"soil_fertility","high"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Sydney_water",21,"soil_pH","acid"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","UoF_EDIS",21,"soil_pH","neutral"
"Maps_Hugh","9/07/2018","Magnolia grandiflora Little Gem",1,"Yes","UoF_EDIS",21,"soil_pH","slight_alkaline"
"Maps_Hugh","22/05/2018","Magnolia grandiflora Little Gem",1,"Yes","Sydney_water",22,"establishment_care","frostprotection"
"Maps_Hugh","1/08/2018","Magnolia grandiflora Little Gem",1,"Yes","MissouriBG",23,"ideal_conditions","acidic"
"Maps_Hugh","9/07/2018","Magnolia grandiflora Little Gem",1,"Yes","MissouriBG",23,"ideal_conditions","lateral_space"
"Maps_Hugh","9/07/2018","Magnolia grandiflora Little Gem",1,"Yes","MissouriBG",23,"ideal_conditions","partshade"
"Maps_Hugh","1/08/2018","Magnolia grandiflora Little Gem",1,"Yes","Metrotrees",24,"habit","compact"
"Maps_Hugh","9/07/2018","Magnolia grandiflora Little Gem",1,"Yes","Plant_selector_plus",24,"habit","dense"
"Maps_Hugh","9/07/2018","Magnolia grandiflora Little Gem",1,"Yes","Treemovals",25,"multistem_development","Yes"
