"newspecies","species_number","multiple_forms","date_sourced","List_source"
"Magnolia grandiflora Little Gem",1,"Yes","22/05/2018","Maps_Hugh"
"Cupaniopsis anacardioides",2,"","14/2/2019","Scrape"
"Jacaranda mimosifolia",3,"Yes","9/07/2018","Maps_Hugh"
"Trachelospermum jasminoides",4,"Yes","22/05/2018","Maps_Hugh"
"Strelitzia reginae",5,"Yes","22/05/2018","Maps_Hugh"
"Archontophoenix cunninghamiana",6,"","22/05/2018","Maps_Hugh"
"Elaeocarpus eumundi",7,"","22/05/2018","Maps_Hugh"
"Brachychiton acerifolius",8,"","5/2/2019","Scrape"
"Brachychiton rupestris",9,"","22/05/2018","Maps_Hugh"
"Archontophoenix alexandrae",10,"","22/05/2018","Maps_Hugh"
"Lophostemon confertus",11,"","12/2/2019","Scrape"
"Howea forsteriana",12,"","22/05/2018","Maps_Hugh"
"Pandanus tectorius",13,"","22/05/2018","Maps_Hugh"
"Livistona australis",14,"","22/05/2018","Maps_Hugh"
"Syzygium luehmannii",15,"Yes","12/07/2018","Maps_Hugh"
"Doryanthes excelsa",16,"","22/05/2018","Maps_Hugh"
"Buckinghamia celsissima",17,"","22/05/2018","Maps_Hugh"
"Harpullia pendula",18,"","22/05/2018","Maps_Hugh"
"Phoenix canariensis",19,"","22/05/2018","Maps_Hugh"
"Xanthorrhoea johnsonii",20,"","22/05/2018","Maps_Hugh"
"Tristaniopsis laurina Luscious",21,"Yes","16/07/2018","Maps_Hugh"
"Callistemon viminalis",22,"Yes","16/07/2018","Maps_Hugh"
"Angophora costata",23,"","16/07/2018","Maps_Hugh"
"Agathis robusta",24,"","16/07/2018","Maps_Hugh"
"Allocasuarina littoralis",25,"","23/05/2018","Maps_Hugh"
"Backhousia citriodora",26,"","14/2/2019","Scrape"
"Quercus palustris",27,"","17/07/2018","Maps_Hugh"
"Fraxinus angustifolia Raywoodii",28,"Yes","23/05/2018","Maps_Hugh"
"Isolepis nodosa",29,"","23/05/2018","Maps_Hugh"
"Brachychiton populneus",30,"","23/05/2018","Maps_Hugh"
"Araucaria heterophylla",31,"","23/05/2018","Maps_Hugh"
"Flindersia australis",32,"","23/05/2018","Maps_Hugh"
"Araucaria cunninghamii",33,"","23/05/2018","Maps_Hugh"
"Delonix regia",34,"","23/05/2018","Maps_Hugh"
"Ficus macrophylla",35,"","18/07/2018","Maps_Hugh"
"Pistacia chinensis",36,"Yes","24/05/2018","Maps_Hugh"
"Pyrus calleryana",37,"Yes","24/05/2018","Maps_Hugh"
"Cordyline rubra",38,"Yes","18/07/2018","Maps_Hugh"
"Livistona decora",39,"","24/05/2018","Maps_Hugh"
"Casuarina cunninghamiana",40,"","24/05/2018","Maps_Hugh"
"Melia azedarach",41,"Yes","24/05/2018","Maps_Hugh"
