Reference_number,Trait_index,trait_name,Traitsperspecies,value
304,1,synonyms,,
304,1,synonyms,,
304,2,common_name,,River Birch
304,2,common_name,,Black River Birch
304,2,common_name,,Tropical Birch
304,3,light_level,,fullsun
304,3,light_level,,
304,4,frost_tolerance,,Yes
304,5,lightfrost_tolerance,,
304,6,severedrought_tolerance,,
304,7,drought_tolerance,,Yes
304,8,salinity_tolerance,,Yes
304,9,wind_tolerance,,Yes
304,10,heat_tolerance,,Yes
304,11,pollution_tolerance,,Yes
304,12,coastal_tolerance,,
304,13,frequentwaterlogging,,Yes
304,14,waterlogging_tolerance,,Yes
304,15,shade_tolerance,,
304,16,soilcompaction_tolerance,,
304,17,soil_type,,sand
304,17,soil_type,,loam
304,17,soil_type,,clay
304,18,soil_volume,,
304,19,soil_character,,most
304,20,soil_fertility,,medium
304,21,soil_pH,,acid
304,21,soil_pH,,neutral
304,22,establishment_care,,water
304,23,ideal_conditions,,fertile
304,23,ideal_conditions,,moist
304,23,ideal_conditions,,acidic
304,23,ideal_conditions,,cool
304,24,habit,,upright
304,24,habit,,
304,24,habit,,
304,25,multistem_development,,Yes
304,26,form,,
304,26,form,,
304,27,dimensions,,
304,28,max_height_nature,,
304,29,max_height,,10
304,30,height,,
304,31,min_height,,8
304,32,max_width,,6
304,33,width,,
304,34,min_width,,5
304,35,growth_rate,,fast
304,36,canopy_shape,,pyramidal
304,37,shade,,
304,38,longevity,,
304,39,leaf_loss,,deciduous
304,40,leaf_description,,ovate
304,40,leaf_description,,serrated_margin
304,40,leaf_description,,
304,41,foliage_colour,,darkgreen
304,41,foliage_colour,,
304,42,flower_description,,catkin
304,43,flower_colour,,yellow
304,44,flower_period,,Spring
304,45,other_feature,,bark
304,45,other_feature,,
304,45,other_feature,,
304,46,bark_appearance,,white
304,46,bark_appearance,,brown
304,47,bark_texture,,flakey
304,47,bark_texture,,peeling
304,48,fruit_type,,
304,48,fruit_type,,
304,49,fruit_colour,,
304,50,fruit_period,,
304,51,seasonal_colour,,yellow
304,52,juvenile_traits,,pyramidal_form
304,52,juvenile_traits,,
304,53,placement,,park
304,53,placement,,garden
304,53,placement,,
304,54,purpose,,shade
304,54,purpose,,featuretree
304,54,purpose,,
304,55,climate_of_origin,,temperate
304,56,country_of_origin,,USA
304,57,continent_of_origin,,N_America
304,58,ecological_services,,
304,59,maintenance_level,,low
304,60,maintenance_activities,,pruning
304,60,maintenance_activities,,watering
304,60,maintenance_activities,,mulching
304,61,supp_watering,,medium
304,62,weed_status,,
304,63,rootdisturbance_tolerance,,
304,64,pestdisease_risk,,low
304,65,pests_diseases,,none_known
304,66,risk,,
304,67,invasive_roots,,
304,68,root_depth,,
304,20,soil_fertility,,high
304,22,establishment_care,,mulching
304,36,canopy_shape,,rounded
304,43,flower_colour,,green
304,46,bark_appearance,,pink
305,1,synonyms,,Photinia x fraseri
305,1,synonyms,,
305,2,common_name,,Photinia
305,2,common_name,,Red Leaf Photinia
305,2,common_name,,Chinese Hawthorn
305,3,light_level,,fullsun
305,3,light_level,,
305,4,frost_tolerance,,Yes
305,5,lightfrost_tolerance,,
305,6,severedrought_tolerance,,
305,7,drought_tolerance,,Yes
305,8,salinity_tolerance,,
305,9,wind_tolerance,,Yes
305,10,heat_tolerance,,Yes
305,11,pollution_tolerance,,Yes
305,12,coastal_tolerance,,Yes
305,13,frequentwaterlogging,,
305,14,waterlogging_tolerance,,
305,15,shade_tolerance,,
305,16,soilcompaction_tolerance,,
305,17,soil_type,,sand
305,17,soil_type,,loam
305,17,soil_type,,clay
305,18,soil_volume,,
305,19,soil_character,,welldrained
305,20,soil_fertility,,medium
305,20,soil_fertility,,high
305,21,soil_pH,,acid
305,21,soil_pH,,neutral
305,21,soil_pH,,alkaline
305,22,establishment_care,,water
305,22,establishment_care,,pruning
305,23,ideal_conditions,,fullsun
305,23,ideal_conditions,,fertile
305,23,ideal_conditions,,well_drained
305,23,ideal_conditions,,
305,24,habit,,hedging_possible
305,24,habit,,bushy
305,24,habit,,dense
305,25,multistem_development,,Yes
305,26,form,,smalltree
305,26,form,,largeshrub
305,27,dimensions,,
305,28,max_height_nature,,
305,29,max_height,,5
305,30,height,,
305,31,min_height,,4
305,32,max_width,,5
305,33,width,,
305,34,min_width,,4
305,35,growth_rate,,fast
305,36,canopy_shape,,domed
305,36,canopy_shape,,rounded
305,37,shade,,
305,38,longevity,,
305,39,leaf_loss,,evergreen
305,40,leaf_description,,elliptical
305,40,leaf_description,,obovate
305,40,leaf_description,,
305,41,foliage_colour,,darkgreen
305,41,foliage_colour,,glossygreen
305,41,foliage_colour,,red
305,42,flower_description,,cluster
305,42,flower_description,,small
305,43,flower_colour,,white
305,43,flower_colour,,
305,44,flower_period,,Spring
305,45,other_feature,,red_new_growth
305,45,other_feature,,glossy_foliage
305,45,other_feature,,showey_fruit
305,46,bark_appearance,,
305,46,bark_appearance,,
305,46,bark_appearance,,
305,47,bark_texture,,
305,47,bark_texture,,
305,48,fruit_type,,berries
305,48,fruit_type,,small
305,49,fruit_colour,,red
305,50,fruit_period,,
305,51,seasonal_colour,,none
305,52,juvenile_traits,,bushy_habit
305,52,juvenile_traits,,
305,53,placement,,street
305,53,placement,,garden
305,53,placement,,park
305,54,purpose,,screen
305,54,purpose,,featuretree
305,54,purpose,,featureshrub
305,55,climate_of_origin,,temperate
305,56,country_of_origin,,China
305,57,continent_of_origin,,Asia
305,58,ecological_services,,
305,59,maintenance_level,,
305,60,maintenance_activities,,pruning
305,60,maintenance_activities,,fertiliser
305,60,maintenance_activities,,watering
305,61,supp_watering,,low
305,62,weed_status,,
305,63,rootdisturbance_tolerance,,
305,64,pestdisease_risk,,
305,65,pests_diseases,,leaf_spot
305,65,pests_diseases,,mildew
305,66,risk,,
305,67,invasive_roots,,sewer_2
305,68,root_depth,,
306,1,synonyms,,
306,1,synonyms,,
306,2,common_name,,Totara
306,2,common_name,,Mahogany Pine
306,2,common_name,,
306,3,light_level,,fullsun
306,3,light_level,,partshade
306,4,frost_tolerance,,Yes
306,5,lightfrost_tolerance,,
306,6,severedrought_tolerance,,
306,7,drought_tolerance,,No
306,8,salinity_tolerance,,
306,9,wind_tolerance,,Yes
306,10,heat_tolerance,,
306,11,pollution_tolerance,,
306,12,coastal_tolerance,,
306,13,frequentwaterlogging,,
306,14,waterlogging_tolerance,,
306,15,shade_tolerance,,
306,16,soilcompaction_tolerance,,
306,17,soil_type,,sand
306,17,soil_type,,loam
306,17,soil_type,,clay
306,18,soil_volume,,
306,19,soil_character,,most
306,20,soil_fertility,,any
306,20,soil_fertility,,medium
306,21,soil_pH,,acid
306,21,soil_pH,,neutral
306,21,soil_pH,,
306,22,establishment_care,,
306,22,establishment_care,,
306,23,ideal_conditions,,moist
306,23,ideal_conditions,,well_drained
306,23,ideal_conditions,,fertile
306,23,ideal_conditions,,
306,24,habit,,dense
306,24,habit,,spreading
306,24,habit,,hedging_possible
306,25,multistem_development,,
306,26,form,,medtree
306,26,form,,largetree
306,27,dimensions,,
306,28,max_height_nature,,
306,29,max_height,,20
306,30,height,,12
306,31,min_height,,
306,32,max_width,,
306,33,width,,7
306,34,min_width,,
306,35,growth_rate,,slow
306,36,canopy_shape,,spreading
306,36,canopy_shape,,open
306,36,canopy_shape,,rounded
306,37,shade,,
306,38,longevity,,long (> 50 years)
306,39,leaf_loss,,evergreen
306,40,leaf_description,,linear
306,40,leaf_description,,lanceolate
306,40,leaf_description,,oblong
306,41,foliage_colour,,darkgreen
306,41,foliage_colour,,
306,41,foliage_colour,,
306,42,flower_description,,
306,42,flower_description,,
306,43,flower_colour,,
306,43,flower_colour,,
306,44,flower_period,,
306,45,other_feature,,growth_form
306,45,other_feature,,glossy_foliage
306,45,other_feature,,
306,46,bark_appearance,,brown
306,46,bark_appearance,,
306,46,bark_appearance,,
306,47,bark_texture,,flakey
306,47,bark_texture,,
306,48,fruit_type,,fleshy
306,48,fruit_type,,ovoid
306,49,fruit_colour,,red
306,50,fruit_period,,
306,51,seasonal_colour,,none
306,52,juvenile_traits,,
306,52,juvenile_traits,,
306,53,placement,,largegarden
306,53,placement,,park
306,53,placement,,
306,54,purpose,,shade
306,54,purpose,,featuretree
306,54,purpose,,
306,55,climate_of_origin,,temperate
306,56,country_of_origin,,New Zealand
306,57,continent_of_origin,,Oceania
306,58,ecological_services,,
306,59,maintenance_level,,
306,60,maintenance_activities,,watering
306,60,maintenance_activities,,mulching
306,60,maintenance_activities,,fertiliser
306,60,maintenance_activities,,pruning
306,61,supp_watering,,medium
306,62,weed_status,,
306,63,rootdisturbance_tolerance,,
306,64,pestdisease_risk,,
306,65,pests_diseases,,
306,65,pests_diseases,,
306,66,risk,,largesize
306,67,invasive_roots,,surface
306,68,root_depth,,
307,1,synonyms,,Handroanthus impetiginosus
307,1,synonyms,,Tabebuia heterophylla
307,2,common_name,,Pink Trumpet Tree
307,2,common_name,,Purple Trumpet Tree
307,2,common_name,,
307,3,light_level,,fullsun
307,3,light_level,,
307,4,frost_tolerance,,No
307,5,lightfrost_tolerance,,Yes
307,6,severedrought_tolerance,,
307,7,drought_tolerance,,Yes
307,8,salinity_tolerance,,Yes
307,9,wind_tolerance,,No
307,10,heat_tolerance,,
307,11,pollution_tolerance,,
307,12,coastal_tolerance,,Yes
307,13,frequentwaterlogging,,
307,14,waterlogging_tolerance,,Yes
307,15,shade_tolerance,,No
307,16,soilcompaction_tolerance,,
307,17,soil_type,,sand
307,17,soil_type,,loam
307,17,soil_type,,clay
307,18,soil_volume,,
307,19,soil_character,,welldrained
307,20,soil_fertility,,
307,20,soil_fertility,,
307,21,soil_pH,,acid
307,21,soil_pH,,neutral
307,21,soil_pH,,alkaline
307,22,establishment_care,,water
307,22,establishment_care,,frostprotection
307,23,ideal_conditions,,fullsun
307,23,ideal_conditions,,well_drained
307,23,ideal_conditions,,fertile
307,23,ideal_conditions,,
307,24,habit,,upright
307,24,habit,,spreading
307,24,habit,,
307,25,multistem_development,,
307,26,form,,largetree
307,27,dimensions,,site_dependant
307,28,max_height_nature,,35
307,29,max_height,,9
307,30,height,,30
307,31,min_height,,6
307,32,max_width,,6
307,33,width,,8
307,34,min_width,,3
307,35,growth_rate,,climate_dependant
307,35,growth_rate,,medium
307,36,canopy_shape,,rounded
307,36,canopy_shape,,open
307,36,canopy_shape,,
307,37,shade,,
307,38,longevity,,medium (20 -50 years)
307,38,longevity,,long (> 50 years)
307,39,leaf_loss,,semi_deciduous
307,39,leaf_loss,,climate_dependant
307,40,leaf_description,,elliptical
307,40,leaf_description,,oblong
307,40,leaf_description,,fern_like
307,41,foliage_colour,,darkgreen
307,41,foliage_colour,,green
307,41,foliage_colour,,
307,42,flower_description,,bell_shaped
307,42,flower_description,,large
307,43,flower_colour,,pink
307,43,flower_colour,,purple
307,44,flower_period,,Spring
307,45,other_feature,,showey_flower
307,45,other_feature,,
307,45,other_feature,,
307,46,bark_appearance,,grey
307,46,bark_appearance,,brown
307,46,bark_appearance,,
307,47,bark_texture,,lightly_fissured
307,47,bark_texture,,
307,48,fruit_type,,pod
307,48,fruit_type,,large
307,48,fruit_type,,elongated
307,49,fruit_colour,,brown
307,50,fruit_period,,
307,51,seasonal_colour,,none
307,52,juvenile_traits,,fast_growing
307,52,juvenile_traits,,pyramidal_form
307,53,placement,,street
307,53,placement,,garden
307,53,placement,,park
307,54,purpose,,featuretree
307,54,purpose,,apiary
307,54,purpose,,featuretropical
307,55,climate_of_origin,,tropical
307,56,country_of_origin,,
307,57,continent_of_origin,,N_America
307,58,ecological_services,,pollinator
307,59,maintenance_level,,
307,60,maintenance_activities,,watering
307,60,maintenance_activities,,pruning
307,60,maintenance_activities,,fertiliser
307,60,maintenance_activities,,
307,61,supp_watering,,medium
307,62,weed_status,,
307,63,rootdisturbance_tolerance,,
307,64,pestdisease_risk,,low
307,65,pests_diseases,,none_known
307,65,pests_diseases,,
307,66,risk,,
307,67,invasive_roots,,non_invasive
307,68,root_depth,,
