"","Species","Description","Cultivar","Trait","data"
"1","Geijera parviflora","Australian-Willow is an attractive evergreen, 30 to 35 feet tall and 20 feet wide, with an upright, oval silhouette.  The main inner branches are composed of strong, wind-resistant wood and are directed upward, while the outer smaller branches are somewhat pendulous.  This gives a decided weeping habit to older trees.  Younger trees are more oval-shaped.  This characteristic, combined with the thin, narrow, three to six-inch-long, olive green leaves which droop from the branches, gives the tree much the same effect as a Weeping Willow.  Short panicles of small, creamy white, showy flowers appear in early spring and early fall.",NA,"Leaf type","simple"
"2","Quercus rubra","An adaptable, widely planted oak with a rapid growth rate, red oak will reach a height of 60 to 70 feet and a spread of 40 to 60 feet when open-grown, and is native to rich woodland areas where it will grow to 90 feet tall. Branches and upper trunk are marked with long, light grey longitudinal lines which remind some people of ski trails. Open-grown trees form a rounded crown which makes a nice shade, park, or street tree. Many communities use red oak as a street tree where overhead space is not limiting. Acorns are small and easily cleaned up, broken into small pieces by pedestrians or eaten by squirrels. The foliage turns a wonderful dark red in the fall.",NA,"Leaf type","simple"
"3","Carpinus caroliniana","A handsome tree in many locations, the tree slowly reaches a height and spread of 20 to 30 feet. It will grow with an attractive open habit in total shade, but be dense in full sun. The muscle-like bark is smooth, gray, and fluted. Ironwood has a slow growth rate and is reportedly difficult to transplant from a field nursery (although 10-inch-diameter trees were moved with a 90-inch tree spade during the winter in USDA hardiness zone 8b with no problem) but is easy from containers. The fall color is faintly orange to yellow and stands out in the landscape or woods in the fall. Brown leaves occasionally hang on the tree into the winter.",NA,"Leaf type","simple"
"4","Callistemon citrinus","The common name ""bottlebrush"", perfectly describes this evergreen plant's bright red flower spikes. Hummingbirds love the flowers, and the plant is hardier than most bottlebrushes. The flowers are followed by small, woody capsules that look like bead bracelets on the bark, and which last for years. Offered as a shrub, bottlebrush can be trained as a tree to 15-feet or espaliered as a quick wall cover. It makes a nice screen or tall unclipped hedge. Pruning to develop several trunks and removing some lower branches can create a fine small specimen tree.",NA,"Leaf type","simple"
"5","Nerium oleander","Oleander is a wonderful easy-care, rounded shrub or small tree, with long, dark green leaves and an abundance of single or double, sometimes fragrant flowers. 'Mrs. Roeding' has double pink flowers. Often trained into an attractive small tree, multi-branched oleander also does well as a quick-growing screen or large specimen planting. Planted on five to seven foot centers, a row of oleander makes a nice screen for a large residence or other large-scale landscape.","Mrs. Roeding","Leaf type","simple"
"6","Delonix regia","This many-branched, broad, spreading, flat-crowned deciduous tree is well-known for its brilliant display of red-orange bloom, literally covering the tree tops from May to July. There is nothing like a Royal Poinciana (or better yet, a group of them) in full bloom. The fine, soft, delicate leaflets afford dappled shade during the remainder of the growing season, making Royal Poinciana a favorite shade tree or freestanding specimens in large, open lawns. The tree is often broader than tall, growing about 40 feet high and 60 feet wide. Trunks can become as large as 50 inches or more in diameter. Eighteen-inch-long, dark brown seed pods hang on the tree throughout the winter, then fall on the ground in spring creating a nuisance.",NA,"Leaf type","bipinnately compound"
"7","Cupressus macrocarpa","Monterey cypress thrive near the sea on the west coast of the United States, where it is native to the Monterey Bay, California, area. It has a high wind tolerance, becoming increasingly more attractive under heavy wind conditions. Narrow and pyramid-shaped when young, monterey cypress spreads with age, and can become 70 to 90 feet in height. It is one of the major trees planted to hold the sands in Golden Gate Park, San Francisco, but unfortunately many are dying. The plant is only grown in the western states.",NA,"Leaf type","simple"
"8","Sapium sebiferum","With oval, pointed, deciduous leaves and an oval, open canopy, Chinese tallowtree creates soft, dappled shade. The trunk normally dominates, snaking up through the crown sporting major limbs well spaced along the trunk. Enough light will penetrate to allow lawn grasses to thrive beneath this rapidly-growing, 30- to 35-foot-tall tree. Yellow, terminal flower spikes appear in spring and are followed by brown capsules which burst and fall off, leaving behind wax-coated, white, berrylike seeds, hence the common name, popcorn tree. These berries persist throughout the winter, even after the fluttering, heart-shaped leaves have turned gorgeous autumn shades of red, yellow or orange and have fallen. Tallowtree is one of the only reliable fall coloring trees for USDA hardiness zones 8b and 9a.  The new growth in spring is red-tinged. The waxy coating on the seeds is extracted by the Chinese for use in candles and soap and the milky sap inside the twigs is poisonous.",NA,"Leaf type","simple"
"9","Acer negundo","Boxelder forms a 40-to 50-foot-tall rounded canopy of very light green foliage edged with yellow. The unusual foliage of this cultivar makes this a difficult tree to work into most landscapes. The boxelder is an undesirable tree for many urban situations and in some cities, planting it may be illegal. The undesirable characteristics are brittle, weak wood, short life, susceptibility to boxelder bug, and trunk decay. But the tree will grow just about anywhere and therefore it may have uses due to its adaptability. The best thing about the tree is that it will grow on adverse sites where more desirable trees may not. If you use the tree, plant it for its quick growth, but interplant with more desirable trees to provide for a lasting tree canopy. Boxelder is native along streambanks over a wide area of the United States, grows along flood plains, and naturalizes quickly on disturbed sites. It may be best to restrict planting to these areas. It is tolerant of drought and was planted as a shelter-belt tree.","Elegans","Leaf type","odd-pinnately compound"
"10","Acer negundo","Boxelder forms a 40-to 50-foot-tall rounded canopy of very light green foliage tinged pink in the spring. Some of the pink may hang on throughout the year in the north and the leaf margins may remain whitish. The boxelder is an undesirable tree for many urban situations and in some cities, planting it may be illegal. The undesirable characteristics are brittle, weak wood, short life, susceptibility to boxelder bug, and trunk decay. But the tree will grow just about anywhere and therefore it may have uses due to its adaptability. The best thing about the tree is that it will grow on adverse sites where more desirable trees may not. If you use the tree, plant it for its quick growth, but interplant with more desirable trees to provide for a lasting tree canopy. Boxelder is native along streambanks over a wide area of the United States, grows along flood plains, and naturalizes quickly on disturbed sites. It may be best to restrict planting to these areas. It is tolerant of drought and was planted as a shelter-belt tree.","Flamingo","Leaf type","odd-pinnately compound"
