"species","species_number"
"Magnolia grandiflora Little Gem",1
"Cupaniopsis anacardioides",2
"Jacaranda mimosifolia",3
"Trachelospermum jasminoides",4
"Strelitzia reginae",5
"Archontophoenix cunninghamiana",6
"Elaeocarpus eumundi",7
"Brachychiton acerifolius",8
"Brachychiton rupestris",9
"Archontophoenix alexandrae",10
"Lophostemon confertus",11
"Howea forsteriana",12
"Pandanus tectorius",13
"Livistona australis",14
"Syzygium luehmannii",15
"Doryanthes excelsa",16
"Buckinghamia celsissima",17
"Harpullia pendula",18
"Phoenix canariensis",19
"Xanthorrhoea johnsonii",20
"Tristaniopsis laurina Luscious",21
"Callistemon viminalis",22
"Angophora costata",23
"Agathis robusta",24
"Allocasuarina littoralis",25
"Backhousia citriodora",26
"Quercus palustris",27
"Fraxinus angustifolia Raywoodii",28
"Isolepis nodosa",29
"Brachychiton populneus",30
"Araucaria heterophylla",31
"Flindersia australis",32
"Araucaria cunninghamii",33
"Delonix regia",34
"Ficus macrophylla",35
"Pistacia chinensis",36
"Pyrus calleryana",37
"Cordyline rubra",38
"Livistona decora",39
"Casuarina cunninghamiana",40
"Melia azedarach",41
"Xanthorrhoea glauca",42
"Leptospermum petersonii",43
"Grevillea baileyana",44
"Acacia melanoxylon",45
"Stenocarpus sinuatus",46
"Callistemon citrinus",47
"Hibbertia scandens",48
"Carex appressa",49
"Eucalyptus sideroxylon",50
"Eucalyptus polyanthemos",51
"Banksia robur",52
"Eucalyptus tereticornis",53
"Prunus cerasifera Nigra",54
"Westringia fruticosa",55
"Acacia implexa",56
"Eucalyptus pauciflora",57
"Backhousia myrtifolia",58
"Casuarina glauca",59
"Ficus microcarpa hillii",60
"Pittosporum tobira",61
"Furcraea foetida",62
"Eucalyptus mannifera",63
"Correa alba",64
"Betula pendula",65
"Hakea salicifolia",66
"Fraxinus pennsylvanica Cimmzam Cimmaron",67
"Hakea laurina",68
"Hibiscus tiliaceus",69
"Rhaphiolepis indica",70
"Castanospermum australe",71
"Robinia pseudoacacia Frisia",72
"Pittosporum tenuifolium Screenmaster",73
"Xanthostemon chrysanthus",74
"Ulmus parvifolia Todd",75
"Grevillea juniperina",76
"Crassula ovata",77
"Acacia pycnantha",78
"Calodendrum capense",79
"Melaleuca bracteata",80
"Camellia sasanqua",81
"Syzygium wilsonii",82
"Alectryon coriaceus",83
"Hibbertia obtusifolia",84
"Phormium tenax Purpurea",85
"Eucalyptus erythrocorys",86
"Elaeocarpus reticulatus",87
"Melaleuca thymifolia",88
"Westringia longifolia",89
"Hymenosporum flavum",90
"Atractocarpus fitzalanii",91
"Kennedia prostrata",92
"Trachelospermum asiaticum",93
"Liriodendron tulipifera",94
"Pandorea jasminoides",95
"Lagerstroemia indica",96
"Dysoxylum fraserianum",97
"Cordyline australis",98
"Kunzea parvifolia",99
"Dianella caerulea",100
"Agonis flexuosa",101
"Myoporum parvifolium",102
"Sarcopteryx stipata",103
"Murraya paniculata",104
"Zieria cytisoides",105
"Liriope muscari",106
"Zoysia macrantha",107
"Lomandra longifolia",108
"Stenotaphrum secundatum",109
"Quercus robur",110
"Hardenbergia violacea",111
"Ficus platypoda",112
"Alectryon oleifolius",113
"Xanthostemon paradoxus",114
