"study","species","trait_name","value"
"ACTps","Correa ‘Adorabell’","common_name","‘Adorabell’"
"ACTps","Grevillea ‘Amethyst’","common_name","‘Amethyst’"
"ACTps","Correa ‘Annabell’","common_name","‘Annabell’"
"ACTps","Hardenbergia ‘Bliss’","common_name","‘Bliss’"
"ACTps","Lomandra glauca ‘Blue Ridge’","common_name","‘Blue Ridge’"
"ACTps","Brachycome sp ‘Break O Day’","common_name","‘Break O Day’"
"ACTps","Correa ‘Adorabell’","Description","Correa ‘Adorabell’ is a small rounded shrub growing to approximately one metre high. It has glossy dark green leaves.The bright pink flowers occur in early autumn and continue into winter. ‘Adorabell’ is frost hardy and drought tolerant once established. Useful for small dense hedges, with winter flowering an added bonus. Correas are an important food source for nectar eating birds."
"ACTps","Grevillea ‘Amethyst’","Description","Grevillea ‘Amethyst’ is a fine leafed grevillea, with sweet little violet flowers through the warmer months. Very attractive to native bees. A good addition to a bird attracting garden."
"ACTps","Correa ‘Annabell’","Description","Correa Annabell is a small shrub that will grow to approximately one metre high. It has olive green leaves and small but prolific pink flowers. Flowering commences in autumn and may continue through winter.  Prune for a compact habit, especially if planted in shady sites."
"ACTps","Hardenbergia ‘Bliss’","Description","This selection of Hardenbergia grows as a self supporting small shrub, or as a climber. In late winter/early spring it is covered in masses of lilac coloured flowers. Bliss is a hardy shrub that can be planted in most soils and locations. If you are using as a climber, prune when young to encourage bushier growth."
"ACTps","Lomandra glauca ‘Blue Ridge’","Description","The most distinctive feature of ‘Blue Ridge’ is its powder blue leaves. It can be planted in all climate zones and is tolerant of sandy through to heavy self-mulching clay soil types. It will survive temperatures down to -10 degrees Celsius. Plant close together for impact in the garden, or as a border in a hot spot. Lomandra are an important food source for seed eating birds, which makes them a great addition to a bird attracting garden."
"ACTps","Brachycome sp ‘Break O Day’","Description","A hardy little mounding groundcover with fine green foliage and masses of bright purple daisy flowers for ong periods throughout the year. A light prune of old flowers will produce another flower display. Will grow happily under trees or in full sun. Create a new flush of growth by cutting the whole plant back hard in late winter."
"ACTps","Correa ‘Adorabell’","plant_type","Shrub"
"ACTps","Grevillea ‘Amethyst’","plant_type","Shrub"
"ACTps","Correa ‘Annabell’","plant_type","Shrub"
"ACTps","Hardenbergia ‘Bliss’","plant_type","Climber"
"ACTps","Lomandra glauca ‘Blue Ridge’","plant_type","Grass"
"ACTps","Brachycome sp ‘Break O Day’","plant_type","Perennial"
"ACTps","Correa ‘Adorabell’","plant_origin","Cultivar from Australia"
"ACTps","Grevillea ‘Amethyst’","plant_origin","NSW"
"ACTps","Correa ‘Annabell’","plant_origin","Cultivar from Australia"
"ACTps","Hardenbergia ‘Bliss’","plant_origin","A select form of a locally occurring species"
"ACTps","Lomandra glauca ‘Blue Ridge’","plant_origin","NSW, QLD, SA"
"ACTps","Brachycome sp ‘Break O Day’","plant_origin","Qld, NSW, Vic"
"ACTps","Correa ‘Adorabell’","light_requirement","Full Sun, Part Shade, "
"ACTps","Grevillea ‘Amethyst’","light_requirement","Full Sun"
"ACTps","Correa ‘Annabell’","light_requirement","Full Sun, Part Shade, "
"ACTps","Hardenbergia ‘Bliss’","light_requirement","Full Sun, Part Shade, "
"ACTps","Lomandra glauca ‘Blue Ridge’","light_requirement","Full Sun, Part Shade, Shade, "
