"study","species","trait_name","value","trait_name_original","value_original"
"ACTps","Correa ‘Adorabell’","common_name","‘Adorabell’","common_name","‘Adorabell’"
"ACTps","Grevillea ‘Amethyst’","common_name","‘Amethyst’","common_name","‘Amethyst’"
"ACTps","Correa ‘Annabell’","common_name","‘Annabell’","common_name","‘Annabell’"
"ACTps","Hardenbergia ‘Bliss’","common_name","‘Bliss’","common_name","‘Bliss’"
"ACTps","Lomandra glauca ‘Blue Ridge’","common_name","‘Blue Ridge’","common_name","‘Blue Ridge’"
"ACTps","Brachycome sp ‘Break O Day’","common_name","‘Break O Day’","common_name","‘Break O Day’"
"ACTps","Correa ‘Adorabell’","Description","Correa ‘Adorabell’ is a small rounded shrub growing to approximately one metre high. It has glossy dark green leaves.The bright pink flowers occur in early autumn and continue into winter. ‘Adorabell’ is frost hardy and drought tolerant once established. Useful for small dense hedges, with winter flowering an added bonus. Correas are an important food source for nectar eating birds.","Description","Correa ‘Adorabell’ is a small rounded shrub growing to approximately one metre high. It has glossy dark green leaves.The bright pink flowers occur in early autumn and continue into winter. ‘Adorabell’ is frost hardy and drought tolerant once established. Useful for small dense hedges, with winter flowering an added bonus. Correas are an important food source for nectar eating birds."
"ACTps","Grevillea ‘Amethyst’","Description","Grevillea ‘Amethyst’ is a fine leafed grevillea, with sweet little violet flowers through the warmer months. Very attractive to native bees. A good addition to a bird attracting garden.","Description","Grevillea ‘Amethyst’ is a fine leafed grevillea, with sweet little violet flowers through the warmer months. Very attractive to native bees. A good addition to a bird attracting garden."
"ACTps","Correa ‘Annabell’","Description","Correa Annabell is a small shrub that will grow to approximately one metre high. It has olive green leaves and small but prolific pink flowers. Flowering commences in autumn and may continue through winter.  Prune for a compact habit, especially if planted in shady sites.","Description","Correa Annabell is a small shrub that will grow to approximately one metre high. It has olive green leaves and small but prolific pink flowers. Flowering commences in autumn and may continue through winter.  Prune for a compact habit, especially if planted in shady sites."
"ACTps","Hardenbergia ‘Bliss’","Description","This selection of Hardenbergia grows as a self supporting small shrub, or as a climber. In late winter/early spring it is covered in masses of lilac coloured flowers. Bliss is a hardy shrub that can be planted in most soils and locations. If you are using as a climber, prune when young to encourage bushier growth.","Description","This selection of Hardenbergia grows as a self supporting small shrub, or as a climber. In late winter/early spring it is covered in masses of lilac coloured flowers. Bliss is a hardy shrub that can be planted in most soils and locations. If you are using as a climber, prune when young to encourage bushier growth."
