"study","species","trait_name","value","trait_name_original","value_original"
"Treemovals","Acer japonicum 'Vitifolium' ","common_name","Downy Japanese Maple","common_name","Downy Japanese Maple"
"Treemovals","Acer japonicum 'Vitifolium' ","Family","Aceraceae","Family","Aceraceae"
"Treemovals","Acer japonicum 'Vitifolium' ","Origins","East Asia","Origins","East Asia"
"Treemovals","Acer japonicum 'Vitifolium' ","Habit/ Form","Medium to strong growing, with thick, stocky twigs. Upright, 'vase' shaped, broadening as the tree matures. Occasionally more like a large shrub than a tree.","Habit/ Form","Medium to strong growing, with thick, stocky twigs. Upright, 'vase' shaped, broadening as the tree matures. Occasionally more like a large shrub than a tree."
"Treemovals","Acer japonicum 'Vitifolium' ","Leaves","Large, broad and flat, rich green leaves with nine to eleven lobes which are divided halfway to the base of the leaf. The sharply pointed lobes are coarsely serrated. New growth is green, overlaid with a dusty reddish-orange tinge and lime green veins. Autumn colour is brilliant reddish-orange.","Leaves","Large, broad and flat, rich green leaves with nine to eleven lobes which are divided halfway to the base of the leaf. The sharply pointed lobes are coarsely serrated. New growth is green, overlaid with a dusty reddish-orange tinge and lime green veins. Autumn colour is brilliant reddish-orange."
"Treemovals","Acer japonicum 'Vitifolium' ","Flowers","Large purplish-red flowers are borne in clusters before the leaves emerge in spring.","Flowers","Large purplish-red flowers are borne in clusters before the leaves emerge in spring."
"Treemovals","Acer japonicum 'Vitifolium' ","Fruit","Samaras borne in pairs.","Fruit","Samaras borne in pairs."
"Treemovals","Acer japonicum 'Vitifolium' ","Bark / Trunk","Brown, becoming greyish-brown.","Bark / Trunk","Brown, becoming greyish-brown."
"Treemovals","Acer japonicum 'Vitifolium' ","Vigour / Longevity","Moderate","Vigour / Longevity","Moderate"
"Treemovals","Acer japonicum 'Vitifolium' ","Environmental Requirements","Prefers full sun for best growth and colour development. Wide range of soil and climatic conditions including relatively wet sites.","Environmental Requirements","Prefers full sun for best growth and colour development. Wide range of soil and climatic conditions including relatively wet sites."
"Treemovals","Acer japonicum 'Vitifolium' ","Hardiness","Can handle moderate air pollution, heat, low levels of drought and cold conditions.","Hardiness","Can handle moderate air pollution, heat, low levels of drought and cold conditions."
"Treemovals","Acer japonicum 'Vitifolium' ","Soil / Drainage","Prefers a moist, slightly acidic, well drained soil. Mulching is beneficial after planting.","Soil / Drainage","Prefers a moist, slightly acidic, well drained soil. Mulching is beneficial after planting."
"Treemovals","Acer japonicum 'Vitifolium' ","Pruning","May require regular formative pruning for strong limb, trunk and crown structure. Avoid pruning in late winter and early spring.","Pruning","May require regular formative pruning for strong limb, trunk and crown structure. Avoid pruning in late winter and early spring."
"Treemovals","Acer japonicum 'Vitifolium' ","Watering","Keep well watered throughout the warmer months.","Watering","Keep well watered throughout the warmer months."
"Treemovals","Acer japonicum 'Vitifolium' ","Fertilising","Use a long-term slow release fertiliser","Fertilising","Use a long-term slow release fertiliser"
"Treemovals","Acer japonicum 'Vitifolium' ","Pests / Diseases","Susceptible to rust that causing foliage abscission, but resistant to apple scab.","Pests / Diseases","Susceptible to rust that causing foliage abscission, but resistant to apple scab."
"Treemovals","Acer japonicum 'Vitifolium' ","Uses","A beautiful but robust small tree with deeply lobed and cut foliage that gives a 'fern'-like appearance and becomes brilliant scarlet in autumn. A suitable tree for year round interest in protected areas of small parks and gardens. ","Uses","A beautiful but robust small tree with deeply lobed and cut foliage that gives a 'fern'-like appearance and becomes brilliant scarlet in autumn. A suitable tree for year round interest in protected areas of small parks and gardens. "
"Treemovals","Acer Red Pygmy ","common_name","Red Pygmy Maple","common_name","Red Pygmy Maple"
"Treemovals","Acer Red Pygmy ","Family","Aceraceae","Family","Aceraceae"
"Treemovals","Acer Red Pygmy ","Origins","East Asia","Origins","East Asia"
"Treemovals","Acer Red Pygmy ","Habit/ Form","Very compact, 'dome' shaped small tree.","Habit/ Form","Very compact, 'dome' shaped small tree."
"Treemovals","Acer Red Pygmy ","Leaves","Palmate leaves with five- to seven lobes that are very narrow and linear on older branches and divided entirely to the petiole. The leaves on young wood are significantly broader in the lobes. The leaf colour varies from deep marron in spring and early summer to purplish in late summer with a tendency to bronze in direct sun. Autumn colours deep rustic tones yellow, orange and red.","Leaves","Palmate leaves with five- to seven lobes that are very narrow and linear on older branches and divided entirely to the petiole. The leaves on young wood are significantly broader in the lobes. The leaf colour varies from deep marron in spring and early summer to purplish in late summer with a tendency to bronze in direct sun. Autumn colours deep rustic tones yellow, orange and red."
"Treemovals","Acer Red Pygmy ","Flowers","Small red flowers in spring.","Flowers","Small red flowers in spring."
"Treemovals","Acer Red Pygmy ","Fruit","Inconspicuous.","Fruit","Inconspicuous."
"Treemovals","Acer Red Pygmy ","Bark / Trunk","Young branches are greenish-brown.","Bark / Trunk","Young branches are greenish-brown."
"Treemovals","Acer Red Pygmy ","Vigour / Longevity","Young branches are greenish-brown aging to pale brown or grey brown bark.","Vigour / Longevity","Young branches are greenish-brown aging to pale brown or grey brown bark."
"Treemovals","Acer Red Pygmy ","Environmental Requirements","Prefers full sun for best growth and colour development. Wide range of soil and climatic conditions including relatively wet sites.","Environmental Requirements","Prefers full sun for best growth and colour development. Wide range of soil and climatic conditions including relatively wet sites."
"Treemovals","Acer Red Pygmy ","Hardiness","Can handle moderate air pollution, heat, low levels of drought and cold conditions.","Hardiness","Can handle moderate air pollution, heat, low levels of drought and cold conditions."
"Treemovals","Acer Red Pygmy ","Soil / Drainage","Prefers a moist, slightly acidic, well-drained soil. Mulching after planting is beneficial.","Soil / Drainage","Prefers a moist, slightly acidic, well-drained soil. Mulching after planting is beneficial."
"Treemovals","Acer Red Pygmy ","Pruning","May require regular formative pruning for strong limb, trunk and crown structure. Avoid pruning in late winter and early spring.","Pruning","May require regular formative pruning for strong limb, trunk and crown structure. Avoid pruning in late winter and early spring."
"Treemovals","Acer Red Pygmy ","Watering","Keep well watered throughout the warmer months.","Watering","Keep well watered throughout the warmer months."
"Treemovals","Acer Red Pygmy ","Fertilising","Long-term slow release fertiliser is recommended.","Fertilising","Long-term slow release fertiliser is recommended."
"Treemovals","Acer Red Pygmy ","Pests / Diseases","Susceptible to rust that can cause foliage abscission, but resistant to apple scab.","Pests / Diseases","Susceptible to rust that can cause foliage abscission, but resistant to apple scab."
