"study","species","trait_name","value"
"Benaranurseries","Abelia grandiflora","Common Name","Glossy Abelia"
"Benaranurseries","Abelia grandiflora","Plant Type","Evergreen, Hedge, Outdoor, Perennial, Shrub"
"Benaranurseries","Abelia grandiflora","Dimensions","2m high x 2m wide"
"Benaranurseries","Abelia grandiflora","Sunlight","Full Sun, Part Sun"
"Benaranurseries","Abelia grandiflora","Bird/Wildlife Attracting","Yes"
"Benaranurseries","Abelia grandiflora","Flower Colour","White"
"Benaranurseries","Abelia grandiflora","Foliage Colour","Bronze, Green"
"Benaranurseries","Abelia grandiflora","Flowering Season","Autumn, Spring, Summer"
"Benaranurseries","Abelia grandiflora","Botanical Genus","Abelia"
"Benaranurseries","Abelia grandiflora","Botanical Species","x"
"Benaranurseries","Abelia grandiflora","Flower Type","Campanulate - Bell Shaped, With The Segments Gently Flaring"
"Benaranurseries","Abelia grandiflora","Foliage Type","Acuminate - Tapering To A Long Point/Ovate - Egg-shaped, Wide At Base"
"Benaranurseries","Abelia grandiflora","Width","200 cm"
"Benaranurseries","Abelia grandiflora","Height","200 cm"
"Benaranurseries","Abelia grandiflora","description","Abelia Grandiflora, commonly known as 'glossy Abelia', is a quick growing evergreen shrub with branches arching from the base.  With it's glossy dark green leaves and white, slightly perfumed flowers, this beautiful exotic shrub provides a blaze of vibrant colour throughout summer and autumn with the new growth displaying a reddish tinge. The reddish coloured calyces are an added feature after flowering.This ornamental shrub is ideal for any domestic garden or  a landscape project whether it be a low informal hedge, a border shrub, mass planted or is equally stunning planted on its own.Plant Abelia Grandflora in full sun to partial shade with well-drained fertile soils with ample summer moisture. Prune to remove spent calyces and old basal shoots to maintain bushiness.Abelia Grandiflora can reach a height of 2 metres and a width of 2 metres."
"Benaranurseries","Abelia grandiflora aurea","Common Name","Variegated Glossy Abelia"
"Benaranurseries","Abelia grandiflora aurea","Plant Type","Evergreen, Hedge, Outdoor, Perennial, Shrub"
"Benaranurseries","Abelia grandiflora aurea","Dimensions","2m high x 2m wide"
"Benaranurseries","Abelia grandiflora aurea","Sunlight","Full Sun, Part Sun"
"Benaranurseries","Abelia grandiflora aurea","Bird/Wildlife Attracting","Yes"
"Benaranurseries","Abelia grandiflora aurea","Flower Colour","White"
"Benaranurseries","Abelia grandiflora aurea","Foliage Colour","Green, Yellow"
"Benaranurseries","Abelia grandiflora aurea","Flowering Season","Autumn, Spring, Summer"
"Benaranurseries","Abelia grandiflora aurea","Botanical Genus","Abelia"
"Benaranurseries","Abelia grandiflora aurea","Botanical Species","x"
"Benaranurseries","Abelia grandiflora aurea","Flower Type","Campanulate - Bell Shaped, With The Segments Gently Flaring"
"Benaranurseries","Abelia grandiflora aurea","Foliage Type","Acuminate - Tapering To A Long Point/Ovate - Egg-shaped, Wide At Base"
"Benaranurseries","Abelia grandiflora aurea","Market Name","Aurea"
"Benaranurseries","Abelia grandiflora aurea","Width","200 cm"
"Benaranurseries","Abelia grandiflora aurea","Height","200 cm"
"Benaranurseries","Abelia grandiflora aurea","description","This golden Abelia is a striking golden foliaged evergreen shrub. Aurea, also known as the glossy abelia, forms a mound of foliage that will brighten any garden. An added advantage is that it flowers late in the season adding colour and interest in autumn when the bush is covered with tubular white flowers with a pinkish flush. The Abelia Aurea will tolerate partial-shade, making it very useful for lighting up a dull border or corner of the patio. Can be pruned at will, so makes an excellent pot specimen. Aurea also grows well in pots so is great for smaller or patio gardens, and also makes a striking alternative plant for hedging.Plant Abelia Aurea in full sun or partial shade in any reasonably drained soil with added humus.Abelia Aurea will grow to a height and width of 2 metres."
"Benaranurseries","Acacia cognata","Common Name","Burgundy Bower Wattle"
"Benaranurseries","Acacia cognata","Plant Type","Evergreen, Hedge, Native Australian Plant, Outdoor, Perennial, Shrub, Tree"
"Benaranurseries","Acacia cognata","Dimensions","4m high x 3m wide"
"Benaranurseries","Acacia cognata","Sunlight","Full Sun, Part Sun"
"Benaranurseries","Acacia cognata","Bird/Wildlife Attracting","Yes"
"Benaranurseries","Acacia cognata","Flower Colour","Yellow"
"Benaranurseries","Acacia cognata","Foliage Colour","Burgundy, Green"
"Benaranurseries","Acacia cognata","Flowering Season","Spring"
"Benaranurseries","Acacia cognata","Botanical Genus","Acacia"
"Benaranurseries","Acacia cognata","Botanical Species","cognata"
"Benaranurseries","Acacia cognata","Flower Type","Globular - Spherical Shape"
"Benaranurseries","Acacia cognata","Foliage Type","Lanceolate - Pointed At Both Ends"
"Benaranurseries","Acacia cognata","Market Name","Burgundy Cascade"
"Benaranurseries","Acacia cognata","Width","300 cm"
"Benaranurseries","Acacia cognata","Height","400 cm"
"Benaranurseries","Acacia cognata","description","Acacia cognata Burgundy Cascade is a stunning shrub or small tree with cascading foliage. This Australian native has thin smooth green leaves with a burgundy edge that gives it an interesting range of colour throughout the year. The flowers are small, ball shaped, pale yellow and speckled throughout the foliage.This form of Acacia creates a stunning effect when planted in groups but is also equally great when used as a small specimen tree in any sized garden adding great colour and texture. Works well in large containers or as an informal hedge.Acacia cognata Burgundy Cascade prefers humus rich, moist, well drained soil in a sunny position and can tolerate most soils and most ph levels.Acacia cognata Burgundy Cascade grows to a height of 4 metres and a width of 3 metres."
"Benaranurseries","Acacia cognata","Common Name","Bower of Beauty Wattle"
"Benaranurseries","Acacia cognata","Plant Type","Evergreen, Native Australian Plant, Outdoor, Perennial, Shrub"
"Benaranurseries","Acacia cognata","Dimensions","0.5-1m high x 1m wide"
"Benaranurseries","Acacia cognata","Sunlight","Full Sun, Part Sun"
"Benaranurseries","Acacia cognata","Bird/Wildlife Attracting","No"
"Benaranurseries","Acacia cognata","Foliage Colour","Green, Lime"
"Benaranurseries","Acacia cognata","Botanical Genus","Acacia"
"Benaranurseries","Acacia cognata","Botanical Species","cognata"
"Benaranurseries","Acacia cognata","Flower Type","No"
"Benaranurseries","Acacia cognata","Foliage Type","Acicular - Needle Shaped"
"Benaranurseries","Acacia cognata","Market Name","Limelight (PBR)"
"Benaranurseries","Acacia cognata","Width","100 cm"
"Benaranurseries","Acacia cognata","Height","100 cm"
"Benaranurseries","Acacia cognata","description","Limelight is a prominent feature for any garden or landscape. Acacia cognata Limelight is equipped with a compact mounded weeping habit and produces soft decorative foliage in a brilliant lime green shade. The pendulous leaves are the focus for this plant as it does not flower, and is renowned for its lush display of foliage all year round. Acacia cognata Limelight is hardy, drought and frost tolerant, with a multitude of uses such as informal hedging, borders, feature planting, cascading down walls or retainers and in patio pots.  Limelight is also widely used in commercial plantings for contrast planting with great effect.  Plant Acacia cognata Limelight in well draining soils with full to part sun exposure. Acacia cognata Limelight is easy to grow with minimal maintenance required. Use a slow release fertiliser specific for natives in spring, and water occasionally during hot periods.Acacia cognata Limelight can grow to a height and width of 1 metre."
"Benaranurseries","Acalypha wilkesiana","Common Name","Fijian Fire Plant"
"Benaranurseries","Acalypha wilkesiana","Plant Type","Evergreen, Hedge, Outdoor, Perennial, Shrub"
"Benaranurseries","Acalypha wilkesiana","Dimensions","3m high x 3m wide"
"Benaranurseries","Acalypha wilkesiana","Sunlight","Full Sun, Part Sun"
"Benaranurseries","Acalypha wilkesiana","Bird/Wildlife Attracting","No"
"Benaranurseries","Acalypha wilkesiana","Flower Colour","Red"
"Benaranurseries","Acalypha wilkesiana","Foliage Colour","Crimson, Maroon, Red"
"Benaranurseries","Acalypha wilkesiana","Flowering Season","Summer"
"Benaranurseries","Acalypha wilkesiana","Botanical Genus","Acalypha"
"Benaranurseries","Acalypha wilkesiana","Botanical Species","wilkesiana"
"Benaranurseries","Acalypha wilkesiana","Flower Type","Catkins"
"Benaranurseries","Acalypha wilkesiana","Foliage Type","Ovate - Egg-shaped, Wide At Base"
"Benaranurseries","Acalypha wilkesiana","Width","300 cm"
"Benaranurseries","Acalypha wilkesiana","Height","300 cm"
"Benaranurseries","Acalypha wilkesiana","description","This South Pacific native shrub is known for its magnificent display of colour. With splashes of red, maroon, brown and crimson, Acalypha wilkesiana Red will provide a stunning contrast of colour in any garden or landscape. Acalypha wilkesiana Red is commonly used as a large informal hedge, screen or as a specimen shrub. The large leaves make this Acalypha idea for a tropical garden.Acaclypha wilkesiana Red  prefers a sunny, warm position and will tolerate light-filtered shade. Plant Acalypha wilkesiana Red in well drained soils, with the addition of quality organic matter to promote healthy growth. However it is hardy and will tolerate lesser soils. A waterwise plant once established however occasional watering is recommended during long dry periods in summer. Slow release fertiliser can be used in early spring or summer.Acalypha wilkesiana Red will grow up to a height and width of 3 metres but can be maintained at a smaller size if desired."
"Benaranurseries","Acer x freemanii 'Jeffersred'","Common Name","Maple"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Plant Type","Deciduous, Outdoor, Perennial, Tree"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Dimensions","13m high x 10m wide"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Sunlight","Full Sun"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Bird/Wildlife Attracting","No"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Foliage Colour","Bronze, Brown, Copper, Green"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Botanical Genus","Acer"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Botanical Species","x freemanii 'Jeffersred'"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Flower Type","No"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Foliage Type","Pedate - Palmate, Divided Lateral Lobes"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Market Name","Autumn Blaze™"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Width","1000 cm"
"Benaranurseries","Acer x freemanii 'Jeffersred'","Height","1300 cm"
"Benaranurseries","Acer x freemanii 'Jeffersred'","description","These are a 'uniform' growing tree ideal for driveways and avenues.Also a lovely specimen tree in the garden.This variety has exceptional autumn colour making it a 'standout' tree."
"Benaranurseries","ACER Dissectum Inaba-shidara","Common Name","Japanese Maple, Superb Autumn Colour"
"Benaranurseries","ACER Dissectum Inaba-shidara","Dimensions","3.5m x 3m"
"Benaranurseries","ACER Dissectum Inaba-shidara","Bird/Wildlife Attracting","No"
"Benaranurseries","ACER Dissectum Inaba-shidara","Flower Type","No"
"Benaranurseries","ACER Dissectum Inaba-shidara","Foliage Type","No"
"Benaranurseries","ACER Dissectum Inaba-shidara","description","*"
"Benaranurseries","Acer rubrum","Common Name","Maple"
"Benaranurseries","Acer rubrum","Plant Type","Deciduous, Outdoor, Perennial, Tree"
"Benaranurseries","Acer rubrum","Dimensions","11m high x 7m wide"
"Benaranurseries","Acer rubrum","Sunlight","Full Sun, Part Sun"
"Benaranurseries","Acer rubrum","Bird/Wildlife Attracting","No"
"Benaranurseries","Acer rubrum","Foliage Colour","Bronze, Brown, Copper, Green, Orange, Purple, Red, Yellow"
"Benaranurseries","Acer rubrum","Planting Season","Autumn, Spring, Summer, Winter"
"Benaranurseries","Acer rubrum","Botanical Genus","Acer"
"Benaranurseries","Acer rubrum","Botanical Species","rubrum"
"Benaranurseries","Acer rubrum","Flower Type","No"
"Benaranurseries","Acer rubrum","Foliage Type","Palmate - Like A Hand With Fingers"
"Benaranurseries","Acer rubrum","Market Name","Fairview Flame (PBR)"
"Benaranurseries","Acer rubrum","Width","700 cm"
"Benaranurseries","Acer rubrum","Height","1100 cm"
"Benaranurseries","Acer rubrum","description","This stunning red maple puts on a show of redish-orange foliage every autumn. Being a standout specimen tree it makes an excellent addition to larger gardens and park lands. Perfect for avenue planting, this variety is also a reasonably quick grower.The 'Fairview Flame' is one of the best 'red' maple cultivars supplying reliable autumn colour and maintains a nice shape."
"Benaranurseries","Acer rubrum","Common Name","October Glory Maple"
"Benaranurseries","Acer rubrum","Plant Type","Deciduous, Outdoor, Perennial, Tree"
"Benaranurseries","Acer rubrum","Dimensions","12m high x 9m wide"
"Benaranurseries","Acer rubrum","Sunlight","Full Sun, Part Sun"
"Benaranurseries","Acer rubrum","Bird/Wildlife Attracting","No"
"Benaranurseries","Acer rubrum","Foliage Colour","Bronze, Brown, Copper, Green, Orange, Purple, Red, Yellow"
"Benaranurseries","Acer rubrum","Planting Season","Autumn, Spring, Summer, Winter"
"Benaranurseries","Acer rubrum","Botanical Genus","Acer"
"Benaranurseries","Acer rubrum","Botanical Species","rubrum"
"Benaranurseries","Acer rubrum","Flower Type","No"
"Benaranurseries","Acer rubrum","Foliage Type","Palmate - Like A Hand With Fingers"
"Benaranurseries","Acer rubrum","Market Name","October Glory"
"Benaranurseries","Acer rubrum","Width","900 cm"
"Benaranurseries","Acer rubrum","Height","1200 cm"
"Benaranurseries","Acer rubrum","description","This variety of Acer has very impressive autumn colour starting green and turning a dark pinkinsh-red in autumn. the underside of the leaves also change from grey in spring to pink in autumn. This is a variety that changes a bit later than the others and holds its leaves longer into the season. The tree shape is oval/rounded shape once mature.Ideal specimen tree, group plantings or avenues."
"Benaranurseries","ACER p. Dissectum Atropurpurea","Common Name","Japanese Maple, Superb Autumn Colour"
"Benaranurseries","ACER p. Dissectum Atropurpurea","Dimensions","3.5m x 3m"
"Benaranurseries","ACER p. Dissectum Atropurpurea","Bird/Wildlife Attracting","No"
"Benaranurseries","ACER p. Dissectum Atropurpurea","Flower Type","No"
"Benaranurseries","ACER p. Dissectum Atropurpurea","Foliage Type","No"
"Benaranurseries","ACER p. Dissectum Atropurpurea","description","*"
"Benaranurseries","Acmena smithii minor","Common Name","Lilly Pilly"
"Benaranurseries","Acmena smithii minor","Plant Type","Coastal, Hedge, Native Australian Plant, Outdoor, Perennial, Shrub"
"Benaranurseries","Acmena smithii minor","Dimensions","3m high x 1.5m wide"
"Benaranurseries","Acmena smithii minor","Sunlight","Full Sun"
"Benaranurseries","Acmena smithii minor","Bird/Wildlife Attracting","Yes"
"Benaranurseries","Acmena smithii minor","Flower Colour","Cream"
"Benaranurseries","Acmena smithii minor","Foliage Colour","Green, Red"
"Benaranurseries","Acmena smithii minor","Planting Season","Spring, Summer"
