"Species","trait_name","value"
"Acacia acinacea","Scientific Name","Acacia acinacea"
"Acacia acinacea","Family","Fabaceae"
"Acacia acinacea","Common Name","Wattle"
"Acacia acinacea","Other Common Names","Gold Dust Wattle"
"Acacia acinacea","Plant Type","Small shrub"
"Acacia acinacea","Height","0.2 ~ 0.5 metres"
"Acacia acinacea","Width","1 ~ 1.5 metre"
"Acacia acinacea","Flower Colour","Yellow"
"Acacia acinacea","Flowering Time","Spring, Summer"
"Acacia acinacea","Ph Level","Acid, Neutral"
"Acacia acinacea","Soil Type","Clay, Loamy, Sandy loam, Clay loam, Potting mix"
"Acacia acinacea","Plant Environment","Low maintenance garden, Courtyard, Container growing, Drought resistant"
"Acacia acinacea","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Acacia acinacea","Light","Sunny, Light shade"
"Acacia acinacea","Planting Season","All year"
"Acacia acinacea","Growth Habit","Evergreen, Mound-shaped"
"Acacia acinacea","Lifespan","Perennial"
"Acacia acinacea","Soil Moisture","Well-drained, Moist moderate drainage"
"Acacia acinacea","Frost Tolerance","Tolerates heavy frost, Tolerates light frost"
"Acacia acinacea","Plant Usage","Feature plant, Border plant, Wow factor"
"Acacia acinacea","Special Uses","Bonsai, Fast growing, Playground friendly"
"Acacia acinacea","Attracts Wildlife","Bees, Seed eating birds, Butterflies"
"Acacia acinacea","description","A low dense spreading mounded shrub. Soft rounded leaves on graceful stems which are covered in golden balls in spring and early summer. A handsome and low maintenance landscape accent. Plant along path edges for a soft mounded hedge effect, amongst bold rockwork, or in large containers for a stunning long-flowering focus in patio or courtyard environment. Flowers best in a sunny spot, but will also grow in part shade. Good frost tolerance. Grows in dry or moist soils, well drained gravels or sandy soils and adapts well to heavy clay soils. Attracts seed feeding birds."
"Acacia spectabilis","Scientific Name","Acacia spectabilis"
"Acacia spectabilis","Family","Fabaceae"
"Acacia spectabilis","Common Name","Wattle"
"Acacia spectabilis","Other Common Names","Mudgee wattle"
"Acacia spectabilis","Plant Type","Small tree, Large shrub"
"Acacia spectabilis","Height","2 ~ 6 metres"
"Acacia spectabilis","Width","2 ~ 4 metres"
"Acacia spectabilis","Flower Colour","Yellow, Gold"
"Acacia spectabilis","Flowering Time","Spring"
"Acacia spectabilis","Ph Level","Acid, Neutral"
"Acacia spectabilis","Soil Type","Sandy, Loamy, Sandy loam, Clay loam"
"Acacia spectabilis","Plant Environment","Low maintenance garden, Container growing, Flower garden, Coastal garden, Drought resistant"
"Acacia spectabilis","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Acacia spectabilis","Light","Sunny, Light shade"
"Acacia spectabilis","Growth Habit","Evergreen, Open foliage, Spreading"
"Acacia spectabilis","Lifespan","Perennial"
"Acacia spectabilis","Soil Moisture","Well-drained, Moist moderate drainage"
"Acacia spectabilis","Propagation Method","Seed"
"Acacia spectabilis","Frost Tolerance","Tolerates heavy frost"
"Acacia spectabilis","Plant Usage","Screen, Windbreak"
"Acacia spectabilis","Special Uses","Bird nesting plant, Fast growing, Playground friendly"
"Acacia spectabilis","Attracts Wildlife","Bees, Seed eating birds"
"Acacia spectabilis","description","A very ornamental and fast growing wattle, with clear and bright golden yellow ball shaped flowers in spring and quite attractive when not in bloom. It can be a large shrub to small tree, with ferny soft foliage. It is best in free draining soils in a sunny spot, with regular moisture, and can grow a metre a year. Prune after flowering to shape to a shade tree or for a more bushy plant. Tolerates moderate frost and some shade."
"Acacia pycnantha","Scientific Name","Acacia pycnantha"
"Acacia pycnantha","Family","Fabaceae"
"Acacia pycnantha","Common Name","Wattle"
"Acacia pycnantha","Other Common Names","Golden Wattle"
"Acacia pycnantha","Plant Type","Small tree, Large shrub"
"Acacia pycnantha","Height","2 ~ 10 metres"
"Acacia pycnantha","Width","2 ~ 6 metres"
"Acacia pycnantha","Flower Colour","Yellow, Gold"
"Acacia pycnantha","Flowering Time","Spring, Winter"
"Acacia pycnantha","Ph Level","Neutral"
"Acacia pycnantha","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Potting mix, Poor soil"
"Acacia pycnantha","Plant Environment","Low maintenance garden, Flower garden, Drought resistant"
"Acacia pycnantha","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Acacia pycnantha","Light","Sunny, Light shade"
"Acacia pycnantha","Growth Habit","Evergreen, Spreading"
"Acacia pycnantha","Lifespan","Perennial, Short lived"
"Acacia pycnantha","Threats","Borers"
"Acacia pycnantha","Soil Moisture","Well-drained"
"Acacia pycnantha","Propagation Method","Seed"
"Acacia pycnantha","Frost Tolerance","Tolerates light frost"
"Acacia pycnantha","Plant Usage","Feature plant, Screen, Windbreak"
"Acacia pycnantha","Special Uses","Edible, Erosion control, Bird nesting plant, Fast growing, Playground friendly"
"Acacia pycnantha","Attracts Wildlife","Bees, Seed eating birds, Other insects"
"Acacia pycnantha","description","The golden wattle is the floral emblem of Australia with its masses of sunshine yellow balls of flowers brightening the bush and gardens in late winter to early spring. It grows from 2 to 10 metres tall and is fast growing, but sadly can be short lived. Adapts to most soils as long as they are free draining, and can take some frost and dry periods. Performs best in temperate climate zones. A useful plant- the flowers are fragrant and can be used for making perfume, the seed is edible and the bark is rich in tannins. Green seed can be cooked like peas. Ripe seed can be baked then ground with a mortar and pestle into a low glycaemic flour."
"Acacia binerva","Scientific Name","Acacia binerva"
"Acacia binerva","Family","Fabaceae"
"Acacia binerva","Common Name","Wattle"
"Acacia binerva","Other Common Names","Coast Myall"
"Acacia binerva","Plant Type","Small tree, Large tree"
"Acacia binerva","Height","5 ~ 8 metres"
"Acacia binerva","Width","5 ~ 8 metres"
"Acacia binerva","Flower Colour","Yellow"
"Acacia binerva","Flowering Time","Spring"
"Acacia binerva","Ph Level","Acid, Neutral, Alkaline"
"Acacia binerva","Soil Type","Clay, Loamy, Sandy loam, Clay loam, Poor soil"
"Acacia binerva","Plant Environment","Low maintenance garden, Coastal garden, Drought resistant"
"Acacia binerva","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Acacia binerva","Light","Sunny"
"Acacia binerva","Growth Habit","Evergreen, Open foliage, Spreading"
"Acacia binerva","Lifespan","Perennial"
"Acacia binerva","Soil Moisture","Well-drained, Moist moderate drainage"
"Acacia binerva","Propagation Method","Seed"
"Acacia binerva","Frost Tolerance","Tolerates light frost"
"Acacia binerva","Plant Usage","Screen, Windbreak"
"Acacia binerva","Special Uses","Erosion control, Honey producing plant, Bird nesting plant, Pollution tolerant, Fast growing, Playground friendly"
"Acacia binerva","Attracts Wildlife","Bees, Seed eating birds, Butterflies, Other insects"
"Acacia binerva","description","A small to medium tree, and long lived for a wattle. It grows in an upright or spreading shape, with blue green and hairy leaves. It flowers in spring with rod shaped bright yellow flowers. It is an adaptable plant, suiting most soil types including alkaline. Growing from 5 to 8 metres high and wide, and can grow to 16 metres in the right conditions. Drought and frost tolerant. The leaves are toxic to livestock."
"Acacia cardiophylla","Scientific Name","Acacia cardiophylla"
"Acacia cardiophylla","Family","Fabaceae"
"Acacia cardiophylla","Common Name","Wattle"
"Acacia cardiophylla","Other Common Names","Wyalong Wattle"
"Acacia cardiophylla","Plant Type","Small shrub, Ground cover"
"Acacia cardiophylla","Height","0.3 ~ 0.4 metres"
"Acacia cardiophylla","Width","1 ~ 3 metre"
"Acacia cardiophylla","Flower Colour","Yellow"
"Acacia cardiophylla","Flowering Time","Spring, Winter"
"Acacia cardiophylla","Ph Level","Acid, Neutral, Alkaline"
"Acacia cardiophylla","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Potting mix"
"Acacia cardiophylla","Plant Environment","Low maintenance garden, Container growing, Coastal garden"
"Acacia cardiophylla","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Semi-arid"
"Acacia cardiophylla","Light","Sunny"
"Acacia cardiophylla","Growth Habit","Evergreen, Dense foliage, Spreading, Weeping"
"Acacia cardiophylla","Lifespan","Perennial"
"Acacia cardiophylla","Soil Moisture","Dry, Well-drained, Moist moderate drainage"
"Acacia cardiophylla","Frost Tolerance","Tolerates light frost"
"Acacia cardiophylla","Plant Usage","Groundcover"
"Acacia cardiophylla","Special Uses","Bonsai, Erosion control, Fast growing, Playground friendly"
"Acacia cardiophylla","Attracts Wildlife","Bees, Seed eating birds, Other insects"
