"study","species","trait_name","value"
"KingsparkBG","Anigozanthos manglesii","Description","The Red and Green Kangaroo Paw is a herbaceous, clump-forming perennial with long, green, strappy leaves, and flower stalks to 1.2 m high. The young flowers resemble the paws of a kangaroo, hence the common name."
"KingsparkBG","Anigozanthos manglesii","Flowers","Plants produce multiple green and red, velvety flowers from late winter through spring. Colour variations are fairly common. Plants with green/yellow and combinations of purple, pink, orange and green flowers (called 'sports') may be found."
"KingsparkBG","Anigozanthos manglesii","Growing conditions","Kangaroo Paws grow well in sands, sandy loams and gravelly soils, in either full sun or dappled shade. They also grow successfully in pots using a good quality native plant potting mix. They are best planted in autumn and winter months."
"KingsparkBG","Anigozanthos manglesii","Watering","Water this plant at the base, taking care not to allow too much water to remain on the leaves as this may lead to a fungal infection, called 'ink spot', which blackens the leaves and reduces the vigour of the plant."
"KingsparkBG","Anigozanthos manglesii","Pruning","Remove spent flowers by cutting right down to the base of the stem. To promote strong healthy growth the following year, Kangaroo Paws may be pruned right back to almost ground level in early autumn."
"KingsparkBG","Anigozanthos manglesii","Fertiliser","Applications of slow release native blend 34 month fertiliser are best done at the time of planting."
"KingsparkBG","Anigozanthos manglesii","Pests and diseases","If planting in the garden, Kangaroo Paws may need protection from snails and slugs, and to a lesser extent, caterpillars, particularly when young. They are susceptible to ink spot and rust fungus, which can be minimised by avoiding overhead watering."
"KingsparkBG","Anigozanthos manglesii","Miscellaneous","Anigozanthos manglesii named after Robert Miscellaneous overhead watering. susceptible to ink spot and rust fungus, which can be minimised by avoiding slugs, and to a lesser extent, caterpillars, particularly when young. They are If planting in the garden, Kangaroo Paws may need protection from snails and Pests and diseases time of planting. Applications of slow release native blend 34 month fertiliser are best done at the Fertiliser to almost ground level in early autumn. strong healthy growth the following year, Kangaroo Paws may be pruned right back Remove spent flowers by cutting right down to the base of the stem. To promote Pruning the leaves and reduces the vigour of the plant. the leaves as this may lead to a fungal infection, called 'ink spot', which blackens Water this plant at the base, taking care not to allow too much water to remain on Watering native plant potting mix. They are best planted in autumn and winter months. sun or dappled shade. They also grow successfully in pots using a good quality Kangaroo Paws grow well in sands, sandy loams and gravelly soils, in either full Growing conditions found. combinations of purple, pink, orange and green flowers (called 'sports') may be spring. Colour variations are fairly common. Plants with green/yellow and Plants produce multiple green and red, velvety flowers from late winter through Flowers resemble the paws of a kangaroo, hence the common name. long, green, strappy leaves, and flower stalks to 1.2 m high. The young flowers"
"KingsparkBG","Anigozanthos manglesii","common name","Mangles Kangaroo Paw"
"KingsparkBG","Rhodanthe chlorocephala subsp. rosea","Description","The Everlasting is an erect annual herb to 50 cm with daisy flower heads and light to mid-green foliage, sometimes with a bluish tinge."
"KingsparkBG","Rhodanthe chlorocephala subsp. rosea","Flowers","The flowers, of up to 45 mm across, range from crimson through pink to white with yellow or black centres. The best display is achieved by mass planting."
"KingsparkBG","Rhodanthe chlorocephala subsp. rosea","Growing conditions","Everlastings are best grown in sandy soils, in full sun. They also grow well in containers using a good quality native plant potting mix. Seed is best sown in May and can either be directly sown into a garden bed or into a seed-raising mix and planted out when about 30 mm high."
"KingsparkBG","Rhodanthe chlorocephala subsp. rosea","Watering","It is important to keep the soil moist once seed is sown and to water regularly until flowering. Overhead watering when in flower will cause the flowers to close up (They will open again once dried out.) Stop watering when flowers are spent and allow them to dry out completely if you wish to collect the seed."
"KingsparkBG","Rhodanthe chlorocephala subsp. rosea","Pruning","The first flush of flowers are best for drying, and picking these will encourage more flowering."
"KingsparkBG","Rhodanthe chlorocephala subsp. rosea","Fertiliser","Regularly apply soluble, all-purpose fertiliser at half strength until flower buds start developing. Applications of slow release native blend 34 month fertiliser and the use of blood and bone can all help ensure optimum growth. The richness of your garden soil will determine the quantities of fertiliser required."
"KingsparkBG","Rhodanthe chlorocephala subsp. rosea","Pests and diseases","Everlastings need protection from snails and slugs, as they are highly susceptible to attack. It is best to rid your garden of these pests a few weeks prior to sowing."
"KingsparkBG","Rhodanthe chlorocephala subsp. rosea","Miscellaneous","Everlastings may be dried by hanging the flowers upside down after cutting, and will last for a long time. In the garden they attract many bees and other pollinating insects. The flowers open fully in sunshine, but will close up in overcast or wet conditions, and at night. The seed may be collected and stored in a dry area either in a hessian sack or a paper bag. It is best collected towards the end of the growing season when the centre of the flower reveals white fluffy seeds."
"KingsparkBG","Rhodanthe chlorocephala subsp. rosea","common name","Pink Paper-daisy"
"KingsparkBG","Trachymene coerulea","Description","This spring/summer-flowering annual complements Pink Everlastings, as it flowers later and extends the display period. Plants grow to a height of 0.21.2 m by 0.5 m wide, have decorative foliage and look attractive planted throughout native gardens either en masse or as individual specimens."
"KingsparkBG","Trachymene coerulea","Flowers","The flower heads are generally shades of blue and can be as large as 50 mm across. Plants flower profusely with open, multi-branched, terminal heads."
"KingsparkBG","Trachymene coerulea","Growing conditions","The Blue Lace Flower grows naturally from Geraldton to Albany, mainly in coastal areas and is sometimes referred to as the Rottnest Island Daisy. To achieve the best results plants should be grown in full sun. Seeds may be sown directly into the garden in May, or grown first in a seed-raising mix and then transplanted into the garden when 50100 mm high."
"KingsparkBG","Trachymene coerulea","Watering","While most of this plants growing season is during the rainy winter months, additional watering towards the end of spring and in early summer will ensure optimum growth and flowering"
"KingsparkBG","Trachymene coerulea","Pruning","To achieve a multi-branched, bushy form, this species benefits from tip pruning when it is about 100 mm high."
"KingsparkBG","Trachymene coerulea","Fertiliser","Apply slow release native blend 34 month fertiliser at time of planting or seed sowing."
"KingsparkBG","Trachymene coerulea","Pests and diseases","This plant can sometimes be susceptible to stem borers which attack the young flowering stems; however, this is not common."
"KingsparkBG","Trachymene coerulea","Miscellaneous","To maintain a display year after year one may let plants go to seed, self-sow in the garden and germinate the following May/June. (Remember to fertilise these seedlings for best results.) One may also wait until the disc-like seeds are dry and brown, collect and store them in a paper bag in a dry environment. Re-sow the seed either directly, or in a seed-raising mix, in May."
"KingsparkBG","Trachymene coerulea","common name","Blue Lace Flower"
"KingsparkBG","Banksia blechnifolia","Description","The Prostrate Banksia is a groundcover growing to 0.7 m high and spreading to 2 3 m. It is great for mass planting to achieve impact and is ideal for growing in rockeries or in an elevated setting where the flowers are displayed over a low retaining wall. The reddish new foliage and fern-like leaves make this a most attractive plant."
"KingsparkBG","Banksia blechnifolia","Flowers","This species is one of the spring-flowering banksias. It comes in a range of colours including red, pink, cream, orange and brown, with velvety flower spikes of up to 160 mm."
"KingsparkBG","Banksia blechnifolia","Growing conditions","Plants are best grown in an open, sunny area on sandy soils or those that have good drainage and are neutral to slightly acid."
"KingsparkBG","Banksia blechnifolia","Watering","Once established, this Banksia should not need watering but watering once a week at the base of the plant will improve flowering. An open mulch will help to conserve moisture."
"KingsparkBG","Banksia blechnifolia","Pruning","To promote flowering remove the old, spent cones."
"KingsparkBG","Banksia blechnifolia","Fertiliser","Apply slow release native blend 89 month fertiliser at time of planting and annually as required in spring."
"KingsparkBG","Banksia blechnifolia","Pests and diseases","This plant can be susceptible to scale and dieback (the soil-borne fungus, Phytophthora cinnamomi)."
"KingsparkBG","Banksia blechnifolia","Miscellaneous","Banksia blechnifolia is a non- lignotuberous species, that is, it has no underground rootstock from which regrowth will sprout following fire, physical damage or soil disturbance. It may need to be replaced after 5 to 10 years if the vigour decreases."
"KingsparkBG","Banksia blechnifolia","common name","Prostrate Banksia"
"KingsparkBG","Banksia nivea","Description","Couch Honeypot is a compact shrub that grows to about 1 m by 1 m. It has attractive, fern-like foliage."
"KingsparkBG","Banksia nivea","Flowers","This species flowers over a long period of time, often bearing a few flowers throughout much of the year. Its main flowering time is during spring with flower colours including cream, yellow, orange, pink, red and brown. Generally the Couch Honeypot flower heads are up to 40 mm in diameter."
"KingsparkBG","Banksia nivea","Growing conditions","Plants grow well in semi-shade, but will tolerate full sun. Suitable soil types range from sand through to gravelly well-drained soils. Like most native species, it is best planted in early autumn/winter."
"KingsparkBG","Banksia nivea","Watering","Once established, this plant should not need watering but watering once a week at its base will improve flowering. Open mulch will help to conserve moisture."
"KingsparkBG","Banksia nivea","Pruning","Little to no pruning is required for this species; however some early formative pruning will encourage compact growth."
"KingsparkBG","Banksia nivea","Fertiliser","Apply slow release native blend 89 month fertiliser at planting and annually as required in spring."
"KingsparkBG","Banksia nivea","Pests and diseases","Couch Honeypot can be susceptible to scale and dieback (the soil-borne fungus Phytophthora cinnamomi)."
"KingsparkBG","Banksia nivea","Miscellaneous","The leaves of this species are quite distinctive, creating visual contrast and impact within a mixed planting. Couch Honeypot may be planted singly or en masse. Plants may need to be replaced every 5 to 10 years if the growing vigour decreases."
"KingsparkBG","Banksia nivea","common name","Honeypot Dryandra"
"KingsparkBG","Dodonaea ceratocarpa","Description","The prostrate form of Dodonaea ceratocarpa creates a dense ground cover of up to 30 cm high and 4 m wide. Although not suited to foot traffic, it provides a cool look and good weed suppression."
"KingsparkBG","Dodonaea ceratocarpa","Flowers","The small and insignificant cream-green flowers occur mainly from May to October and are followed by winged fruit, but it is the little deep green, flat leaves, 312 mm wide, which are the most attractive feature."
"KingsparkBG","Dodonaea ceratocarpa","Growing conditions","This plant will thrive in all well-drained soil types, including coastal limestone. It tolerates full sun, likes lightly shaded areas and succeeds in heavy shade where many ground covers fail."
"KingsparkBG","Dodonaea ceratocarpa","Watering","Water thoroughly at planting time and until established. Although plants will survive dry conditions, a once-a-week watering during dry periods will maintain lush green foliage."
"KingsparkBG","Dodonaea ceratocarpa","Pruning","Trim lightly after flowering to maintain good dense coverage."
"KingsparkBG","Dodonaea ceratocarpa","Fertiliser","Apply a slow-release native plant fertiliser when planting and annually as required in the spring months."
"KingsparkBG","Dodonaea ceratocarpa","Pests and diseases","This species is rarely susceptible to pests or diseases but scale and mealy-bug may cause minor issues."
"KingsparkBG","Dodonaea ceratocarpa","Miscellaneous","Early settlers used the winged fruits of some Dodonaea species as a substitute for hops when brewing beer and this gave rise to the"
"KingsparkBG","Dodonaea ceratocarpa","common name","Horny Hop-Bush"
"KingsparkBG","Scaevola aemula <U+0092>Purple Fanfare<U+0092>","Description","This profusely flowering, quick-growing groundcover forms plants to a height of 30 mm and a width of 0.6 m. It is most suitable for rockeries, hanging baskets, mass planting and as a substitute for ornamental annuals, e.g. petunias. Purple Fanfare is a must for every home garden."
"KingsparkBG","Scaevola aemula <U+0092>Purple Fanfare<U+0092>","Flowers","The five-petalled mauve/purple flowers of the plants are most abundant during the early summer months. However, it is possible to maintain flowering all year round."
"KingsparkBG","Scaevola aemula <U+0092>Purple Fanfare<U+0092>","Growing conditions","Purple Fanfare can be grown in a range of well-drained soils but is ideally suited to coastal planting as this is its natural habitat. It is best planted during the winter months and grown in full sun, although it will tolerate partial shade."
"KingsparkBG","Scaevola aemula <U+0092>Purple Fanfare<U+0092>","Watering","To maximise display, this Scaevola appreciates being watered twice a week at the base of the plant. Open mulch will help to conserve moisture."
"KingsparkBG","Scaevola aemula <U+0092>Purple Fanfare<U+0092>","Pruning","Light, regular pruning is the key to getting the best out of the species."
"KingsparkBG","Scaevola aemula <U+0092>Purple Fanfare<U+0092>","Fertiliser","Apply slow release native blend 89 month fertiliser at planting and annually as required in spring."
"KingsparkBG","Scaevola aemula <U+0092>Purple Fanfare<U+0092>","Pests and diseases","Purple Fanfare can be susceptible to scale, mealybugs and a botrytis fungal mould, although these are not common when it is grown in appropriate conditions."
"KingsparkBG","Scaevola aemula <U+0092>Purple Fanfare<U+0092>","Miscellaneous","This plant is relatively short- lived with best results achieved in its first year, although it may live longer in optimum conditions. If vigour is lost, as tends to happen over the winter months, it is best to remove and replace plants."
"KingsparkBG","Scaevola aemula <U+0092>Purple Fanfare<U+0092>","common name","Fairy Fan-Flower"
"KingsparkBG","Anigozanthos hybrid <U+0091>Big Red<U+0092>","Description","This strappy-leaved, herbaceous perennial is a hybrid between Anigozanthos flavidus and Anigozanthos rufus. The plant grows to approximately 0.6 m high with flower spikes reaching up to 2 m. Plant en masse as a single colour or mix with a range of varying colour forms of Kangaroo Paw hybrids."
"KingsparkBG","Anigozanthos hybrid <U+0091>Big Red<U+0092>","Flowers","The large, bright red flowers are displayed at the ends of the long upright spikes in late spring/early summer."
"KingsparkBG","Anigozanthos hybrid <U+0091>Big Red<U+0092>","Growing conditions","This plant thrives in all soil types but it is important that the site is free-draining and in full sun. Big Red is best planted in the autumn and winter months."
"KingsparkBG","Anigozanthos hybrid <U+0091>Big Red<U+0092>","Watering","Once established, it needs little water but for optimum floral display it is best watered twice a week. When watering take care not to allow too much water to remain on the leaves. Open mulch will help to conserve moisture."
"KingsparkBG","Anigozanthos hybrid <U+0091>Big Red<U+0092>","Pruning","Cut flowering stems to their base as they finish flowering each year. Every second or third year prune the entire plant to ground level in early autumn, to maintain health and vigour."
"KingsparkBG","Anigozanthos hybrid <U+0091>Big Red<U+0092>","Fertiliser","Apply slow release native blend 89 month fertiliser at time of planting and annually."
"KingsparkBG","Anigozanthos hybrid <U+0091>Big Red<U+0092>","Pests and diseases","This hardy hybrid will withstand most pests providing vigour is maintained."
"KingsparkBG","Anigozanthos hybrid <U+0091>Big Red<U+0092>","Miscellaneous","If you have a small backyard, this species can also be planted as a single specimen or grown in a large container. These plants are best replaced after 5 years."
"KingsparkBG","Anigozanthos hybrid <U+0091>Big Red<U+0092>","common name","Kangaroo Paw Hybrid"
"KingsparkBG","<U+0091>Kings Park Federation Flame<U+0092>","Description","This kangaroo paw is a strappy-leaved plant like its relatives. A well-grown specimen can reach a height of 80 cm. Mass planted with other kangaroo paws they make an excellent display, and honey eaters will be particularly pleased."
"KingsparkBG","<U+0091>Kings Park Federation Flame<U+0092>","Flowers","Flowering time is late spring to early summer. Flowers can vary from a russet colour to a deep burgundy. Each flower is velvety in texture."
"KingsparkBG","<U+0091>Kings Park Federation Flame<U+0092>","Growing conditions","Anigozanthos rufus is an adaptable plant and will grow well in most soils, but prefers sand."
"KingsparkBG","<U+0091>Kings Park Federation Flame<U+0092>","Watering","Water in well at time of planting and monitor its water needs carefully for the first winter and summer. After this, ensure it has moisture during extended dry periods."
"KingsparkBG","<U+0091>Kings Park Federation Flame<U+0092>","Pruning","When flowering has finished, cut the flower stalks right off but do not cut the foliage."
"KingsparkBG","<U+0091>Kings Park Federation Flame<U+0092>","Fertiliser","Apply a slow-release native plant fertiliser at planting and annually in autumn."
