"","value","Trait","species"
"1","The Red and Green Kangaroo Paw is a herbaceous, clump-forming perennial with long, green, strappy leaves, and flower stalks to 1.2 m high. The young flowers resemble the paws of a kangaroo, hence the common name.","Description","Anigozanthos manglesii"
"2","Plants produce multiple green and red, velvety flowers from late winter through spring. Colour variations are fairly common. Plants with green/yellow and combinations of purple, pink, orange and green flowers (called 'sports') may be found.","Flowers","Anigozanthos manglesii"
"3","Kangaroo Paws grow well in sands, sandy loams and gravelly soils, in either full sun or dappled shade. They also grow successfully in pots using a good quality native plant potting mix. They are best planted in autumn and winter months.","Growing conditions","Anigozanthos manglesii"
"4","Water this plant at the base, taking care not to allow too much water to remain on the leaves as this may lead to a fungal infection, called 'ink spot', which blackens the leaves and reduces the vigour of the plant.","Watering","Anigozanthos manglesii"
"5","Remove spent flowers by cutting right down to the base of the stem. To promote strong healthy growth the following year, Kangaroo Paws may be pruned right back to almost ground level in early autumn.","Pruning","Anigozanthos manglesii"
"6","Applications of slow release native blend 3–4 month fertiliser are best done at the time of planting.","Fertiliser","Anigozanthos manglesii"
"7","If planting in the garden, Kangaroo Paws may need protection from snails and slugs, and to a lesser extent, caterpillars, particularly when young. They are susceptible to ink spot and rust fungus, which can be minimised by avoiding overhead watering.","Pests and diseases","Anigozanthos manglesii"
"8","Anigozanthos manglesii named after Robert Miscellaneous overhead watering. susceptible to ink spot and rust fungus, which can be minimised by avoiding slugs, and to a lesser extent, caterpillars, particularly when young. They are If planting in the garden, Kangaroo Paws may need protection from snails and Pests and diseases time of planting. Applications of slow release native blend 3–4 month fertiliser are best done at the Fertiliser to almost ground level in early autumn. strong healthy growth the following year, Kangaroo Paws may be pruned right back Remove spent flowers by cutting right down to the base of the stem. To promote Pruning the leaves and reduces the vigour of the plant. the leaves as this may lead to a fungal infection, called 'ink spot', which blackens Water this plant at the base, taking care not to allow too much water to remain on Watering native plant potting mix. They are best planted in autumn and winter months. sun or dappled shade. They also grow successfully in pots using a good quality Kangaroo Paws grow well in sands, sandy loams and gravelly soils, in either full Growing conditions found. combinations of purple, pink, orange and green flowers (called 'sports') may be spring. Colour variations are fairly common. Plants with green/yellow and Plants produce multiple green and red, velvety flowers from late winter through Flowers resemble the paws of a kangaroo, hence the common name. long, green, strappy leaves, and flower stalks to 1.2 m high. The young flowers","Miscellaneous","Anigozanthos manglesii"
"9","Mangles Kangaroo Paw","common name","Anigozanthos manglesii"
"10","The Everlasting is an erect annual herb to 50 cm with daisy flower heads and light to mid-green foliage, sometimes with a bluish tinge.","Description","Rhodanthe chlorocephala subsp. rosea"
"11","The flowers, of up to 45 mm across, range from crimson through pink to white with yellow or black centres. The best display is achieved by mass planting.","Flowers","Rhodanthe chlorocephala subsp. rosea"
"12","Everlastings are best grown in sandy soils, in full sun. They also grow well in containers using a good quality native plant potting mix. Seed is best sown in May and can either be directly sown into a garden bed or into a seed-raising mix and planted out when about 30 mm high.","Growing conditions","Rhodanthe chlorocephala subsp. rosea"
"13","It is important to keep the soil moist once seed is sown and to water regularly until flowering. Overhead watering when in flower will cause the flowers to close up (They will open again once dried out.) Stop watering when flowers are spent and allow them to dry out completely if you wish to collect the seed.","Watering","Rhodanthe chlorocephala subsp. rosea"
"14","The first flush of flowers are best for drying, and picking these will encourage more flowering.","Pruning","Rhodanthe chlorocephala subsp. rosea"
"15","Regularly apply soluble, all-purpose fertiliser at half strength until flower buds start developing. Applications of slow release native blend 3–4 month fertiliser and the use of blood and bone can all help ensure optimum growth. The richness of your garden soil will determine the quantities of fertiliser required.","Fertiliser","Rhodanthe chlorocephala subsp. rosea"
"16","Everlastings need protection from snails and slugs, as they are highly susceptible to attack. It is best to rid your garden of these pests a few weeks prior to sowing.","Pests and diseases","Rhodanthe chlorocephala subsp. rosea"
"17","Everlastings may be dried by hanging the flowers upside down after cutting, and will last for a long time. In the garden they attract many bees and other pollinating insects. The flowers open fully in sunshine, but will close up in overcast or wet conditions, and at night. The seed may be collected and stored in a dry area either in a hessian sack or a paper bag. It is best collected towards the end of the growing season when the centre of the flower reveals white fluffy seeds.","Miscellaneous","Rhodanthe chlorocephala subsp. rosea"
"18","Pink Paper-daisy","common name","Rhodanthe chlorocephala subsp. rosea"
"19","This spring/summer-flowering annual complements Pink Everlastings, as it flowers later and extends the display period. Plants grow to a height of 0.2–1.2 m by 0.5 m wide, have decorative foliage and look attractive planted throughout native gardens either en masse or as individual specimens.","Description","Trachymene coerulea"
"20","The flower heads are generally shades of blue and can be as large as 50 mm across. Plants flower profusely with open, multi-branched, terminal heads.","Flowers","Trachymene coerulea"
"21","The Blue Lace Flower grows naturally from Geraldton to Albany, mainly in coastal areas and is sometimes referred to as the Rottnest Island Daisy. To achieve the best results plants should be grown in full sun. Seeds may be sown directly into the garden in May, or grown first in a seed-raising mix and then transplanted into the garden when 50–100 mm high.","Growing conditions","Trachymene coerulea"
"22","While most of this plant’s growing season is during the rainy winter months, additional watering towards the end of spring and in early summer will ensure optimum growth and flowering","Watering","Trachymene coerulea"
"23","To achieve a multi-branched, bushy form, this species benefits from tip pruning when it is about 100 mm high.","Pruning","Trachymene coerulea"
"24","Apply slow release native blend 3–4 month fertiliser at time of planting or seed sowing.","Fertiliser","Trachymene coerulea"
"25","This plant can sometimes be susceptible to stem borers which attack the young flowering stems; however, this is not common.","Pests and diseases","Trachymene coerulea"
"26","To maintain a display year after year one may let plants go to seed, self-sow in the garden and germinate the following May/June. (Remember to fertilise these seedlings for best results.) One may also wait until the disc-like seeds are dry and brown, collect and store them in a paper bag in a dry environment. Re-sow the seed either directly, or in a seed-raising mix, in May.","Miscellaneous","Trachymene coerulea"
"27","Blue Lace Flower","common name","Trachymene coerulea"
"28","The Prostrate Banksia is a groundcover growing to 0.7 m high and spreading to 2– 3 m. It is great for mass planting to achieve impact and is ideal for growing in rockeries or in an elevated setting where the flowers are displayed over a low retaining wall. The reddish new foliage and fern-like leaves make this a most attractive plant.","Description","Banksia blechnifolia"
"29","This species is one of the spring-flowering banksias. It comes in a range of colours including red, pink, cream, orange and brown, with velvety flower spikes of up to 160 mm.","Flowers","Banksia blechnifolia"
"30","Plants are best grown in an open, sunny area on sandy soils or those that have good drainage and are neutral to slightly acid.","Growing conditions","Banksia blechnifolia"
"31","Once established, this Banksia should not need watering but watering once a week at the base of the plant will improve flowering. An open mulch will help to conserve moisture.","Watering","Banksia blechnifolia"
"32","To promote flowering remove the old, spent cones.","Pruning","Banksia blechnifolia"
"33","Apply slow release native blend 8–9 month fertiliser at time of planting and annually as required in spring.","Fertiliser","Banksia blechnifolia"
"34","This plant can be susceptible to scale and dieback (the soil-borne fungus, Phytophthora cinnamomi).","Pests and diseases","Banksia blechnifolia"
"35","Banksia blechnifolia is a non- lignotuberous species, that is, it has no underground rootstock from which regrowth will sprout following fire, physical damage or soil disturbance. It may need to be replaced after 5 to 10 years if the vigour decreases.","Miscellaneous","Banksia blechnifolia"
"36","Prostrate Banksia","common name","Banksia blechnifolia"
"37","Couch Honeypot is a compact shrub that grows to about 1 m by 1 m. It has attractive, fern-like foliage.","Description","Banksia nivea"
"38","This species flowers over a long period of time, often bearing a few flowers throughout much of the year. Its main flowering time is during spring with flower colours including cream, yellow, orange, pink, red and brown. Generally the Couch Honeypot flower heads are up to 40 mm in diameter.","Flowers","Banksia nivea"
"39","Plants grow well in semi-shade, but will tolerate full sun. Suitable soil types range from sand through to gravelly well-drained soils. Like most native species, it is best planted in early autumn/winter.","Growing conditions","Banksia nivea"
"40","Once established, this plant should not need watering but watering once a week at its base will improve flowering. Open mulch will help to conserve moisture.","Watering","Banksia nivea"
"41","Little to no pruning is required for this species; however some early formative pruning will encourage compact growth.","Pruning","Banksia nivea"
"42","Apply slow release native blend 8–9 month fertiliser at planting and annually as required in spring.","Fertiliser","Banksia nivea"
"43","Couch Honeypot can be susceptible to scale and dieback (the soil-borne fungus Phytophthora cinnamomi).","Pests and diseases","Banksia nivea"
"44","The leaves of this species are quite distinctive, creating visual contrast and impact within a mixed planting. Couch Honeypot may be planted singly or en masse. Plants may need to be replaced every 5 to 10 years if the growing vigour decreases.","Miscellaneous","Banksia nivea"
"45","Honeypot Dryandra","common name","Banksia nivea"
"46","The prostrate form of Dodonaea ceratocarpa creates a dense ground cover of up to 30 cm high and 4 m wide. Although not suited to foot traffic, it provides a cool look and good weed suppression.","Description","Dodonaea ceratocarpa"
"47","The small and insignificant cream-green flowers occur mainly from May to October and are followed by winged fruit, but it is the little deep green, flat leaves, 3–12 mm wide, which are the most attractive feature.","Flowers","Dodonaea ceratocarpa"
"48","This plant will thrive in all well-drained soil types, including coastal limestone. It tolerates full sun, likes lightly shaded areas and succeeds in heavy shade where many ground covers fail.","Growing conditions","Dodonaea ceratocarpa"
"49","Water thoroughly at planting time and until established. Although plants will survive dry conditions, a once-a-week watering during dry periods will maintain lush green foliage.","Watering","Dodonaea ceratocarpa"
"50","Trim lightly after flowering to maintain good dense coverage.","Pruning","Dodonaea ceratocarpa"
