"study","species","trait_name","value","trait_name_original","value_original"
"Ozbreed","Rhododendron hybrid","Description","Autumn Embers Rhododendron has a dense spreading habit with exceptional flowers that can be enjoyed in spring, summer and autumn. This is a heat tolerant Azalea with beautiful deep, orange-red, semi-double blooms 60mm in diameter.","Description","Autumn Embers Rhododendron has a dense spreading habit with exceptional flowers that can be enjoyed in spring, summer and autumn. This is a heat tolerant Azalea with beautiful deep, orange-red, semi-double blooms 60mm in diameter."
"Ozbreed","Rhododendron hybrid","Uses","Ideal for specimen planting, mass planting and in gardens and borders.","Uses","Ideal for specimen planting, mass planting and in gardens and borders."
"Ozbreed","Rhododendron hybrid","Care","Water well for the first year for the plant to fully establish and become more drought tolerant. Top up water in dry periods. Plant in a well mulched garden (chunky mulch is recommended) with the root ball slightly above soil level. If required use slow release fertiliser in spring. For best results prune after spring flowering.","Care","Water well for the first year for the plant to fully establish and become more drought tolerant. Top up water in dry periods. Plant in a well mulched garden (chunky mulch is recommended) with the root ball slightly above soil level. If required use slow release fertiliser in spring. For best results prune after spring flowering."
"Ozbreed","Rhododendron hybrid","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA.","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Embers","Cultivar","Autumn Embers"
"Ozbreed","Rhododendron hybrid","Description","Autumn Empress Rhododendron is a heat tolerant Azalea with a medium mounding growth habit. It is a repeat bloomer in spring, summer and autumn, with heavy summer flowering. Autumn Empress Rhododendron has beautiful semi-double, medium pink blooms with dark green foliage.","Description","Autumn Empress Rhododendron is a heat tolerant Azalea with a medium mounding growth habit. It is a repeat bloomer in spring, summer and autumn, with heavy summer flowering. Autumn Empress Rhododendron has beautiful semi-double, medium pink blooms with dark green foliage."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Empress","Cultivar","Autumn Empress"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a dwarf habit and heavy flowering in autumn and spring, and regular flowering in summer. It has semi-double rich red blooms and attracts butterflies.","Description","An Azalea with a dwarf habit and heavy flowering in autumn and spring, and regular flowering in summer. It has semi-double rich red blooms and attracts butterflies."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Fire","Cultivar","Autumn Fire"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a compact, dwarf habit and heavy flowering in autumn and spring, and regular flowering in summer. It has bright whiteblooms and attracts butterflies.","Description","An Azalea with a compact, dwarf habit and heavy flowering in autumn and spring, and regular flowering in summer. It has bright whiteblooms and attracts butterflies."
"Ozbreed","Rhododendron hybrid","Uses","Ideal for specimen planting, mass planting and in gardens and borders. Excellent for containers.","Uses","Ideal for specimen planting, mass planting and in gardens and borders. Excellent for containers."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Ivory","Cultivar","Autumn Ivory"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a dense, spreading habit and shiny green foliage that turns deep purple in winter. Heavy flowering in autumn and spring, with regular flowering in summer. It has single vibrant pink flowers 50mm in diameter and holding on the plant well. Attracts butterflies.","Description","An Azalea with a dense, spreading habit and shiny green foliage that turns deep purple in winter. Heavy flowering in autumn and spring, with regular flowering in summer. It has single vibrant pink flowers 50mm in diameter and holding on the plant well. Attracts butterflies."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Jewel","Cultivar","Autumn Jewel"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a rounded growth habit. It has shiny green foliage and single lavender blooms 50mm in diameter, holding on the plant well. Accented with darker purple freckles. Attracts butterflies and repeat flowers in spring, summer and autumn.","Description","An Azalea with a rounded growth habit. It has shiny green foliage and single lavender blooms 50mm in diameter, holding on the plant well. Accented with darker purple freckles. Attracts butterflies and repeat flowers in spring, summer and autumn."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Lilac","Cultivar","Autumn Lilac"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a robust and upright habit. Deep green foliage with heavy flowering in autumn and spring, and regular flowering in summer. It has single white blooms with occasional single purple stripes. 50mm in diameter and holding well on the plant.Attracts butterflies.","Description","An Azalea with a robust and upright habit. Deep green foliage with heavy flowering in autumn and spring, and regular flowering in summer. It has single white blooms with occasional single purple stripes. 50mm in diameter and holding well on the plant.Attracts butterflies."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Lily","Cultivar","Autumn Lily"
"Ozbreed","Rhododendron hybrid","Description","Autumn Monarch Rhododendron has an upright flower with bright shiny leaves. It is a heat tolerant Azalea with semi-double, ruffled, dark coral blooms that get 75mm in diameter. It flowers in spring, summer and autumn.","Description","Autumn Monarch Rhododendron has an upright flower with bright shiny leaves. It is a heat tolerant Azalea with semi-double, ruffled, dark coral blooms that get 75mm in diameter. It flowers in spring, summer and autumn."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Monarch","Cultivar","Autumn Monarch"
"Ozbreed","Rhododendron hybrid","Description","Autumn Princess Rhododendron is a repeat bloomer in spring, summer and autumn, with heavy summer flowering. It has semi-double, pink flowers with burgundy foliage in winter. This is a heat tolerant Azalea with medium compact growth.","Description","Autumn Princess Rhododendron is a repeat bloomer in spring, summer and autumn, with heavy summer flowering. It has semi-double, pink flowers with burgundy foliage in winter. This is a heat tolerant Azalea with medium compact growth."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Princess","Cultivar","Autumn Princess"
"Ozbreed","Rhododendron hybrid","Description","Autumn Royalty Rhododendron is a super heat tough and lace bug resistant Azalea. It has stunning fuchsia blooms that repeat in spring, summer and autumn. After 3 years of testing we are yet to see flower blight on this plant.","Description","Autumn Royalty Rhododendron is a super heat tough and lace bug resistant Azalea. It has stunning fuchsia blooms that repeat in spring, summer and autumn. After 3 years of testing we are yet to see flower blight on this plant."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Royalty","Cultivar","Autumn Royalty"
"Ozbreed","Rhododendron hybrid","Description","Autumn Ruby Rhododendron is a heat tolerant Azalea with lipstick pink semi-double flowers, 50mm in diameter. It is a repeat bloomer that peaks in autumn and spring, with regular summer flowering, and has a medium mounding growth habit.","Description","Autumn Ruby Rhododendron is a heat tolerant Azalea with lipstick pink semi-double flowers, 50mm in diameter. It is a repeat bloomer that peaks in autumn and spring, with regular summer flowering, and has a medium mounding growth habit."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Ruby","Cultivar","Autumn Ruby"
"Ozbreed","Rhododendron hybrid","Description","Autumn Starlite Rhododendron is a heat tolerant Azalea with a medium mounding growth habit. It is a repeat bloomer in spring, summer and autumn with heavy summer flowering. Its flowers 12mm in diameter are white with pink/purple flecks and occasional strips.","Description","Autumn Starlite Rhododendron is a heat tolerant Azalea with a medium mounding growth habit. It is a repeat bloomer in spring, summer and autumn with heavy summer flowering. Its flowers 12mm in diameter are white with pink/purple flecks and occasional strips."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Starlite","Cultivar","Autumn Starlite"
"Ozbreed","Rhododendron hybrid","Description","Autumn Twist Rhododendron is a super heat tough and lace bug resistant Azalea. It has stunning fuschia striped blooms that repeat in spring, summer and autumn. After 3 years of testing we are yet to see flower blight on this plant","Description","Autumn Twist Rhododendron is a super heat tough and lace bug resistant Azalea. It has stunning fuschia striped blooms that repeat in spring, summer and autumn. After 3 years of testing we are yet to see flower blight on this plant"
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Twist","Cultivar","Autumn Twist"
"Ozbreed","Dietes grandiflora","Description","Banana Split Dietes has clean, variegated foliage. It has white flowers with splashes of purple from October to January. This tough Dietes is drought, heat, humidity and frost tolerant.","Description","Banana Split Dietes has clean, variegated foliage. It has white flowers with splashes of purple from October to January. This tough Dietes is drought, heat, humidity and frost tolerant."
"Ozbreed","Dietes grandiflora","Uses","Specimen planting, mass planting, borders along fences and paths.","Uses","Specimen planting, mass planting, borders along fences and paths."
"Ozbreed","Dietes grandiflora","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended).Use slow release fertiliser annually. Prune every 4 to 7 years.","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended).Use slow release fertiliser annually. Prune every 4 to 7 years."
"Ozbreed","Dietes grandiflora","Where it works","Australia wide.","Where it works","Australia wide."
"Ozbreed","Dietes grandiflora","Cultivar","Banana Split","Cultivar","Banana Split"
"Ozbreed","Correa reflexa","Description","Bellissimo Correa is a low, spreading, compact plant with large pink and yellow bells.","Description","Bellissimo Correa is a low, spreading, compact plant with large pink and yellow bells."
"Ozbreed","Correa reflexa","Uses","Pot plants, small garden landscapes and mass planting; honey eating birds are highly attracted to this plant.","Uses","Pot plants, small garden landscapes and mass planting; honey eating birds are highly attracted to this plant."
"Ozbreed","Correa reflexa","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). It has low water requirements once established; prune once per year to maintain compact habit; fertilise with slow release native fertiliser.","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). It has low water requirements once established; prune once per year to maintain compact habit; fertilise with slow release native fertiliser."
"Ozbreed","Correa reflexa","Where it works","VIC, ACT, SA, WA, TAS, Southern NSW and Sydney (in good draining soils).","Where it works","VIC, ACT, SA, WA, TAS, Southern NSW and Sydney (in good draining soils)."
"Ozbreed","Correa reflexa","Cultivar","Bellissimo","Cultivar","Bellissimo"
"Ozbreed","Callistemon viminalis","Description","A new Callistemon cultivar with blue-green toned mature foliage. New growth foliage has silver coloured tones due to soft hairy texture. Will start flowering mid spring and finish late spring with small red flowers.","Description","A new Callistemon cultivar with blue-green toned mature foliage. New growth foliage has silver coloured tones due to soft hairy texture. Will start flowering mid spring and finish late spring with small red flowers."
"Ozbreed","Callistemon viminalis","Uses","Specimen and contrast planting.","Uses","Specimen and contrast planting."
"Ozbreed","Callistemon viminalis","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). If required use slow release fertiliser in spring. If ever required prune every 3-4 years for a natural shape, or every 2 years for a tidy hedge.","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). If required use slow release fertiliser in spring. If ever required prune every 3-4 years for a natural shape, or every 2 years for a tidy hedge."
"Ozbreed","Callistemon viminalis","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA.","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Callistemon viminalis","Cultivar","Better John","Cultivar","Better John"
"Ozbreed","Agapanthus hybrid","Description","Bingo Blue Agapanthus produces bright blue flowers for a longer period. Flowers can be seen en masse from October to November, and sporadically throughout the year. This compact form has good disease resistance and is tough, drought and frost tolerant.","Description","Bingo Blue Agapanthus produces bright blue flowers for a longer period. Flowers can be seen en masse from October to November, and sporadically throughout the year. This compact form has good disease resistance and is tough, drought and frost tolerant."
"Ozbreed","Agapanthus hybrid","Uses","Garden beds, borders, patio pots, planter boxes.","Uses","Garden beds, borders, patio pots, planter boxes."
"Ozbreed","Agapanthus hybrid","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). If required use slow release fertiliser in spring (for best flower production). Remove older leaves and spent flowers stems as required.","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). If required use slow release fertiliser in spring (for best flower production). Remove older leaves and spent flowers stems as required."
"Ozbreed","Agapanthus hybrid","Where it works","South QLD, NSW, ACT, VIC, TAS, SA & WA.","Where it works","South QLD, NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Agapanthus hybrid","Cultivar","Bingo Blue","Cultivar","Bingo Blue"
"Ozbreed","Dianella tasmanica","Description","Blaze Dianella is a very tough plant with extreme heat tolerance. It has beautiful deep purple foliage throughout most of the year (depending on climate), turning green in summer to cope with Australias famous hot summers. Deep purple berries appear in spring or summer.","Description","Blaze Dianella is a very tough plant with extreme heat tolerance. It has beautiful deep purple foliage throughout most of the year (depending on climate), turning green in summer to cope with Australias famous hot summers. Deep purple berries appear in spring or summer."
"Ozbreed","Dianella tasmanica","Uses","Roadsides, mass plantings, feature plantings and gardens.","Uses","Roadsides, mass plantings, feature plantings and gardens."
"Ozbreed","Dianella tasmanica","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). Ensure crown or base of plant is not below soil or mulch level. Use slow release fertiliser in spring. Trim older leaves as required and cut back halfway every 3-7 years (will look better with pruning every 3 years, this depends on your requirements).","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). Ensure crown or base of plant is not below soil or mulch level. Use slow release fertiliser in spring. Trim older leaves as required and cut back halfway every 3-7 years (will look better with pruning every 3 years, this depends on your requirements)."
"Ozbreed","Dianella tasmanica","Where it works","NSW, ACT, VIC, TAS, SA & WA.","Where it works","NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Dianella tasmanica","Cultivar","Blaze","Cultivar","Blaze"
"Ozbreed","Westringia","Description","Blue Gem Westringia flowers profusely in spring, and regularly at other times of the year with bluish-purple flowers. Great in native gardens or in any flower garden and can be pruned to shape as required.","Description","Blue Gem Westringia flowers profusely in spring, and regularly at other times of the year with bluish-purple flowers. Great in native gardens or in any flower garden and can be pruned to shape as required."
"Ozbreed","Westringia","Uses","Feature plant, mass plantings and native gardens.","Uses","Feature plant, mass plantings and native gardens."
"Ozbreed","Westringia","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). If required use slow release fertiliser in spring. Prune to shape 1-3 times a year after flowering (this depends on your requirements, more frequent pruning will provide a tidier hedge/shape).","Care","Water as required for 8-13 weeks until established. Plant in a well mulched garden (chunky mulch is recommended). If required use slow release fertiliser in spring. Prune to shape 1-3 times a year after flowering (this depends on your requirements, more frequent pruning will provide a tidier hedge/shape)."
"Ozbreed","Westringia","Where it works","NSW, ACT, VIC, TAS, SA, WA and South East QLD (not suited to Northern QLD).","Where it works","NSW, ACT, VIC, TAS, SA, WA and South East QLD (not suited to Northern QLD)."
"Ozbreed","Westringia","Cultivar","Blue Gem","Cultivar","Blue Gem"
"Ozbreed","Eremophila glabra prostrate","Description","Blue Horizon Eremophilais a low growing ground cover plant that has tidy blue foliage and produces yellow flowers in winter. The shorter internodes of the Blue Horizon plant provide a denser ground cover and tidier appearance compared to other varieties.","Description","Blue Horizon Eremophilais a low growing ground cover plant that has tidy blue foliage and produces yellow flowers in winter. The shorter internodes of the Blue Horizon plant provide a denser ground cover and tidier appearance compared to other varieties."
