"study","species","trait_name","value"
"Ozbreed","Rhododendron hybrid","Description","Autumn Embers Rhododendron has a dense spreading habit with exceptional flowers that can be enjoyed in spring, summer and autumn. This is a heat tolerant Azalea with beautiful deep, orange-red, semi-double blooms 60mm in diameter."
"Ozbreed","Rhododendron hybrid","Size","1m high x 1.2m wide."
"Ozbreed","Rhododendron hybrid","Uses","Ideal for specimen planting, mass planting and in gardens and borders."
"Ozbreed","Rhododendron hybrid","Position","Full sun to part shade. Tolerates frost and moderate drought (as the plant matures it becomes more drought tolerant). Prefers well drained soils."
"Ozbreed","Rhododendron hybrid","Care","Water well for the first year for the plant to fully establish and become more drought tolerant. Top up water in dry periods. Plant in a well mulched garden (chunky mulch is recommended) with the root ball slightly above soil level. If required use slow release fertiliser in spring. For best results prune after spring flowering."
"Ozbreed","Rhododendron hybrid","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Embers"
"Ozbreed","Rhododendron hybrid","Description","Autumn Empress Rhododendron is a heat tolerant Azalea with a medium mounding growth habit. It is a repeat bloomer in spring, summer and autumn, with heavy summer flowering. Autumn Empress Rhododendron has beautiful semi-double, medium pink blooms with dark green foliage."
"Ozbreed","Rhododendron hybrid","Size","1m high x 80cm wide."
"Ozbreed","Rhododendron hybrid","Uses","Ideal for specimen planting, mass planting and in gardens and borders."
"Ozbreed","Rhododendron hybrid","Position","Full sun to part shade. Tolerates frost and moderate drought (as the plant matures it becomes more drought tolerant). Prefers well drained soils."
"Ozbreed","Rhododendron hybrid","Care","Water well for the first year for the plant to fully establish and become more drought tolerant. Top up water in dry periods. Plant in a well mulched garden (chunky mulch is recommended) with the root ball slightly above soil level. If required use slow release fertiliser in spring. For best results prune after spring flowering."
"Ozbreed","Rhododendron hybrid","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Empress"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a dwarf habit and heavy flowering in autumn and spring, and regular flowering in summer. It has semi-double rich red blooms and attracts butterflies."
"Ozbreed","Rhododendron hybrid","Size","80cm high x 95cm wide."
"Ozbreed","Rhododendron hybrid","Uses","Ideal for specimen planting, mass planting and in gardens and borders."
"Ozbreed","Rhododendron hybrid","Position","Full sun to part shade. Tolerates frost and moderate drought (as the plant matures it becomes more drought tolerant). Prefers well drained soils."
"Ozbreed","Rhododendron hybrid","Care","Water well for the first year for the plant to fully establish and become more drought tolerant. Top up water in dry periods. Plant in a well mulched garden (chunky mulch is recommended) with the root ball slightly above soil level. If required use slow release fertiliser in spring. For best results prune after spring flowering."
"Ozbreed","Rhododendron hybrid","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Fire"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a compact, dwarf habit and heavy flowering in autumn and spring, and regular flowering in summer. It has bright whiteblooms and attracts butterflies."
"Ozbreed","Rhododendron hybrid","Size","80cm high x 95cm wide."
"Ozbreed","Rhododendron hybrid","Uses","Ideal for specimen planting, mass planting and in gardens and borders. Excellent for containers."
"Ozbreed","Rhododendron hybrid","Position","Full sun to part shade. Tolerates frost and moderate drought (as the plant matures it becomes more drought tolerant). Prefers well drained soils."
"Ozbreed","Rhododendron hybrid","Care","Water well for the first year for the plant to fully establish and become more drought tolerant. Top up water in dry periods. Plant in a well mulched garden (chunky mulch is recommended) with the root ball slightly above soil level. If required use slow release fertiliser in spring. For best results prune after spring flowering."
"Ozbreed","Rhododendron hybrid","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Ivory"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a dense, spreading habit and shiny green foliage that turns deep purple in winter. Heavy flowering in autumn and spring, with regular flowering in summer. It has single vibrant pink flowers 50mm in diameter and holding on the plant well. Attracts butterflies."
"Ozbreed","Rhododendron hybrid","Size","1m high x 1m wide."
"Ozbreed","Rhododendron hybrid","Uses","Ideal for specimen planting, mass planting and in gardens and borders."
"Ozbreed","Rhododendron hybrid","Position","Full sun to part shade. Tolerates frost and moderate drought (as the plant matures it becomes more drought tolerant). Prefers well drained soils."
"Ozbreed","Rhododendron hybrid","Care","Water well for the first year for the plant to fully establish and become more drought tolerant. Top up water in dry periods. Plant in a well mulched garden (chunky mulch is recommended) with the root ball slightly above soil level. If required use slow release fertiliser in spring. For best results prune after spring flowering."
"Ozbreed","Rhododendron hybrid","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Jewel"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a rounded growth habit. It has shiny green foliage and single lavender blooms 50mm in diameter, holding on the plant well. Accented with darker purple freckles. Attracts butterflies and repeat flowers in spring, summer and autumn."
"Ozbreed","Rhododendron hybrid","Size","95cm high x 1m wide."
"Ozbreed","Rhododendron hybrid","Uses","Ideal for specimen planting, mass planting and in gardens and borders."
"Ozbreed","Rhododendron hybrid","Position","Full sun to part shade. Tolerates frost and moderate drought (as the plant matures it becomes more drought tolerant). Prefers well drained soils."
"Ozbreed","Rhododendron hybrid","Care","Water well for the first year for the plant to fully establish and become more drought tolerant. Top up water in dry periods. Plant in a well mulched garden (chunky mulch is recommended) with the root ball slightly above soil level. If required use slow release fertiliser in spring. For best results prune after spring flowering."
"Ozbreed","Rhododendron hybrid","Where it works","QLD, NSW, ACT, VIC, TAS, SA & WA."
"Ozbreed","Rhododendron hybrid","Cultivar","Autumn Lilac"
"Ozbreed","Rhododendron hybrid","Description","An Azalea with a robust and upright habit. Deep green foliage with heavy flowering in autumn and spring, and regular flowering in summer. It has single white blooms with occasional single purple stripes. 50mm in diameter and holding well on the plant.Attracts butterflies."
"Ozbreed","Rhododendron hybrid","Size","1.25m high x 1m wide."
"Ozbreed","Rhododendron hybrid","Uses","Ideal for specimen planting, mass planting and in gardens and borders."
"Ozbreed","Rhododendron hybrid","Position","Full sun to part shade. Tolerates frost and moderate drought (as the plant matures it becomes more drought tolerant). Prefers well drained soils."
