"study","species","trait_name","value"
"Plant_selector_plus","Chloris truncata","Height","0.3-0.5m"
"Plant_selector_plus","Chloris truncata","Spread","0.3-0.5m"
"Plant_selector_plus","Chloris truncata","Position","Full Sun, Part Shade"
"Plant_selector_plus","Chloris truncata","Family","Poaceae"
"Plant_selector_plus","Chloris truncata","Botanical Name","Chloris truncata"
"Plant_selector_plus","Chloris truncata","Common Name","Windmill Grass"
"Plant_selector_plus","Chloris truncata","Origin","SA"
"Plant_selector_plus","Chloris truncata","Habit","Compact, Clumping"
"Plant_selector_plus","Chloris truncata","Landscape","Coastal footslopes, Footslopes, Hills, Plains, 2nd line coast"
"Plant_selector_plus","Chloris truncata","Soil Texture","Clay, Loam"
"Plant_selector_plus","Chloris truncata","pH","Acidic, Alkaline, Neutral"
"Plant_selector_plus","Chloris truncata","Tolerates","Drought, Moderate frost"
"Plant_selector_plus","Chloris truncata","Supplementary Watering","Minimal"
"Plant_selector_plus","Chloris truncata","Flower Colour","Brown"
"Plant_selector_plus","Chloris truncata","Flowering Time","Spring, Summer"
"Plant_selector_plus","Chloris truncata","Flower Type","Panicles"
"Plant_selector_plus","Chloris truncata","Purpose","Ornamental, Habitat, Erosion"
"Plant_selector_plus","Chloris truncata","Evergreen/Deciduous","Evergreen"
"Plant_selector_plus","Chloris truncata","Form","Grass Sedge or Flax"
"Plant_selector_plus","Chloris truncata","description","Notes Uses: An ornamental fast growing perennial native grass for, rockeries, mixed native landscapes, parks and reserves. Food source for native birds.This plant is indigenous to the following botanical regions of South Australia.:SL: Southern Lofty For detail on these regions refer to the user guide."
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Height","0.5-0.6m"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Spread","0.7-0.8m"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Position","Full Sun, Part Shade"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Family","Liliaceae"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Botanical Name","Lomandra longifolia 'Katrinus Deluxe'"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Common Name","Spiny Headed Mat-rush"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Habit","Clumping, Weeping, Dense, Compact"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Landscape","2nd line coast, Coastal footslopes, Plains, Footslopes, Hills"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Soil Texture","Clay, Loam, Sand"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","pH","Acidic, Alkaline, Neutral"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Tolerates","Drought, Moderate frost, Wind"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Supplementary Watering","Minimal"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Flower Colour","Cream, Yellow"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Flowering Time","Spring"
"Plant_selector_plus","Lomandra longifolia 'Katrinus Deluxe'","Flower Type","Panicles"
