"","List_source","date_sourced","species","newspecies","species_number","multiple_forms","study","trait_index","trait_name_original","trait_name","value_original","value"
"1","Scrape","4/04/2019","Chamaecyparis nootkatensis","Chamaecyparis nootkatensis","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"2","Scrape","4/04/2019","Cercocarpus montanus","Cercocarpus montanus","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"3","Scrape","4/04/2019","Medicago sativa","Medicago sativa","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"4","Scrape","4/04/2019","Castanea pumila","Castanea pumila","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"5","Scrape","4/04/2019","Juniperus deppeana","Juniperus deppeana","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"6","Scrape","4/04/2019","Alternanthera philoxeroides","Alternanthera philoxeroides","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"7","Scrape","4/04/2019","Thalictrum alpinum","Thalictrum alpinum","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"8","Scrape","4/04/2019","Rumex paucifolius","Rumex paucifolius","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"9","Scrape","4/04/2019","Artemisia umbelliformis","Artemisia umbelliformis","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"10","Scrape","4/04/2019","Cornus alternifolia","Cornus alternifolia","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"11","Scrape","4/04/2019","Ambrosia ambrosioides","Ambrosia ambrosioides","","","pollenlibrary","47","risk","risk","severeallergen","severeallergen"
"12","Scrape","4/04/2019","Tilia americana","Tilia americana","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"13","Scrape","4/04/2019","Ammophila breviligulata","Ammophila breviligulata","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"14","Scrape","4/04/2019","Diarrhena americana","Diarrhena americana","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"15","Scrape","4/04/2019","Fagus grandifolia","Fagus grandifolia","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"16","Scrape","4/04/2019","Corispermum nitidum","Corispermum nitidum","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"17","Scrape","4/04/2019","Castanea dentata","Castanea dentata","","","pollenlibrary","47","risk","risk","mildallergen","mildallergen"
"18","Scrape","4/04/2019","Ulmus americana","Ulmus americana","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
"19","Scrape","4/04/2019","Corylus americana","Corylus americana","","","pollenlibrary","47","risk","risk","moderateallergen","moderateallergen"
