"study","species","trait_name","value","trait_name_original","value_original"
"Riyadh","Acacia ehrenbergiana","family","Mimosaceae","Family Name","Mimosaceae"
"Riyadh","Acacia ehrenbergiana","maintenance_level","low","Maintenance","Low"
"Riyadh","Acacia ehrenbergiana","description","A common, large and spiny, desert shrub or small tree, on the Arabian Peninsula, A. ehrenbergianaA common, large and spiny, desert shrub or small tree, on the Arabian Peninsula, A. ehrenbergiana is known in Arabic as salam, and grows in groups in depressions and wadis, where rainwater runoff and fine waterborne sediment collect. The tree usually has multiple branches from the ground, with a greenish-brown, peeling bark, similar to that of Acacia seyal, with which it can be confused. In comparison, the whitish thorns of A. ehrenbergiana are longer than the leaves. Flowers are borne in yellow heads; seed pods are long, up to 10 cm. The tree has many uses in the desert: it is browsed by camels, pollarded for stock, produces an edible gum, is used for firewood and fodder; fibre ropes are made from the bark, and a liquid medicine known as Qataran is extracted for use in treating animal and human skin parasites. The heavy fluid is also used to protect the trunks of fruit trees from insects and fungi. A. ehrenbergiana regrows well from cut stumps, and can be propagated by seed mixed with animal manure, which helps acacia seeds to germinate better. The tree is famously used in beekeeping, producing good-quality salam honey. The trees usually grow randomly about 5 metres apart. One of the most drought-tolerant of acacias, it can gradually be weaned off watering altogether, after initial irrigation during the first year after planting. High growth rates occur during a heavy rain season. Owing to its drought tolerance, the tree can be planted in extensive landscape schemes, where a natural desert setting is the objective.","description","A common, large and spiny, desert shrub or small tree, on the Arabian Peninsula, A. ehrenbergianaA common, large and spiny, desert shrub or small tree, on the Arabian Peninsula, A. ehrenbergiana is known in Arabic as salam, and grows in groups in depressions and wadis, where rainwater runoff and fine waterborne sediment collect. The tree usually has multiple branches from the ground, with a greenish-brown, peeling bark, similar to that of Acacia seyal, with which it can be confused. In comparison, the whitish thorns of A. ehrenbergiana are longer than the leaves. Flowers are borne in yellow heads; seed pods are long, up to 10 cm. The tree has many uses in the desert: it is browsed by camels, pollarded for stock, produces an edible gum, is used for firewood and fodder; fibre ropes are made from the bark, and a liquid medicine known as Qataran is extracted for use in treating animal and human skin parasites. The heavy fluid is also used to protect the trunks of fruit trees from insects and fungi. A. ehrenbergiana regrows well from cut stumps, and can be propagated by seed mixed with animal manure, which helps acacia seeds to germinate better. The tree is famously used in beekeeping, producing good-quality salam honey. The trees usually grow randomly about 5 metres apart. One of the most drought-tolerant of acacias, it can gradually be weaned off watering altogether, after initial irrigation during the first year after planting. High growth rates occur during a heavy rain season. Owing to its drought tolerance, the tree can be planted in extensive landscape schemes, where a natural desert setting is the objective."
"Riyadh","Acacia etbaica","family","Mimosaceae","Family Name","Mimosaceae"
"Riyadh","Acacia etbaica","maintenance_level","low","Maintenance","Low"
"Riyadh","Acacia etbaica","description","A tree with a flat-topped or, when old, rounded crown and a pronounced trunk, A. etbaica grows naturally in the coastal foothills of western Saudi Arabia on limestone and granite rocky slopes, and in the sandy sediments of wadis. It is often predominant in the scrub vegetation of a semi-desert. It has brown, fissured bark, and bears white flowers on few-flowered heads; branches, leaves and seed pods are glabrous. The fruit is a purplish-red oblong pod, also shiny and straight. The tree has several subspecies in Africa which have thorns that are straight, hooked or a mixture of both. A. etbaica is a good source of firewood and timber. The bark has medicinal properties. As with other indigenous acacias, and owing to its high drought tolerance, the tree has a landscape value and can be planted in extensive landscape schemes, where a natural woodland setting is the objective.","description","A tree with a flat-topped or, when old, rounded crown and a pronounced trunk, A. etbaica grows naturally in the coastal foothills of western Saudi Arabia on limestone and granite rocky slopes, and in the sandy sediments of wadis. It is often predominant in the scrub vegetation of a semi-desert. It has brown, fissured bark, and bears white flowers on few-flowered heads; branches, leaves and seed pods are glabrous. The fruit is a purplish-red oblong pod, also shiny and straight. The tree has several subspecies in Africa which have thorns that are straight, hooked or a mixture of both. A. etbaica is a good source of firewood and timber. The bark has medicinal properties. As with other indigenous acacias, and owing to its high drought tolerance, the tree has a landscape value and can be planted in extensive landscape schemes, where a natural woodland setting is the objective."
"Riyadh","Acacia farnesiana","family","Mimosaceae","Family Name","Mimosaceae"
"Riyadh","Acacia farnesiana","maintenance_level","low","Maintenance","Low"
"Riyadh","Acacia farnesiana","description","Many of the acacias have fragrant flowers, but the beautiful scent of the sweet acacia in the gardens of Arriyadh in spring is unforgettable. A. farnesiana (known in Arabic as anbar or futnah) is a vase-shaped, small, thorny tree, often with multiple trunks and a spreading rounded crown. Its lacy leaves are evergreen in mild winters, but semi-deciduous after frost. The intensely fragrant, yellow puffball flowers emerge over a long period to open in Arriyadh in the spring. Native to the countries surrounding the Caribbean, the tree‘s blossoming can, however, be spoiled by late hard frosts. It has landscape value as an accent tree, especially in small gardens or patios, but can also be planted as a roadside tree, along pedestrian paths or as a background screen. Unfortunately, it has become invasive in some countries. A. farnesiana is extensively cultivated in southern France. A perfume is distilled from the flowers. Amongst other uses, the world over, the tree’s seed pods and bark are used for tanning and dying leather. Bark, leaves and roots are used for medicinal purposes. Sweet acacia honey is much prized. Gum exuding from the trunk can also be used like gum arabic. Trees are planted as fences and to check erosion. Its wood is hard and durable. Tolerant of most soils, it needs moisture to develop well during the summer and will respond well to deep watering. The tree is best propagated by scarifying ripe seeds and should be pruned regularly to maintain good shape and to remove any dead branches caused by cold winters.","description","Many of the acacias have fragrant flowers, but the beautiful scent of the sweet acacia in the gardens of Arriyadh in spring is unforgettable. A. farnesiana (known in Arabic as anbar or futnah) is a vase-shaped, small, thorny tree, often with multiple trunks and a spreading rounded crown. Its lacy leaves are evergreen in mild winters, but semi-deciduous after frost. The intensely fragrant, yellow puffball flowers emerge over a long period to open in Arriyadh in the spring. Native to the countries surrounding the Caribbean, the tree‘s blossoming can, however, be spoiled by late hard frosts. It has landscape value as an accent tree, especially in small gardens or patios, but can also be planted as a roadside tree, along pedestrian paths or as a background screen. Unfortunately, it has become invasive in some countries. A. farnesiana is extensively cultivated in southern France. A perfume is distilled from the flowers. Amongst other uses, the world over, the tree’s seed pods and bark are used for tanning and dying leather. Bark, leaves and roots are used for medicinal purposes. Sweet acacia honey is much prized. Gum exuding from the trunk can also be used like gum arabic. Trees are planted as fences and to check erosion. Its wood is hard and durable. Tolerant of most soils, it needs moisture to develop well during the summer and will respond well to deep watering. The tree is best propagated by scarifying ripe seeds and should be pruned regularly to maintain good shape and to remove any dead branches caused by cold winters."
"Riyadh","Acacia ligulata","family","Mimosaceae","Family Name","Mimosaceae"
