"study","species","trait_name","value"
"Riyadh","Acacia ehrenbergiana","Family Name","Mimosaceae"
"Riyadh","Acacia ehrenbergiana","Origin","Tropical , Sub Tropical"
"Riyadh","Acacia ehrenbergiana","Rainfall","Extremely Arid , Very Arid"
"Riyadh","Acacia ehrenbergiana","Propagation","Sowing and Pricking Out"
"Riyadh","Acacia ehrenbergiana","Maintenance","Low"
"Riyadh","Acacia ehrenbergiana","Urban Climate","Resistant"
"Riyadh","Acacia ehrenbergiana","Desiccation","Resistant"
"Riyadh","Acacia ehrenbergiana","Drought","Vulnerable"
"Riyadh","Acacia ehrenbergiana","Irrigation","Low"
"Riyadh","Acacia ehrenbergiana","Salinity","Moderate < 3,000 ppm"
"Riyadh","Acacia ehrenbergiana","Hardiness Zones","-6°C"
"Riyadh","Acacia ehrenbergiana","Vigour","Normal Growth Rate"
"Riyadh","Acacia ehrenbergiana","Height","7 M"
"Riyadh","Acacia ehrenbergiana","Expansion","12 M"
"Riyadh","Acacia ehrenbergiana","Foliage","Semi Evergreen"
"Riyadh","Acacia ehrenbergiana","Colour","Yellow"
"Riyadh","Acacia ehrenbergiana","Size","1.5 CM"
"Riyadh","Acacia ehrenbergiana","Flowering Period","From Early February Till Late April"
"Riyadh","Acacia ehrenbergiana","Smell","Flower , Pleasantly Scented"
"Riyadh","Acacia ehrenbergiana","Type Of Fruit","Pod"
"Riyadh","Acacia ehrenbergiana","Size","10 CM"
"Riyadh","Acacia ehrenbergiana","Location of Use","Open Country , Rock Garden , Hillside Planting , Park Planting , Steppe Garden , Urban Area , Rowda Plant"
"Riyadh","Acacia ehrenbergiana","Other choices","Environmental Consolidation , Wind Damage , Grouped Planting , Plant Used by ADA , Attractive to Bees , Pollen Allergy , Attractive Flower , Nativ in Riyadh , Medical Plant , Colonisers"
"Riyadh","Acacia ehrenbergiana","description","A common, large and spiny, desert shrub or small tree, on the Arabian Peninsula, A. ehrenbergianaA common, large and spiny, desert shrub or small tree, on the Arabian Peninsula, A. ehrenbergiana is known in Arabic as salam, and grows in groups in depressions and wadis, where rainwater runoff and fine waterborne sediment collect. The tree usually has multiple branches from the ground, with a greenish-brown, peeling bark, similar to that of Acacia seyal, with which it can be confused. In comparison, the whitish thorns of A. ehrenbergiana are longer than the leaves. Flowers are borne in yellow heads; seed pods are long, up to 10 cm. The tree has many uses in the desert: it is browsed by camels, pollarded for stock, produces an edible gum, is used for firewood and fodder; fibre ropes are made from the bark, and a liquid medicine known as Qataran is extracted for use in treating animal and human skin parasites. The heavy fluid is also used to protect the trunks of fruit trees from insects and fungi. A. ehrenbergiana regrows well from cut stumps, and can be propagated by seed mixed with animal manure, which helps acacia seeds to germinate better. The tree is famously used in beekeeping, producing good-quality salam honey. The trees usually grow randomly about 5 metres apart. One of the most drought-tolerant of acacias, it can gradually be weaned off watering altogether, after initial irrigation during the first year after planting. High growth rates occur during a heavy rain season. Owing to its drought tolerance, the tree can be planted in extensive landscape schemes, where a natural desert setting is the objective."
"Riyadh","Acacia etbaica","Family Name","Mimosaceae"
"Riyadh","Acacia etbaica","Origin","Tropical , Sub Tropical"
"Riyadh","Acacia etbaica","Rainfall","Semi Arid , Very Arid"
"Riyadh","Acacia etbaica","Propagation","Sowing and Pricking Out"
"Riyadh","Acacia etbaica","Maintenance","Low"
"Riyadh","Acacia etbaica","Urban Climate","Resistant"
"Riyadh","Acacia etbaica","Desiccation","Resistant"
"Riyadh","Acacia etbaica","Drought","Vulnerable"
"Riyadh","Acacia etbaica","Irrigation","Low"
"Riyadh","Acacia etbaica","Salinity","High < 5,000 ppm"
"Riyadh","Acacia etbaica","Hardiness Zones","-3°C"
"Riyadh","Acacia etbaica","Height","From 2 To 12 M"
"Riyadh","Acacia etbaica","Expansion","From 3 To 14 M"
"Riyadh","Acacia etbaica","Foliage","Semi Evergreen"
"Riyadh","Acacia etbaica","Colour","White"
"Riyadh","Acacia etbaica","Size","1.7 CM"
"Riyadh","Acacia etbaica","Flowering Period","From Early March Till Late April"
