study,species,trait_name,value
Sydney_water,Abelia Francis Mason,Plant type,Shrub
Sydney_water,Abelia Francis Mason,Sun/Shade tolerance,"Full Sun, Part Shade"
Sydney_water,Abelia Francis Mason,Frost tolerance,Frost hardy
Sydney_water,Abelia Francis Mason,Soil type(s),"Sand, Loam, Clay"
Sydney_water,Abelia Francis Mason,Water rating,Medium
Sydney_water,Abelia Francis Mason,Plant origin,Non indigenous (China)
Sydney_water,Abelia Francis Mason,common name,Golden Abelia
Sydney_water,Abelia Francis Mason,description,Evergreen rounded shrub (1.5m x1.5m). Form of A. x grandiflora from China. Glossy dark green leaves with yellow variegation. Bell shaped white flowers tinged with pink followed by persistent coppery brown sepals. Prefers a sheltered sunny position. Useful as a screen; clipped hedge or contrast in shrubbery. Frost tolerant.
Sydney_water,Abelia X grandiflora,Plant type,Shrub
Sydney_water,Abelia X grandiflora,Sun/Shade tolerance,"Full Sun, Part Shade"
Sydney_water,Abelia X grandiflora,Frost tolerance,Frost hardy
Sydney_water,Abelia X grandiflora,Soil type(s),"Sand, Clay, Loam"
Sydney_water,Abelia X grandiflora,Water rating,Low
Sydney_water,Abelia X grandiflora,Plant origin,Non indigenous (China)
Sydney_water,Abelia X grandiflora,common name,Abelia
Sydney_water,Abelia X grandiflora,description,Evergreen rounded hybrid shrub with arching branches (2m x 2m) from two Chinese species. Glossy dark green leaves. Bell shaped white flowers tinged with pink followed by persistent coppery brown sepals. Useful as a screen; clipped hedge or contrast in shrubbery. Remove old woody stems. Frost and drought tolerant.
Sydney_water,Abies concolor,Plant type,Tree
Sydney_water,Abies concolor,Sun/Shade tolerance,Full sun
Sydney_water,Abies concolor,Frost tolerance,Frost hardy
Sydney_water,Abies concolor,Soil type(s),"Sand, Loam"
Sydney_water,Abies concolor,Water rating,High
Sydney_water,Abies concolor,Plant origin,Non indigenous (Southern USA)
Sydney_water,Abies concolor,common name,White Fir
Sydney_water,Abies concolor,description,Evergreen upright coniferous tree with a conical crown maturing to a dome shape (25m x 8m) from southern USA. Glaucous green narrow curved leaves bluish hue beneath; crowded on top of the twigs. Cylindrical purplish green cones ripening to brown. Useful specimen for large cool climate gardens. Prefers light loamy moist soil. Frost tolerant. Drought sensitive.
Sydney_water,Abies lasiocarpa var arizona Compacta,Plant type,Tree
Sydney_water,Abies lasiocarpa var arizona Compacta,Sun/Shade tolerance,Full sun
Sydney_water,Abies lasiocarpa var arizona Compacta,Frost tolerance,Frost hardy
Sydney_water,Abies lasiocarpa var arizona Compacta,Soil type(s),"Sand, Loam, Clay"
Sydney_water,Abies lasiocarpa var arizona Compacta,Water rating,Medium
Sydney_water,Abies lasiocarpa var arizona Compacta,Plant origin,Non indigenous (Arizona & New Mexico)
Sydney_water,Abies lasiocarpa var arizona Compacta,common name,Compact Alpine Fir
Sydney_water,Abies lasiocarpa var arizona Compacta,description,Evergreen slow growing grafted coniferous tree (5m x 2m) with corky bark from Arizona and New Mexico. Blue grey leaves. Cylindrical blue cones. Useful specimen for small gardens and courtyards or mixed with other conifers. Prefers a cool climate mountain climate. Frost tolerant. Drought sensitive.
Sydney_water,Abies pinsapo Glauca,Plant type,Tree
Sydney_water,Abies pinsapo Glauca,Sun/Shade tolerance,Full sun
Sydney_water,Abies pinsapo Glauca,Frost tolerance,Frost hardy
Sydney_water,Abies pinsapo Glauca,Soil type(s),"Sand, Clay, Loam"
Sydney_water,Abies pinsapo Glauca,Water rating,Medium
Sydney_water,Abies pinsapo Glauca,Plant origin,Non indigenous (Spain & Morocco)
Sydney_water,Abies pinsapo Glauca,common name,Blue Spanish Fir
Sydney_water,Abies pinsapo Glauca,description,Evergreen slow growing grafted coniferous tree (12m x 6m) with a conical habit becoming columnar with age from Spain and Morocco. Blue grey stiff needles arranged radially around the branchlets. Cones with a short pointed tip. Useful feature or focal point for its colour contrast and distinctive shape. Prefers full sun in a cool mountain climate. Frost tolerant. Drought sensitive.
Sydney_water,Abutilon x hybridum,Plant type,Shrub
Sydney_water,Abutilon x hybridum,Sun/Shade tolerance,"Full Sun, Part Shade"
Sydney_water,Abutilon x hybridum,Frost tolerance,Frost sensitive
Sydney_water,Abutilon x hybridum,Soil type(s),"Sand, Loam"
Sydney_water,Abutilon x hybridum,Water rating,Medium
Sydney_water,Abutilon x hybridum,Plant origin,Non indigenous (China)
Sydney_water,Abutilon x hybridum,common name,Chinese Lantern
Sydney_water,Abutilon x hybridum,description,Evergreen pendulous shrub (2m x 2m) from China. Lobed maple-like light green leaves often variegated with white and yellow. Lantern-like buds open to solitary pendulous bell shaped flowers in shades of red; pink; yellow; white and pastel tones. Useful specimen for a warm position protected from hot afternoon sun. Prefers consistently moist well drained soil. Frost and drought sensitive.
Sydney_water,Acacia adunca,Plant type,Tree
Sydney_water,Acacia adunca,Sun/Shade tolerance,Full sun
Sydney_water,Acacia adunca,Frost tolerance,Frost hardy
Sydney_water,Acacia adunca,Soil type(s),"Sand, Loam"
Sydney_water,Acacia adunca,Water rating,Medium
Sydney_water,Acacia adunca,Plant origin,Non indigenous (Qld & NSW)
Sydney_water,Acacia adunca,common name,Wallangarra Wattle
Sydney_water,Acacia adunca,description,Evergreen dense pendulous large shrub or small tree (6m x 3m) from Qld and NSW. Long narrow phyllodes. Sweetly scented yellow ball flowers in spring. Useful as a specimen or screen. Prefers well drained moist soil in full sun. Frost tolerant.
Sydney_water,Acacia baileyana,Plant type,"Tree, Shrub"
Sydney_water,Acacia baileyana,Sun/Shade tolerance,"Full Sun, Part Shade"
Sydney_water,Acacia baileyana,Frost tolerance,Frost hardy
Sydney_water,Acacia baileyana,Soil type(s),"Sand, Clay, Loam"
Sydney_water,Acacia baileyana,Water rating,Low
Sydney_water,Acacia baileyana,Plant origin,Non indigenous (NSW)
Sydney_water,Acacia baileyana,common name,Cootamundra Wattle
Sydney_water,Acacia baileyana,description,Evergreen fast growing small tree or shrub (8m x 5m) from New South Wales. Silver grey finely divided foliage. Pendulous sprays of yellow ball-shaped flowers in winter and spring. Useful for foliage contrast and as a screen. Purple foliage form available. Can be short-lived. Potential weed in Sydney bushland. Avoid use near bushland areas. Frost and drought tolerant.
Sydney_water,Acacia binervia SynAcacia glaucescens,Plant type,Tree
Sydney_water,Acacia binervia SynAcacia glaucescens,Sun/Shade tolerance,"Full Sun, Part Shade"
Sydney_water,Acacia binervia SynAcacia glaucescens,Frost tolerance,Frost sensitive
Sydney_water,Acacia binervia SynAcacia glaucescens,Soil type(s),"Sand, Loam"
Sydney_water,Acacia binervia SynAcacia glaucescens,Water rating,Low
Sydney_water,Acacia binervia SynAcacia glaucescens,Plant origin,Indigenous (NSW (Sydney Hawkesbury Sandstone zones))
Sydney_water,Acacia binervia SynAcacia glaucescens,common name,Coast Myall
Sydney_water,Acacia binervia SynAcacia glaucescens,description,Evergreen small tree with deeply fissured dark grey bark (10m x 7m) from NSW (including Sydney Hawkesbury Sandstone). Silver grey sickle shaped phyllodes with a furry texture. Cylindrical bright yellow flowers in spring. Useful as a screen; windbreak or specimen. Suitable for coastal locations. Toxic to livestock. Frost tolerance not tested. Drought tolerant.
Sydney_water,Acacia cardiophylla,Plant type,Shrub
Sydney_water,Acacia cardiophylla,Sun/Shade tolerance,Full sun
Sydney_water,Acacia cardiophylla,Frost tolerance,Frost hardy
Sydney_water,Acacia cardiophylla,Soil type(s),"Sand, Clay"
Sydney_water,Acacia cardiophylla,Water rating,Low
Sydney_water,Acacia cardiophylla,Plant origin,Non indigenous (NSW)
Sydney_water,Acacia cardiophylla,common name,West Wyalong Wattle
Sydney_water,Acacia cardiophylla,description,Evergreen rounded shrub (2.5m x 3m) from NSW. Light green feathery bipinnate leaves. Bright yellow ball shaped flowers in spring. Useful for a feature; screen; for soil binding or revegetating degraded sites. Prostrate form available. Needs well drained soil. Frost and drought tolerant.
Sydney_water,Acacia cognata Limelight,Plant type,Shrub
Sydney_water,Acacia cognata Limelight,Sun/Shade tolerance,"Full Sun, Part Shade"
Sydney_water,Acacia cognata Limelight,Frost tolerance,Frost hardy
Sydney_water,Acacia cognata Limelight,Soil type(s),"Sand, Loam"
Sydney_water,Acacia cognata Limelight,Water rating,Low
Sydney_water,Acacia cognata Limelight,Plant origin,Non indigenous (NSW & Vic)
Sydney_water,Acacia cognata Limelight,common name,Bower Wattle
Sydney_water,Acacia cognata Limelight,description,Evergreen compact mound shaped low growing shrub with weeping foliage (0.8m x 1.2m). Dwarf form of A. cognata from NSW and Vic. Soft slender lime green leaves. Cream ball shaped flowers occasionally. Useful as a specimen for its handsome foliage. Needs good drainage. Frost and drought tolerant.
Sydney_water,Acacia cultriformis,Plant type,Shrub
Sydney_water,Acacia cultriformis,Sun/Shade tolerance,Full sun
Sydney_water,Acacia cultriformis,Frost tolerance,Frost hardy
Sydney_water,Acacia cultriformis,Soil type(s),"Sand, Loam"
Sydney_water,Acacia cultriformis,Water rating,Low
Sydney_water,Acacia cultriformis,Plant origin,Non indigenous (NSW & Qld)
Sydney_water,Acacia cultriformis,common name,Knife Leaf Wattle
Sydney_water,Acacia cultriformis,description,Evergreen erect shrub with an arching habit (2.5m x 2m) from NSW and Qld. Grey triangular phyllode leaves. Golden yellow ball shaped flowers in spring. Useful screen or feature for its grey foliage. Needs well drained soil in full sun. Frost and drought tolerant.
Sydney_water,Acacia decurrens,Plant type,Tree
Sydney_water,Acacia decurrens,Sun/Shade tolerance,"Full Sun, Part Shade"
Sydney_water,Acacia decurrens,Frost tolerance,Frost hardy
Sydney_water,Acacia decurrens,Soil type(s),"Sand, Loam, Clay"
Sydney_water,Acacia decurrens,Water rating,Low
