"study","species","trait_name","value","trait_name_original","value_original"
"Sydney_water","Abelia Francis Mason","Plant origin","Non indigenous (China)","Plant origin","Non indigenous (China)"
"Sydney_water","Abelia Francis Mason","common_name","Golden Abelia","common name","Golden Abelia"
"Sydney_water","Abelia Francis Mason","description","Evergreen rounded shrub (1.5m x1.5m). Form of A. x grandiflora from China. Glossy dark green leaves with yellow variegation. Bell shaped white flowers tinged with pink followed by persistent coppery brown sepals. Prefers a sheltered sunny position. Useful as a screen; clipped hedge or contrast in shrubbery. Frost tolerant.","description","Evergreen rounded shrub (1.5m x1.5m). Form of A. x grandiflora from China. Glossy dark green leaves with yellow variegation. Bell shaped white flowers tinged with pink followed by persistent coppery brown sepals. Prefers a sheltered sunny position. Useful as a screen; clipped hedge or contrast in shrubbery. Frost tolerant."
"Sydney_water","Abelia X grandiflora","Plant origin","Non indigenous (China)","Plant origin","Non indigenous (China)"
"Sydney_water","Abelia X grandiflora","common_name","Abelia","common name","Abelia"
"Sydney_water","Abelia X grandiflora","description","Evergreen rounded hybrid shrub with arching branches (2m x 2m) from two Chinese species. Glossy dark green leaves. Bell shaped white flowers tinged with pink followed by persistent coppery brown sepals. Useful as a screen; clipped hedge or contrast in shrubbery. Remove old woody stems. Frost and drought tolerant.","description","Evergreen rounded hybrid shrub with arching branches (2m x 2m) from two Chinese species. Glossy dark green leaves. Bell shaped white flowers tinged with pink followed by persistent coppery brown sepals. Useful as a screen; clipped hedge or contrast in shrubbery. Remove old woody stems. Frost and drought tolerant."
"Sydney_water","Abies concolor","Plant origin","Non indigenous (Southern USA)","Plant origin","Non indigenous (Southern USA)"
"Sydney_water","Abies concolor","common_name","White Fir","common name","White Fir"
"Sydney_water","Abies concolor","description","Evergreen upright coniferous tree with a conical crown maturing to a dome shape (25m x 8m) from southern USA. Glaucous green narrow curved leaves bluish hue beneath; crowded on top of the twigs. Cylindrical purplish green cones ripening to brown. Useful specimen for large cool climate gardens. Prefers light loamy moist soil. Frost tolerant. Drought sensitive.","description","Evergreen upright coniferous tree with a conical crown maturing to a dome shape (25m x 8m) from southern USA. Glaucous green narrow curved leaves bluish hue beneath; crowded on top of the twigs. Cylindrical purplish green cones ripening to brown. Useful specimen for large cool climate gardens. Prefers light loamy moist soil. Frost tolerant. Drought sensitive."
"Sydney_water","Abies lasiocarpa var arizona Compacta","Plant origin","Non indigenous (Arizona & New Mexico)","Plant origin","Non indigenous (Arizona & New Mexico)"
"Sydney_water","Abies lasiocarpa var arizona Compacta","common_name","Compact Alpine Fir","common name","Compact Alpine Fir"
"Sydney_water","Abies lasiocarpa var arizona Compacta","description","Evergreen slow growing grafted coniferous tree (5m x 2m) with corky bark from Arizona and New Mexico. Blue grey leaves. Cylindrical blue cones. Useful specimen for small gardens and courtyards or mixed with other conifers. Prefers a cool climate mountain climate. Frost tolerant. Drought sensitive.","description","Evergreen slow growing grafted coniferous tree (5m x 2m) with corky bark from Arizona and New Mexico. Blue grey leaves. Cylindrical blue cones. Useful specimen for small gardens and courtyards or mixed with other conifers. Prefers a cool climate mountain climate. Frost tolerant. Drought sensitive."
"Sydney_water","Abies pinsapo Glauca","Plant origin","Non indigenous (Spain & Morocco)","Plant origin","Non indigenous (Spain & Morocco)"
"Sydney_water","Abies pinsapo Glauca","common_name","Blue Spanish Fir","common name","Blue Spanish Fir"
"Sydney_water","Abies pinsapo Glauca","description","Evergreen slow growing grafted coniferous tree (12m x 6m) with a conical habit becoming columnar with age from Spain and Morocco. Blue grey stiff needles arranged radially around the branchlets. Cones with a short pointed tip. Useful feature or focal point for its colour contrast and distinctive shape. Prefers full sun in a cool mountain climate. Frost tolerant. Drought sensitive.","description","Evergreen slow growing grafted coniferous tree (12m x 6m) with a conical habit becoming columnar with age from Spain and Morocco. Blue grey stiff needles arranged radially around the branchlets. Cones with a short pointed tip. Useful feature or focal point for its colour contrast and distinctive shape. Prefers full sun in a cool mountain climate. Frost tolerant. Drought sensitive."
"Sydney_water","Abutilon x hybridum","Plant origin","Non indigenous (China)","Plant origin","Non indigenous (China)"
"Sydney_water","Abutilon x hybridum","common_name","Chinese Lantern","common name","Chinese Lantern"
"Sydney_water","Abutilon x hybridum","description","Evergreen pendulous shrub (2m x 2m) from China. Lobed maple-like light green leaves often variegated with white and yellow. Lantern-like buds open to solitary pendulous bell shaped flowers in shades of red; pink; yellow; white and pastel tones. Useful specimen for a warm position protected from hot afternoon sun. Prefers consistently moist well drained soil. Frost and drought sensitive.","description","Evergreen pendulous shrub (2m x 2m) from China. Lobed maple-like light green leaves often variegated with white and yellow. Lantern-like buds open to solitary pendulous bell shaped flowers in shades of red; pink; yellow; white and pastel tones. Useful specimen for a warm position protected from hot afternoon sun. Prefers consistently moist well drained soil. Frost and drought sensitive."
"Sydney_water","Acacia adunca","Plant origin","Non indigenous (Qld & NSW)","Plant origin","Non indigenous (Qld & NSW)"
"Sydney_water","Acacia adunca","common_name","Wallangarra Wattle","common name","Wallangarra Wattle"
"Sydney_water","Acacia adunca","description","Evergreen dense pendulous large shrub or small tree (6m x 3m) from Qld and NSW. Long narrow phyllodes. Sweetly scented yellow ball flowers in spring. Useful as a specimen or screen. Prefers well drained moist soil in full sun. Frost tolerant.","description","Evergreen dense pendulous large shrub or small tree (6m x 3m) from Qld and NSW. Long narrow phyllodes. Sweetly scented yellow ball flowers in spring. Useful as a specimen or screen. Prefers well drained moist soil in full sun. Frost tolerant."
"Sydney_water","Acacia baileyana","Plant origin","Non indigenous (NSW)","Plant origin","Non indigenous (NSW)"
"Sydney_water","Acacia baileyana","common_name","Cootamundra Wattle","common name","Cootamundra Wattle"
"Sydney_water","Acacia baileyana","description","Evergreen fast growing small tree or shrub (8m x 5m) from New South Wales. Silver grey finely divided foliage. Pendulous sprays of yellow ball-shaped flowers in winter and spring. Useful for foliage contrast and as a screen. Purple foliage form available. Can be short-lived. Potential weed in Sydney bushland. Avoid use near bushland areas. Frost and drought tolerant.","description","Evergreen fast growing small tree or shrub (8m x 5m) from New South Wales. Silver grey finely divided foliage. Pendulous sprays of yellow ball-shaped flowers in winter and spring. Useful for foliage contrast and as a screen. Purple foliage form available. Can be short-lived. Potential weed in Sydney bushland. Avoid use near bushland areas. Frost and drought tolerant."
"Sydney_water","Acacia binervia","Plant origin","Indigenous (NSW (Sydney Hawkesbury Sandstone zones))","Plant origin","Indigenous (NSW (Sydney Hawkesbury Sandstone zones))"
"Sydney_water","Acacia binervia","common_name","Coast Myall","common name","Coast Myall"
"Sydney_water","Acacia binervia","description","Evergreen small tree with deeply fissured dark grey bark (10m x 7m) from NSW (including Sydney Hawkesbury Sandstone). Silver grey sickle shaped phyllodes with a furry texture. Cylindrical bright yellow flowers in spring. Useful as a screen; windbreak or specimen. Suitable for coastal locations. Toxic to livestock. Frost tolerance not tested. Drought tolerant.","description","Evergreen small tree with deeply fissured dark grey bark (10m x 7m) from NSW (including Sydney Hawkesbury Sandstone). Silver grey sickle shaped phyllodes with a furry texture. Cylindrical bright yellow flowers in spring. Useful as a screen; windbreak or specimen. Suitable for coastal locations. Toxic to livestock. Frost tolerance not tested. Drought tolerant."
