"study","species","trait_name","value"
"ACTplanting","Angophora costata","Botanical Name"," Angophora costata (APc)"
"ACTplanting","Angophora costata","Common Name"," smooth barked apple, gum myrtle"
"ACTplanting","Angophora costata","Species description","Evergreen"
"ACTplanting","Angophora costata","Species description","Tall tree with gnarled branches and an arching canopy"
"ACTplanting","Angophora costata","Species description","Salmon pink new bark, turning to grey flecked with red in winter"
"ACTplanting","Angophora costata","Species description","Leaves are curved and waxy"
"ACTplanting","Angophora costata","Species description","White flowers in December"
"ACTplanting","Angophora costata","Species description","Small gum nuts"
"ACTplanting","Angophora costata","Height and width","15 to 20 metres tall by 10 to 15 metres wide"
"ACTplanting","Angophora costata","Landscape use","Suitable for use in urban parks and broad streetscapes"
"ACTplanting","Angophora costata","Landscape use","Requires a minimum clearance of 7 metres from buildings"
"ACTplanting","Angophora costata","Use considerations","Available Soil Volume required 68m3"
"ACTplanting","Angophora costata","Use considerations","Suitable for Canberra’s climate"
"ACTplanting","Angophora costata","Use considerations","Can be susceptible to frost when young; moderate drought tolerance"
"ACTplanting","Angophora costata","Use considerations","Grows well in a range of soils but does not tolerate water logging"
"ACTplanting","Angophora costata","Use considerations","Medium longevity"
"ACTplanting","Angophora costata","Use considerations","Fast to moderate growth rate"
"ACTplanting","Angophora costata","Use considerations","Low flammability"
"ACTplanting","Araucaria bidwillii","Botanical Name"," Araucaria bidwillii (AAb)"
"ACTplanting","Araucaria bidwillii","Common Name"," Bunya Bunya pine"
"ACTplanting","Araucaria bidwillii","Species description","Evergreen"
"ACTplanting","Araucaria bidwillii","Species description","Tall pyramidal shaped tree when younger, often with a low branching habit, becoming more open with age"
"ACTplanting","Araucaria bidwillii","Species description","Bark is wrinkled and almost black"
"ACTplanting","Araucaria bidwillii","Species description","Rich dark green glossy prickly leaves"
"ACTplanting","Araucaria bidwillii","Species description","Edible seeds/nuts on the tree in cones 30 centimetres by 20 centimetres, weighing up to 4 to 5 kilograms"
"ACTplanting","Araucaria bidwillii","Height and width","20 to 25 metres tall by 15 metres wide"
"ACTplanting","Araucaria bidwillii","Landscape use","Available Soil Volume required 68m3"
"ACTplanting","Araucaria bidwillii","Landscape use","Large open areas are needed to set this beautiful ornamental tree to its best advantage"
"ACTplanting","Araucaria bidwillii","Landscape use","Suitable for planting in wide open spaces and parks"
"ACTplanting","Araucaria bidwillii","Landscape use","Not suitable for use as a street tree, in home gardens or in urban areas"
"ACTplanting","Araucaria bidwillii","Landscape use","Requires a minimum clearance of 10 metres from buildings"
"ACTplanting","Araucaria bidwillii","Use considerations","Suitable for all climates in the ACT"
"ACTplanting","Araucaria bidwillii","Use considerations","Frost tolerance to minus 10 degrees Celsius and good drought tolerance"
"ACTplanting","Araucaria bidwillii","Use considerations","Grows well in most local soils"
"ACTplanting","Araucaria bidwillii","Use considerations","Low flammability"
"ACTplanting","Araucaria bidwillii","Use considerations","Long lived"
"ACTplanting","Araucaria bidwillii","Use considerations","Not suitable for wildlife corridors"
"ACTplanting","Araucaria bidwillii","Use considerations","Planted in the ACT region since the mid to late 1800s"
"ACTplanting","Callitris glaucophylla","Botanical Name"," Callitris glaucophylla (CLg)"
"ACTplanting","Callitris glaucophylla","Common Name"," white cypress pine"
"ACTplanting","Callitris glaucophylla","Species description","Evergreen"
"ACTplanting","Callitris glaucophylla","Species description","Broad columnar shape"
"ACTplanting","Callitris glaucophylla","Species description","Smooth bark"
"ACTplanting","Callitris glaucophylla","Species description","Attractive blueish-grey glaucous foliage"
"ACTplanting","Callitris glaucophylla","Species description","Small round cones, 15 to 25 millimetres in diameter"
"ACTplanting","Callitris glaucophylla","Height and width","15 metres tall by 8 to 10 metres wide"
