Trait_category,,Trait_name,Subtrait,,,,Frequency,Description (if required),,,,,
Site environment,1,synonyms,,,,,,,,,,,
Site environment,2,family,,,,,,,,,,,
Site environment,3,common_name,,,,,,,,,,,
Site environment,4,light_level,fullsun,light_levelfullsun,4686,4,,,,,,,
Site environment,5,light_level,partshade,light_levelpartshade,2097,5,,,,,,,
Site environment,6,light_level,fullshade,light_levelfullshade,476,6,,,,,,,
Site environment,7,light_level,lightshade,light_levellightshade,1437,7,,,,,,,
Site environment,8,frost_tolerance,Yes,frost_toleranceYes,1800,8,1800,"Includes ""frost tolerance"" and ""heavy frost tolerance""",,,,,
Site environment,9,frost_tolerance,No,frost_toleranceNo,1012,9,1012,,,,,,
Site environment,10,lightfrost_tolerance,Yes,lightfrost_toleranceYes,1276,10,1276,"e.g. Temperatures  ~ 0 to -5 degrees C or ""light frosts"" if specified",,,,,
Site environment,11,lightfrost_tolerance,No,lightfrost_toleranceNo,5,11,5,,,,,,
Site environment,12,severedrought_tolerance,Yes,severedrought_toleranceYes,216,12,216,e.g. Desiccation tolerance,,,,,
Site environment,13,severedrought_tolerance,No,severedrought_toleranceNo,73,13,73,,,,,,
Site environment,14,drought_tolerance,Yes,drought_toleranceYes,1729,14,1729,tolerate dry periods,,,,,
Site environment,15,drought_tolerance,No,drought_toleranceNo,364,15,364,e.g. needs regular watering during dry weather,,,,,
Site environment,16,salinity_tolerance,Yes,salinity_toleranceYes,356,16,356,e.g.tolerates saline soils,,,,,
Site environment,17,salinity_tolerance,No,salinity_toleranceNo,234,17,234,e.g. sensative to salinity,,,,,
Site environment,18,wind_tolerance,Yes,wind_toleranceYes,689,18,689,,,,,,
Site environment,19,wind_tolerance,No,wind_toleranceNo,530,19,530,e.g. requires sheltered position,,,,,
Site environment,20,heat_tolerance,Yes,heat_toleranceYes,337,20,337,,,,,,
Site environment,21,heat_tolerance,No,heat_toleranceNo,101,21,101,,,,,,
Site environment,22,pollution_tolerance,Yes,pollution_toleranceYes,261,22,261,e.g. tolerates urban pollution,,,,,
Site environment,23,pollution_tolerance,No,pollution_toleranceNo,13,23,13,,,,,,
Site environment,24,coastal_tolerance,Yes,coastal_toleranceYes,817,24,817,e.g. tolerates salt-laden wind,,,,,
Site environment,25,coastal_tolerance,No,coastal_toleranceNo,50,25,50,,,,,,
Site environment,26,frequentwaterlogging,Yes,frequentwaterloggingYes,32,26,32,e.g. boggy marshy environments,,,,,
Site environment,27,frequentwaterlogging,No,frequentwaterloggingNo,7,27,7,,,,,,
Site environment,28,waterlogging_tolerance,Yes,waterlogging_toleranceYes,201,28,201,e.g. periodic inundation or flooding,,,,,
Site environment,29,waterlogging_tolerance,No,waterlogging_toleranceNo,131,29,131,e.g. sensative to waterlogging,,,,,
Site environment,30,shade_tolerance,Yes,shade_toleranceYes,78,30,78,"similar to ""fullshade"" in ""light_level"" Trait name",,,,,
Site environment,31,shade_tolerance,No,shade_toleranceNo,110,31,110,e.g. does not do well in shade,,,,,
Site environment,32,soilcompaction_tolerance,Yes,soilcompaction_toleranceYes,70,32,70,,,,,,
Site environment,33,soilcompaction_tolerance,No,soilcompaction_toleranceNo,27,33,27,,,,,,
Site environment,34,soil_type,sand,soil_typesand,2398,34,,,,,,,
Site environment,35,soil_type,loam,soil_typeloam,2537,35,,,,,,,
Site environment,36,soil_type,clay,soil_typeclay,1652,36,,,,,,,
Site environment,37,soil_type,gravel,soil_typegravel,104,37,,,,,,,
Site environment,38,soil_type,clay_loam,soil_typeclay_loam,417,38,,,,,,,
Site environment,39,soil_type,sand_loam,soil_typesand_loam,549,39,549,,,,,,
Site environment,40,soil_volume,<1m3,,0,,,,,470,,,
Site environment,41,soil_volume,1_10,soil_volume1_10,9,41,,,,471,,,
Site environment,42,soil_volume,10_20,soil_volume10_20,11,42,,,,472,,,
Site environment,43,soil_volume,20_30,soil_volume20_30,10,43,,,,473,,,
Site environment,44,soil_volume,30_40,soil_volume30_40,10,44,,,,474,,,
Site environment,45,soil_volume,40_60,soil_volume40_60,9,45,,,,475,,,
Site environment,46,soil_volume,60_80,soil_volume60_80,24,46,,,,476,,,
Site environment,47,soil_volume,80_100,soil_volume80_100,4,47,,,,477,,,
Site environment,48,soil_volume,>100m3,soil_volume>100m3,10,48,,,,478,,,
Site environment,49,soil_volume,deep,soil_volumedeep,10,49,,"Residual from ""root_depth"" trait that was removed after speaking to Tim from Andreasons",,479,,,
Site environment,50,soil_volume,average,soil_volumeaverage,6,50,,"Residual from ""root_depth"" trait that was removed after speaking to Tim from Andreasons",,480,,,
Site environment,51,soil_volume,shallow,soil_volumeshallow,11,51,,"Residual from ""root_depth"" trait that was removed after speaking to Tim from Andreasons",,481,,,
Site environment,52,soil_character,welldrained,soil_characterwelldrained,788,52,,,,482,,,
Site environment,53,soil_character,moist,soil_charactermoist,338,53,,,,483,,,
Site environment,54,soil_character,fertile,soil_characterfertile,38,54,,,,484,,,
Site environment,55,soil_character,most,soil_charactermost,295,55,,e.g. grows in most soils,,485,,,
Site environment,56,soil_fertility,low,soil_fertilitylow,360,56,,poor soils,,486,,,
Site environment,57,soil_fertility,medium,soil_fertilitymedium,126,57,,moderately fertile,,487,,,
Site environment,58,soil_fertility,high,soil_fertilityhigh,78,58,,e.g. fertile soils,,488,,,
Site environment,59,soil_fertility,any,soil_fertilityany,213,59,,,,489,,,
Site environment,60,soil_pH,acid,soil_pHacid,1766,60,,,,490,,,
Site environment,61,soil_pH,neutral,soil_pHneutral,1968,61,,,,491,,,
Site environment,62,soil_pH,alkaline,soil_pHalkaline,1465,62,,,,492,,,
Site environment,63,soil_pH,slight_acid,soil_pHslight_acid,62,63,,,,493,,,
Site environment,64,soil_pH,slight_alkaline,soil_pHslight_alkaline,87,64,,,,494,,,
Site environment,65,soil_pH,most_pH,,,,,,,495,,,
Site environment,66,establishment_care,frostprotection,establishment_carefrostprotection,97,66,,e.g. Protect from frost when young,,496,,,
Site environment,67,establishment_care,windprotection,establishment_carewindprotection,24,67,,e.g. Sheltered position when young,,497,,,
Site environment,68,establishment_care,water,establishment_carewater,215,68,,e.g. water well during establishment,,498,,,
Site environment,69,establishment_care,grafting,establishment_caregrafting,15,69,,e.g. commonly grafing is required,,499,,,
Site environment,70,establishment_care,pruning,establishment_carepruning,88,70,,e.g. formative pruning required,,500,,,
Site environment,71,establishment_care,part_shade,establishment_carepart_shade,12,71,,e.g. protect from full sun when young,,501,,,
Site environment,72,establishment_care,raised_bed,establishment_careraised_bed,4,72,,e.g. plant in a raised bed,,502,,,
Site environment,73,establishment_care,fertiliser,establishment_carefertiliser,25,73,,e.g. apply fertiliser when young,,503,,,
Site environment,74,establishment_care,staking,establishment_carestaking,8,74,,,,504,,,
Site environment,75,establishment_care,mulching,establishment_caremulching,40,75,,,,505,,,
Site environment,76,ideal_conditions,flowers_fullsun,ideal_conditionsflowers_fullsun,38,76,,"e.g. to maximise flowering, plant in full sun",,506,,,
Site environment,77,ideal_conditions,lateral_space,ideal_conditionslateral_space,68,77,,e.g. plant in an open location with plenty of room,,507,,,
Site environment,78,ideal_conditions,protected,ideal_conditionsprotected,64,78,,e.g. grows best in sheltered spot,,508,,,
Site environment,79,ideal_conditions,cool,ideal_conditionscool,116,79,,e.g. grows best in cool climates,,509,,,
Site environment,80,ideal_conditions,fullsun,ideal_conditionsfullsun,187,80,,,,510,,,
Site environment,81,ideal_conditions,moist,ideal_conditionsmoist,271,81,,e.g. keep well watered for best results,,511,,,
Site environment,82,ideal_conditions,well_drained,ideal_conditionswell_drained,275,82,,e.g. prefers well drained soil,,512,,,
Site environment,83,ideal_conditions,large_rootspace,ideal_conditionslarge_rootspace,17,83,,,,513,,,
Site environment,84,ideal_conditions,acidic,ideal_conditionsacidic,48,84,,acidic soils,,514,,,
Site environment,85,ideal_conditions,partshade,ideal_conditionspartshade,44,85,,,,515,,,
Site environment,86,ideal_conditions,fertile,ideal_conditionsfertile,156,86,,,,516,,,
Site environment,87,ideal_conditions,warm,ideal_conditionswarm,70,87,,grows best in warm climates,,517,,,
Site environment,88,ideal_conditions,neutral_pH,ideal_conditionsneutral_pH,3,88,,,,518,,,
Site environment,89,ideal_conditions,clay_soil,ideal_conditionsclay_soil,10,89,,,,519,,,
Site environment,90,ideal_conditions,sandy_soil,ideal_conditionssandy_soil,15,90,,,,520,,,
Site environment,91,ideal_conditions,alkaline,ideal_conditionsalkaline,8,91,,alkaline soils,,521,,,
Site environment,92,ideal_conditions,poorly_drained,ideal_conditionspoorly_drained,47,92,,,,522,,,
Site environment,93,ideal_conditions,loamy_soils,ideal_conditionsloamy_soils,47,93,,,,523,,,
Site environment,94,ideal_conditions,variable,ideal_conditionsvariable,1,94,,grows best in a range of conditions,,524,,,
