"study","species","trait_name","value","trait_name_original","value_original"
"UCdavis","Acacia boormanii","Wildlife Value(s)","None","Wildlife Value(s)","None"
"UCdavis","Acacia boormanii","Pruning needs","Little or none; prune to shape","Pruning needs","Little or none; prune to shape"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Description","Attractive spring flowers are edible and sweet; large green berries have a pineapple-like flavor; can be used as hedging or as a screen; attracts hummingbirds.","Description","Attractive spring flowers are edible and sweet; large green berries have a pineapple-like flavor; can be used as hedging or as a screen; attracts hummingbirds."
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Wildlife Value(s)","Hummingbirds","Wildlife Value(s)","Hummingbirds"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Pruning needs","Little or none; prune to shape","Pruning needs","Little or none; prune to shape"
"UCdavis","Achillea millefolium 'Island Pink'","Description","California native plant; colorful pink flowers in spring, summer, and fall make good cut flowers; ferny green foliage will spread; flowers attract butterflies and beneficial insects.","Description","California native plant; colorful pink flowers in spring, summer, and fall make good cut flowers; ferny green foliage will spread; flowers attract butterflies and beneficial insects."
"UCdavis","Achillea millefolium 'Island Pink'","Wildlife Value(s)","Butterflies","Wildlife Value(s)","Butterflies"
"UCdavis","Achillea millefolium 'Island Pink'","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Achillea millefolium 'Island Pink'","Pruning needs","Remove old flower stalks; divide when clumps get crowded","Pruning needs","Remove old flower stalks; divide when clumps get crowded"
"UCdavis","Aquilegia eximia","Description","California native plant; larger and showier than most columbines; attractive delicate foliage in basal mound; attracts hummingbirds.","Description","California native plant; larger and showier than most columbines; attractive delicate foliage in basal mound; attracts hummingbirds."
"UCdavis","Aquilegia eximia","Wildlife Value(s)","Hummingbirds","Wildlife Value(s)","Hummingbirds"
"UCdavis","Aquilegia eximia","Pruning needs","Remove old flower stalks and foliage in the fall","Pruning needs","Remove old flower stalks and foliage in the fall"
"UCdavis","Arbutus 'Marina'","Description","Shiny evergreen leaves and large drooping clusters of pink flowers are followed by red berries that last into late winter; attractive smooth coppery bark; tolerant of head and alkaline water; very attractive to hummingbirds.","Description","Shiny evergreen leaves and large drooping clusters of pink flowers are followed by red berries that last into late winter; attractive smooth coppery bark; tolerant of head and alkaline water; very attractive to hummingbirds."
"UCdavis","Arbutus 'Marina'","Wildlife Value(s)","Hummingbirds","Wildlife Value(s)","Hummingbirds"
"UCdavis","Arbutus 'Marina'","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Arbutus 'Marina'","Pruning needs","Prune to shape and expose beautiful stems","Pruning needs","Prune to shape and expose beautiful stems"
"UCdavis","Arctostaphylos densiflora 'Howard McMinn'","Description","California native plant; known for its smooth, wine-red bark; one of the few manzanitas that tolerates our clay-loam soils; attracts hummingbirds and beneficial insects.","Description","California native plant; known for its smooth, wine-red bark; one of the few manzanitas that tolerates our clay-loam soils; attracts hummingbirds and beneficial insects."
"UCdavis","Arctostaphylos densiflora 'Howard McMinn'","Wildlife Value(s)","Hummingbirds","Wildlife Value(s)","Hummingbirds"
"UCdavis","Arctostaphylos densiflora 'Howard McMinn'","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Arctostaphylos densiflora 'Howard McMinn'","Pruning needs","Little or none","Pruning needs","Little or none"
"UCdavis","Aristolochia californica","Description","California native plant; leaves provide food for pipevine swallowtail butterfly larvae; versatile plant that can be used as a climbing vine or a groundcover.","Description","California native plant; leaves provide food for pipevine swallowtail butterfly larvae; versatile plant that can be used as a climbing vine or a groundcover."
"UCdavis","Aristolochia californica","Wildlife Value(s)","Butterflies","Wildlife Value(s)","Butterflies"
"UCdavis","Aristolochia californica","Pruning needs","Little or none; train stems up trellis or support","Pruning needs","Little or none; train stems up trellis or support"
"UCdavis","Aster 'Purple Dome'","Description","This dwarf daisy has deep-violet flowers in late summer; attractive to butterflies and beneficial insects; resists mildew and tolerates wet soils.","Description","This dwarf daisy has deep-violet flowers in late summer; attractive to butterflies and beneficial insects; resists mildew and tolerates wet soils."
"UCdavis","Aster 'Purple Dome'","Wildlife Value(s)","Butterflies","Wildlife Value(s)","Butterflies"
"UCdavis","Aster 'Purple Dome'","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Aster 'Purple Dome'","Pruning needs","Cut to ground in winter to renew","Pruning needs","Cut to ground in winter to renew"
"UCdavis","Berberis aquifolium 'Compacta'","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Berberis aquifolium 'Compacta'","Wildlife Value(s)","Birds","Wildlife Value(s)","Birds"
"UCdavis","Berberis aquifolium 'Compacta'","Pruning needs","Little or none","Pruning needs","Little or none"
"UCdavis","Bergenia crassifolia","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Bergenia crassifolia","Pruning needs","Remove old flower stalks","Pruning needs","Remove old flower stalks"
"UCdavis","Bletilla striata","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Bletilla striata","Pruning needs","Cut stems to ground in winter for tidy appearance","Pruning needs","Cut stems to ground in winter for tidy appearance"
"UCdavis","Bouteloua gracilis","Description","California native plant; green flowers age to tan by the end of the summer; retains tidy, upright shape even when dormant.","Description","California native plant; green flowers age to tan by the end of the summer; retains tidy, upright shape even when dormant."
"UCdavis","Bouteloua gracilis","Wildlife Value(s)","None","Wildlife Value(s)","None"
"UCdavis","Bouteloua gracilis","Pruning needs","Mow once in late fall or winter to renew","Pruning needs","Mow once in late fall or winter to renew"
"UCdavis","Bulbine frutescens","Wildlife Value(s)","None","Wildlife Value(s)","None"
"UCdavis","Bulbine frutescens","Pruning needs","Remove old flower stalks for tidy appearance","Pruning needs","Remove old flower stalks for tidy appearance"
"UCdavis","Calamagrostis x acutiflora Karl Foerster","Description","Attractive, upright dark green foliage; fluffy blooms in spring turn into attractive buff spikes that last all summer and fall; a vertical plant that performs well in narrow spaces.","Description","Attractive, upright dark green foliage; fluffy blooms in spring turn into attractive buff spikes that last all summer and fall; a vertical plant that performs well in narrow spaces."
"UCdavis","Calamagrostis x acutiflora Karl Foerster","Wildlife Value(s)","None","Wildlife Value(s)","None"
"UCdavis","Calamagrostis x acutiflora Karl Foerster","Pruning needs","Cut to ground in winter","Pruning needs","Cut to ground in winter"
"UCdavis","Callistemon 'Violaceus'","Description","Rosy-purple bottlebrush flowers bloom in early winter and spring, and sporadically year round; medium to large evergreen shrub that is tough and adaptable; grows best in full sun and tolerates infrequent watering; attracts hummingbirds and beneficial insects.","Description","Rosy-purple bottlebrush flowers bloom in early winter and spring, and sporadically year round; medium to large evergreen shrub that is tough and adaptable; grows best in full sun and tolerates infrequent watering; attracts hummingbirds and beneficial insects."
"UCdavis","Callistemon 'Violaceus'","Wildlife Value(s)","Hummingbirds","Wildlife Value(s)","Hummingbirds"
"UCdavis","Callistemon 'Violaceus'","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Callistemon 'Violaceus'","Pruning needs","little or none; prune to shape","Pruning needs","little or none; prune to shape"
"UCdavis","Calycanthus occidentalis","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Calycanthus occidentalis","Pruning needs","little or none; prune to shape","Pruning needs","little or none; prune to shape"
"UCdavis","Carpenteria californica","Description","California native plant; has clusters of large, sweetly-scented white flowers in late spring and early summer; glossy, dark-green leaves stay on the plant all year; older stems have attractive, pale, papery bark.","Description","California native plant; has clusters of large, sweetly-scented white flowers in late spring and early summer; glossy, dark-green leaves stay on the plant all year; older stems have attractive, pale, papery bark."
"UCdavis","Carpenteria californica","Wildlife Value(s)","None","Wildlife Value(s)","None"
"UCdavis","Carpenteria californica","Pruning needs","little or none; prune to shape","Pruning needs","little or none; prune to shape"
"UCdavis","Ceanothus x pallidus Marie Simon","Description","Large, loose clusters of soft-pink flowers complement maroon-red stems; nectar-rich flowers attract bees and other beneficial insects; semi deciduous to evergreen.","Description","Large, loose clusters of soft-pink flowers complement maroon-red stems; nectar-rich flowers attract bees and other beneficial insects; semi deciduous to evergreen."
"UCdavis","Ceanothus x pallidus Marie Simon","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Ceanothus x pallidus Marie Simon","Wildlife Value(s)","Bees","Wildlife Value(s)","Bees"
"UCdavis","Ceanothus x pallidus Marie Simon","Pruning needs","prune in early spring to shape and remove old, twiggy growth","Pruning needs","prune in early spring to shape and remove old, twiggy growth"
"UCdavis","Ceanothus Concha","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Ceanothus Concha","Pruning needs","little or none; prune to shape after spring flowering","Pruning needs","little or none; prune to shape after spring flowering"
"UCdavis","Ceanothus maritimus Valley Violet","Wildlife Value(s)","Beneficial Insects","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Ceanothus maritimus Valley Violet","Pruning needs","little or none; prune to shape after spring flowering","Pruning needs","little or none; prune to shape after spring flowering"
"UCdavis","Cerastium tomentosum","Wildlife Value(s)","None","Wildlife Value(s)","None"
"UCdavis","Cerastium tomentosum","Pruning needs","little or none","Pruning needs","little or none"
"UCdavis","Ceratostigma plumbaginoides","Description","Attractive groundcover with clusters of intense blue flowers in summer and continuing into fall; leaves turn a colorful maroon in autumn; tolerant of sun or shade.","Description","Attractive groundcover with clusters of intense blue flowers in summer and continuing into fall; leaves turn a colorful maroon in autumn; tolerant of sun or shade."
"UCdavis","Ceratostigma plumbaginoides","Wildlife Value(s)","None","Wildlife Value(s)","None"
"UCdavis","Ceratostigma plumbaginoides","Pruning needs","cut to ground in winter for tidy appearance","Pruning needs","cut to ground in winter for tidy appearance"
"UCdavis","Cercis occidentalis","Description","California native plant; early spring bloom before leaves appear; attractive reddish seed pods in summer; new stems, cut in winter, are used to add color to Native American baskets; attracts beneficial insects.","Description","California native plant; early spring bloom before leaves appear; attractive reddish seed pods in summer; new stems, cut in winter, are used to add color to Native American baskets; attracts beneficial insects."
