"study","species","trait_name","value"
"UCdavis","Acacia boormanii","Common name","Snowy River wattle"
"UCdavis","Acacia boormanii","Latin name","Acacia boormanii"
"UCdavis","Acacia boormanii","California native","No"
"UCdavis","Acacia boormanii","All-Star","Yes"
"UCdavis","Acacia boormanii","Type","Shrub"
"UCdavis","Acacia boormanii","Size","Large"
"UCdavis","Acacia boormanii","Flower colour","Yellow"
"UCdavis","Acacia boormanii","Sun Exposure","Full Sun"
"UCdavis","Acacia boormanii","Sun Exposure","Part Shade"
"UCdavis","Acacia boormanii","Water needs","Very Low"
"UCdavis","Acacia boormanii","Water needs","Low"
"UCdavis","Acacia boormanii","Flowering season","Winter"
"UCdavis","Acacia boormanii","Wildlife Value(s)","None"
"UCdavis","Acacia boormanii","Pruning needs","Little or none; prune to shape"
"UCdavis","Acacia boormanii","Flower colour","Acacia Grove"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Common name","pineapple guava"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Latin name","Acca sellowiana (Feijoa sellowiana)"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Description","Attractive spring flowers are edible and sweet; large green berries have a pineapple-like flavor; can be used as hedging or as a screen; attracts hummingbirds."
"UCdavis","Acca sellowiana (Feijoa sellowiana)","California native","No"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","All-Star","Yes"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Type","Tree"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Size","Small"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Flower colour","Pink"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Sun Exposure","Full Sun"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Sun Exposure","Part Shade"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Water needs","Very Low"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Water needs","Low"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Flowering season","Spring"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Wildlife Value(s)","Hummingbirds"
"UCdavis","Acca sellowiana (Feijoa sellowiana)","Pruning needs","Little or none; prune to shape"
"UCdavis","Achillea millefolium  'Island Pink'","Common name","island pink yarrow"
"UCdavis","Achillea millefolium  'Island Pink'","Latin name","Achillea millefolium  'Island Pink'"
"UCdavis","Achillea millefolium  'Island Pink'","Description","California native plant; colorful pink flowers in spring, summer, and fall make good cut flowers; ferny green foliage will spread; flowers attract butterflies and beneficial insects."
"UCdavis","Achillea millefolium  'Island Pink'","California native","Yes"
"UCdavis","Achillea millefolium  'Island Pink'","All-Star","Yes"
"UCdavis","Achillea millefolium  'Island Pink'","Type","Perennial"
"UCdavis","Achillea millefolium  'Island Pink'","Water needs","Medium"
"UCdavis","Achillea millefolium  'Island Pink'","Flower colour","Pink"
"UCdavis","Achillea millefolium  'Island Pink'","Sun Exposure","Full Sun"
"UCdavis","Achillea millefolium  'Island Pink'","Sun Exposure","Part Shade"
"UCdavis","Achillea millefolium  'Island Pink'","Water needs","Very Low"
"UCdavis","Achillea millefolium  'Island Pink'","Flowering season","Spring"
"UCdavis","Achillea millefolium  'Island Pink'","Flowering season","Summer"
"UCdavis","Achillea millefolium  'Island Pink'","Flowering season","Fall"
"UCdavis","Achillea millefolium  'Island Pink'","Wildlife Value(s)","Butterflies"
"UCdavis","Achillea millefolium  'Island Pink'","Wildlife Value(s)","Beneficial Insects"
"UCdavis","Achillea millefolium  'Island Pink'","Pruning needs","Remove old flower stalks; divide when clumps get crowded"
"UCdavis","Aquilegia eximia","Common name","serpentine columbine"
"UCdavis","Aquilegia eximia","Latin name","Aquilegia eximia"
"UCdavis","Aquilegia eximia","Description","California native plant; larger and showier than most columbines; attractive delicate foliage in basal mound; attracts hummingbirds."
"UCdavis","Aquilegia eximia","California native","Yes"
"UCdavis","Aquilegia eximia","All-Star","Yes"
"UCdavis","Aquilegia eximia","Type","Perennial"
"UCdavis","Aquilegia eximia","Water needs","Medium"
"UCdavis","Aquilegia eximia","Flower colour","Orange"
"UCdavis","Aquilegia eximia","Sun Exposure","Part Shade"
"UCdavis","Aquilegia eximia","Sun Exposure","Shade"
