"","Var1","Freq","trait_index"
"1","bark_appearanceblack",11,"432"
"2","bark_appearancebluegrey",2,"424"
"3","bark_appearancebronze",1,"437"
"4","bark_appearancebrown",125,"420"
"5","bark_appearancecream",33,"422"
"6","bark_appearancedark_brown",10,"436"
"7","bark_appearancedark_grey",21,"427"
"8","bark_appearancedark_purple",1,"435"
"9","bark_appearancegreen",7,"431"
"10","bark_appearancegrey",210,"419"
"11","bark_appearancemottled",15,"426"
"12","bark_appearanceorange",3,"433"
"13","bark_appearancepatchy",9,"425"
"14","bark_appearancepatterned",2,"439"
"15","bark_appearancepink",11,"430"
"16","bark_appearancered_brown",46,"428"
"17","bark_appearanceringed",10,"429"
"18","bark_appearancestriped",5,"438"
"19","bark_appearancetan",17,"434"
"20","bark_appearancewhite",21,"421"
"21","bark_appearanceyellow",3,"423"
"22","bark_texturebase_rough_persistent",13,"452"
"23","bark_texturebulbous",1,"463"
"24","bark_texturebumpy",6,"459"
"25","bark_texturecoarse",3,"454"
"26","bark_texturecorky",12,"455"
"27","bark_texturedeeply_fissured",33,"446"
"28","bark_texturefibrous",32,"442"
"29","bark_texturefissured",4,"461"
"30","bark_textureflakey",3,"432"
"31","bark_textureflaky",41,NA
"32","bark_texturefurrowed",77,"462"
"33","bark_textureleaf_bases",9,"451"
"34","bark_texturelightly_fissured",68,"445"
"35","bark_texturelined",9,"447"
"36","bark_textureminniritchi",5,"458"
"37","bark_texturepapery",10,"453"
"38","bark_texturepeeling",61,"444"
"39","bark_textureresinous",2,"460"
"40","bark_texturerough",208,"448"
"41","bark_textureroughly_lenticeled",9,"440"
"42","bark_texturesatin_like",2,"456"
"43","bark_texturescaley",31,"450"
"44","bark_textureshiny",1,"464"
"45","bark_texturesmooth",287,"441"
"46","bark_texturespiked",9,"449"
"47","bark_texturetessolated",12,"457"
"48","canopy_shapecolumnar",59,"163"
"49","canopy_shapedomed",57,"168"
"50","canopy_shapeopen",184,"166"
"51","canopy_shapeoval",92,"164"
"52","canopy_shapepyramidal",71,"161"
"53","canopy_shaperounded",212,"165"
"54","canopy_shapespreading",107,"167"
"55","canopy_shapevase",21,"162"
"56","climate_of_originarid",105,"579"
"57","climate_of_originmediterranean",157,"582"
"58","climate_of_originmontane",17,"583"
"59","climate_of_originsemiarid",252,"580"
"60","climate_of_originsubarctic",1,"585"
"61","climate_of_originsubmediterranean",29,"586"
"62","climate_of_originsubtropical",341,"584"
"63","climate_of_origintemperate",296,"578"
"64","climate_of_origintropical",278,"581"
"65","coastal_toleranceNo",50,"25"
"66","coastal_toleranceYes",817,"24"
"67","colour_seasonAutumn",55,"282"
"68","colour_seasonSpring",38,"280"
"69","colour_seasonSummer",13,"281"
"70","colour_seasonWinter",14,"283"
"71","continent_of_originAfrica",13,"606"
"72","continent_of_originAsia",65,"611"
"73","continent_of_originEurope",249,"609"
"74","continent_of_originMediterranean",6,"432"
"75","continent_of_originN_America",67,"607"
"76","continent_of_originOceania",59,"605"
"77","continent_of_originS_America",10,"608"
"78","continent_of_originSE_Asia",14,"610"
"79","country_of_originAustralia",905,"587"
"80","country_of_originBrazil",3,"600"
"81","country_of_originCanada",1,"603"
"82","country_of_originCanary Islands",1,"591"
"83","country_of_originChile",1,NA
"84","country_of_originChina",202,"593"
"85","country_of_originGreece",1,NA
"86","country_of_originIndia",1,"597"
"87","country_of_originIran",1,"604"
"88","country_of_originJapan",64,"594"
"89","country_of_originMadagascar",2,"592"
"90","country_of_originMexico",79,"599"
"91","country_of_originMorocco",1,"601"
"92","country_of_originNew Caledonia",1,"602"
"93","country_of_originNew Zealand",33,"595"
