searchTaxon,Number.of.growers,Number.of.States,Top_200,Plant.type,Origin,COMBO.count,AUS_RECORDS,LGA_COUNT,AUS_BOUND_BIAS,Annual_mean_temp_min,Annual_mean_temp_max,Annual_mean_temp_median,Annual_mean_temp_mean,Annual_mean_temp_range,Annual_mean_temp_q05,Annual_mean_temp_q95,Annual_mean_temp_q95_q05,Annual_mean_temp_q98_q02,Mean_diurnal_range_min,Mean_diurnal_range_max,Mean_diurnal_range_median,Mean_diurnal_range_mean,Mean_diurnal_range_range,Mean_diurnal_range_q05,Mean_diurnal_range_q95,Mean_diurnal_range_q95_q05,Mean_diurnal_range_q98_q02,Isothermality_min,Isothermality_max,Isothermality_median,Isothermality_mean,Isothermality_range,Isothermality_q05,Isothermality_q95,Isothermality_q95_q05,Isothermality_q98_q02,Temp_seasonality_min,Temp_seasonality_max,Temp_seasonality_median,Temp_seasonality_mean,Temp_seasonality_range,Temp_seasonality_q05,Temp_seasonality_q95,Temp_seasonality_q95_q05,Temp_seasonality_q98_q02,Max_temp_warm_month_min,Max_temp_warm_month_max,Max_temp_warm_month_median,Max_temp_warm_month_mean,Max_temp_warm_month_range,Max_temp_warm_month_q05,Max_temp_warm_month_q95,Max_temp_warm_month_q95_q05,Max_temp_warm_month_q98_q02,Min_temp_cold_month_min,Min_temp_cold_month_max,Min_temp_cold_month_median,Min_temp_cold_month_mean,Min_temp_cold_month_range,Min_temp_cold_month_q05,Min_temp_cold_month_q95,Min_temp_cold_month_q95_q05,Min_temp_cold_month_q98_q02,Temp_annual_range_min,Temp_annual_range_max,Temp_annual_range_median,Temp_annual_range_mean,Temp_annual_range_range,Temp_annual_range_q05,Temp_annual_range_q95,Temp_annual_range_q95_q05,Temp_annual_range_q98_q02,Mean_temp_wet_qu_min,Mean_temp_wet_qu_max,Mean_temp_wet_qu_median,Mean_temp_wet_qu_mean,Mean_temp_wet_qu_range,Mean_temp_wet_qu_q05,Mean_temp_wet_qu_q95,Mean_temp_wet_qu_q95_q05,Mean_temp_wet_qu_q98_q02,Mean_temp_dry_qu_min,Mean_temp_dry_qu_max,Mean_temp_dry_qu_median,Mean_temp_dry_qu_mean,Mean_temp_dry_qu_range,Mean_temp_dry_qu_q05,Mean_temp_dry_qu_q95,Mean_temp_dry_qu_q95_q05,Mean_temp_dry_qu_q98_q02,Mean_temp_warm_qu_min,Mean_temp_warm_qu_max,Mean_temp_warm_qu_median,Mean_temp_warm_qu_mean,Mean_temp_warm_qu_range,Mean_temp_warm_qu_q05,Mean_temp_warm_qu_q95,Mean_temp_warm_qu_q95_q05,Mean_temp_warm_qu_q98_q02,Mean_temp_cold_qu_min,Mean_temp_cold_qu_max,Mean_temp_cold_qu_median,Mean_temp_cold_qu_mean,Mean_temp_cold_qu_range,Mean_temp_cold_qu_q05,Mean_temp_cold_qu_q95,Mean_temp_cold_qu_q95_q05,Mean_temp_cold_qu_q98_q02,Annual_precip_min,Annual_precip_max,Annual_precip_median,Annual_precip_mean,Annual_precip_range,Annual_precip_q05,Annual_precip_q95,Annual_precip_q95_q05,Annual_precip_q98_q02,Precip_wet_month_min,Precip_wet_month_max,Precip_wet_month_median,Precip_wet_month_mean,Precip_wet_month_range,Precip_wet_month_q05,Precip_wet_month_q95,Precip_wet_month_q95_q05,Precip_wet_month_q98_q02,Precip_dry_month_min,Precip_dry_month_max,Precip_dry_month_median,Precip_dry_month_mean,Precip_dry_month_range,Precip_dry_month_q05,Precip_dry_month_q95,Precip_dry_month_q95_q05,Precip_dry_month_q98_q02,Precip_seasonality_min,Precip_seasonality_max,Precip_seasonality_median,Precip_seasonality_mean,Precip_seasonality_range,Precip_seasonality_q05,Precip_seasonality_q95,Precip_seasonality_q95_q05,Precip_seasonality_q98_q02,Precip_wet_qu_min,Precip_wet_qu_max,Precip_wet_qu_median,Precip_wet_qu_mean,Precip_wet_qu_range,Precip_wet_qu_q05,Precip_wet_qu_q95,Precip_wet_qu_q95_q05,Precip_wet_qu_q98_q02,Precip_dry_qu_min,Precip_dry_qu_max,Precip_dry_qu_median,Precip_dry_qu_mean,Precip_dry_qu_range,Precip_dry_qu_q05,Precip_dry_qu_q95,Precip_dry_qu_q95_q05,Precip_dry_qu_q98_q02,Precip_warm_qu_min,Precip_warm_qu_max,Precip_warm_qu_median,Precip_warm_qu_mean,Precip_warm_qu_range,Precip_warm_qu_q05,Precip_warm_qu_q95,Precip_warm_qu_q95_q05,Precip_warm_qu_q98_q02,Precip_col_qu_min,Precip_col_qu_max,Precip_col_qu_median,Precip_col_qu_mean,Precip_col_qu_range,Precip_col_qu_q05,Precip_col_qu_q95,Precip_col_qu_q95_q05,Precip_col_qu_q98_q02,study,site_name,trait_name,value,unit
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,Manea_2011,NA,dispersal_appendage,Elaiosome,NA
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,Hughes_1992,NA,dispersal_syndrome,myrmecochory,NA
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,Chen_2015_1,NA,dispersal_syndrome,aril,NA
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,RBGSYD_0000,NA,flower_colour,white or cream,NA
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,RBGSYD_0000,NA,flower_colour,yellow orange,NA
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,Hughes_1992,NA,flowering_time,1.11E+11,NA
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,RBGSYD_0000,NA,flowering_time,1.11E+11,NA
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,Chen_2015_1,NA,fruit_type,pod,NA
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,Chen_2015_1,NA,fruit_type_botany,dry,NA
Acacia implexa,98,4,FALSE,Shrub,Native,10246,10222,165,TRUE,8.1,23.9,15.7,15.54044505,15.8,12.4,18,5.6,6.9,6.5,17.1,12.6,12.27414601,10.6,9.4,14.6,5.2,6,4.3,6.9,4.9,4.856988093,2.6,4.6,5.1,0.5,0.7,208,585.3,452.2,456.2874488,377.3,353.75,562,208.25,225.11,21.8,34.6,27.8,27.87566855,12.8,24.5,31.5,7,8.2,-3.3,17.3,2.6,2.823511614,20.6,-0.5,6.7,7.2,8,13,31.4,25.4,25.05215694,18.4,19.4,30.1,10.7,12,2.3,26.4,21.1,19.52228187,24.1,9,23.4,14.4,16.1,4.2,23.4,11.4,11.808374,19.2,8.1,20,11.9,14.3,14.6,26.6,21.5,21.16951981,12,18.4,23.5,5.1,6.5,1.6,21,9.6,9.475375756,19.4,5.8,12.9,7.1,8,400,3143,895,935.7798165,2743,661,1363,702,872,45,456,113,120.9255319,411,75,190,115,137.1,6,99,44,45.17841109,93,33,62,29,38,8,95,29,28.77805973,87,13,46,33,36,125,1231,305,327.0528011,1106,205,518,313,377,22,379,150,152.9637907,357,111,209,98,125,47,1231,288,301.6397619,1184,163,485,322,411,22,564,176,185.0331837,542,119,290,171,206,Chen_2015_1,NA,fruit_type_function,fleshy,NA
