Traits,Trait_index
synonyms,1
common_name,2
light_level,3
frost_tolerance,4
lightfrost_tolerance,5
severedrought_tolerance,6
drought_tolerance,7
salinity_tolerance,8
wind_tolerance,9
heat_tolerance,10
pollution_tolerance,11
coastal_tolerance,12
frequentwaterlogging,13
waterlogging_tolerance,14
shade_tolerance,15
soilcompaction_tolerance,16
soil_type,17
soil_volume,18
soil_character,19
soil_fertility,20
soil_pH,21
establishment_care,22
ideal_conditions,23
habit,24
multistem_development,25
form,26
dimensions,27
max_height_nature,28
max_height,29
height,30
min_height,31
max_width,32
width,33
min_width,34
growth_rate,35
canopy_shape,36
shade,37
longevity,38
leaf_loss,39
leaf_description,40
foliage_colour,41
flower_description,42
flower_colour,43
flower_period,44
other_feature,45
bark_appearance,46
bark_texture,47
fruit_type,48
fruit_colour,49
fruit_period,50
seasonal_colour,51
juvenile_traits,52
placement,53
purpose,54
climate_of_origin,55
country_of_origin,56
continent_of_origin,57
ecological_services,58
maintenance_level,59
maintenance_activities,60
supp_watering,61
weed_status,62
rootdisturbance_tolerance,63
pestdisease_risk,64
pests_diseases,65
risk,66
invasive_roots,67
root_depth,68
colour_season,69
