"study","species","trait_name","value","trait_name_original","value_original","newspecies"
"ACTps","Hardenbergia ‘Bliss’","common_name","‘Bliss’","common_name","‘Bliss’",
"ACTps","Brachycome sp ‘Break O Day’","common_name","‘Break O Day’","common_name","‘Break O Day’",
"ACTps","Hardenbergia ‘Bliss’","Description","This selection of Hardenbergia grows as a self supporting small shrub, or as a climber. In late winter/early spring it is covered in masses of lilac coloured flowers. Bliss is a hardy shrub that can be planted in most soils and locations. If you are using as a climber, prune when young to encourage bushier growth.","Description","This selection of Hardenbergia grows as a self supporting small shrub, or as a climber. In late winter/early spring it is covered in masses of lilac coloured flowers. Bliss is a hardy shrub that can be planted in most soils and locations. If you are using as a climber, prune when young to encourage bushier growth.",
"ACTps","Brachycome sp ‘Break O Day’","Description","A hardy little mounding groundcover with fine green foliage and masses of bright purple daisy flowers for ong periods throughout the year. A light prune of old flowers will produce another flower display. Will grow happily under trees or in full sun. Create a new flush of growth by cutting the whole plant back hard in late winter.","Description","A hardy little mounding groundcover with fine green foliage and masses of bright purple daisy flowers for ong periods throughout the year. A light prune of old flowers will produce another flower display. Will grow happily under trees or in full sun. Create a new flush of growth by cutting the whole plant back hard in late winter.",
"ACTps","Hardenbergia ‘Bliss’","form","climber","plant_type","Climber",
"ACTps","Brachycome sp ‘Break O Day’","form","perennial","plant_type","Perennial",
"ACTps","Hardenbergia ‘Bliss’","supp_watering","low","watering_requirement","Low",
"ACTps","Brachycome sp ‘Break O Day’","supp_watering","medium","watering_requirement","Medium",
"ACTps","Leptospermum ‘Cherish’","common_name","‘Cherish’","common_name","‘Cherish’",
"ACTps","Leptospermum ‘Cherish’","Description","Leptospermum ‘Cherish’ is a medium to tall shrub 2-3 metres high by 2 metres wide. In spring it is covered in large white flowers on long branches. Cherish is a hardy shrub that will grow in most soil types. It can be used for cut flowers if stems are picked when the buds first start to open. Another great choice for a low hardy hedge.","Description","Leptospermum ‘Cherish’ is a medium to tall shrub 2-3 metres high by 2 metres wide. In spring it is covered in large white flowers on long branches. Cherish is a hardy shrub that will grow in most soil types. It can be used for cut flowers if stems are picked when the buds first start to open. Another great choice for a low hardy hedge.",
"ACTps","Leptospermum ‘Cherish’","form","shrub","plant_type","Shrub",
"ACTps","Leptospermum ‘Cherish’","supp_watering","low","watering_requirement","Low",
"ACTps","Callistemon pallidus x ‘Hot Pink’","common_name","‘Hot Pink’","common_name","‘Hot Pink’",
"ACTps","Callistemon pallidus x ‘Hot Pink’","Description","This compact little Bottlebrush is a riot of colour when in flower. Hot pink brushes cover the plant in spring and autumn. Can be used for formal or informal hedging, as a container plant or as a small shrub in mixed garden beds. Remove old flowers to encourage another flowering period and a bushy habit. An excellent addition to any garden whether planted in full sun or part shade.","Description","This compact little Bottlebrush is a riot of colour when in flower. Hot pink brushes cover the plant in spring and autumn. Can be used for formal or informal hedging, as a container plant or as a small shrub in mixed garden beds. Remove old flowers to encourage another flowering period and a bushy habit. An excellent addition to any garden whether planted in full sun or part shade.",
"ACTps","Callistemon pallidus x ‘Hot Pink’","form","shrub","plant_type","Shrub",
"ACTps","Callistemon pallidus x ‘Hot Pink’","supp_watering","medium","watering_requirement","Medium",
